case_id,reference_fsm_id,faulty_fsm_id,complexity,state_count,transition_count,event_count,mutation_operator,difficulty_score,oracle_state_coverage,oracle_transition_coverage,oracle_event_coverage,reference_bpr,faulty_bpr,bpr_delta,valid_reference,valid_faulty,status
case_000001,synthetic_44_5_3,synthetic_44_5_3__faulty__missing_transition__1043,small,5,10,3,missing_transition,13.000000,1.000000,1.000000,1.000000,1.000000,0.954545,0.045455,True,True,completed
case_000002,synthetic_45_10_5,synthetic_45_10_5__faulty__wrong_target__2043,medium,10,31,5,wrong_target,22.180000,1.000000,1.000000,1.000000,1.000000,0.986842,0.013158,True,True,completed
case_000003,synthetic_46_20_10,synthetic_46_20_10__faulty__wrong_source__3043,large,20,80,10,wrong_source,34.490000,1.000000,1.000000,1.000000,1.000000,0.995902,0.004098,True,False,completed
case_000004,synthetic_47_50_15,synthetic_47_50_15__faulty__wrong_event__4043,very_large,50,250,15,wrong_event,59.730000,1.000000,1.000000,1.000000,1.000000,0.998802,0.001198,True,False,completed
case_000005,synthetic_48_5_3,synthetic_48_5_3__faulty__wrong_initial_state__5043,small,5,10,3,wrong_initial_state,14.800000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,True,True,completed
case_000006,synthetic_49_10_5,synthetic_49_10_5__faulty__duplicate_transition__6043,medium,10,30,5,duplicate_transition,21.020000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,False,completed
case_000007,synthetic_50_20_10,synthetic_50_20_10__faulty__dead_state_intro__7043,large,20,80,10,dead_state_intro,33.740000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000008,synthetic_51_50_15,synthetic_51_50_15__faulty__guard_flip__8043,very_large,50,255,15,guard_flip,61.050000,1.000000,1.000000,1.000000,1.000000,0.985658,0.014342,True,True,completed
case_000009,synthetic_52_5_3,synthetic_52_5_3__faulty__guard_weaken__9043,small,5,11,3,guard_weaken,14.630000,1.000000,1.000000,1.000000,1.000000,0.791667,0.208333,True,True,completed
case_000010,synthetic_53_10_5,synthetic_53_10_5__faulty__guard_strengthen__10043,medium,10,30,5,guard_strengthen,20.330000,1.000000,1.000000,1.000000,1.000000,0.913580,0.086420,True,True,completed
case_000011,synthetic_54_20_10,synthetic_54_20_10__faulty__action_corruption__11043,large,20,84,10,action_corruption,33.240000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000012,synthetic_55_50_15,synthetic_55_50_15__faulty__timeout_corruption__12043,very_large,50,252,15,timeout_corruption,60.420000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000013,synthetic_56_5_3,synthetic_56_5_3__faulty__delay_corruption__13043,small,5,11,3,delay_corruption,14.630000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000014,synthetic_57_10_5,synthetic_57_10_5__faulty__nondeterminism_intro__14043,medium,10,30,5,nondeterminism_intro,21.900000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,False,completed
case_000015,synthetic_58_20_10,synthetic_58_20_10__faulty__unreachable_state_intro__15043,large,20,80,10,unreachable_state_intro,32.580000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000016,,,very_large,0,0,0,variable_intra_class,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,failed: Could not apply operator 'variable_intra_class' for case 16: variable_intra_class requires at least one FSM variable
case_000017,synthetic_60_5_3,synthetic_60_5_3__faulty__guard_inter_class__17043,small,5,11,3,guard_inter_class,13.730000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000018,synthetic_61_10_5,synthetic_61_10_5__faulty__action_full_mutation__18043,medium,10,32,5,action_full_mutation,22.530000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000019,,,large,0,0,0,timed_selective_mutation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,failed: Could not apply operator 'timed_selective_mutation' for case 19: timed_selective_mutation requires timed transitions
case_000020,synthetic_63_50_15,synthetic_63_50_15__faulty__missing_transition__20043,very_large,50,251,15,missing_transition,59.700000,1.000000,1.000000,1.000000,1.000000,0.925700,0.074300,True,True,completed
case_000021,synthetic_64_5_3,synthetic_64_5_3__faulty__wrong_target__21043,small,5,10,3,wrong_target,13.300000,1.000000,1.000000,1.000000,1.000000,0.961538,0.038462,True,True,completed
case_000022,synthetic_65_10_5,synthetic_65_10_5__faulty__wrong_source__22043,medium,10,30,5,wrong_source,20.950000,1.000000,1.000000,1.000000,1.000000,0.906667,0.093333,True,False,completed
case_000023,synthetic_66_20_10,synthetic_66_20_10__faulty__wrong_event__23043,large,20,81,10,wrong_event,32.490000,1.000000,1.000000,1.000000,1.000000,0.995868,0.004132,True,True,completed
case_000024,synthetic_67_50_15,synthetic_67_50_15__faulty__wrong_initial_state__24043,very_large,50,255,15,wrong_initial_state,58.110000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,True,True,completed
case_000025,synthetic_68_5_3,synthetic_68_5_3__faulty__duplicate_transition__25043,small,5,10,3,duplicate_transition,13.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,False,completed
case_000026,synthetic_69_10_5,synthetic_69_10_5__faulty__dead_state_intro__26043,medium,10,30,5,dead_state_intro,20.670000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000027,synthetic_70_20_10,synthetic_70_20_10__faulty__guard_flip__27043,large,20,80,10,guard_flip,32.900000,1.000000,1.000000,1.000000,1.000000,0.547414,0.452586,True,True,completed
case_000028,synthetic_71_50_15,synthetic_71_50_15__faulty__guard_weaken__28043,very_large,50,253,15,guard_weaken,59.650000,1.000000,1.000000,1.000000,1.000000,0.998755,0.001245,True,True,completed
case_000029,synthetic_72_5_3,synthetic_72_5_3__faulty__guard_strengthen__29043,small,5,10,3,guard_strengthen,13.000000,1.000000,1.000000,1.000000,1.000000,0.954545,0.045455,True,True,completed
case_000030,synthetic_73_10_5,synthetic_73_10_5__faulty__action_corruption__30043,medium,10,31,5,action_corruption,20.680000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000031,synthetic_74_20_10,synthetic_74_20_10__faulty__timeout_corruption__31043,large,20,81,10,timeout_corruption,32.400000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000032,synthetic_75_50_15,synthetic_75_50_15__faulty__delay_corruption__32043,very_large,50,250,15,delay_corruption,60.530000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000033,synthetic_76_5_3,synthetic_76_5_3__faulty__nondeterminism_intro__33043,small,5,10,3,nondeterminism_intro,13.450000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,False,completed
case_000034,synthetic_77_10_5,synthetic_77_10_5__faulty__unreachable_state_intro__34043,medium,10,32,5,unreachable_state_intro,24.330000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000035,,,large,0,0,0,variable_intra_class,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,failed: Could not apply operator 'variable_intra_class' for case 35: variable_intra_class requires at least one FSM variable
case_000036,synthetic_79_50_15,synthetic_79_50_15__faulty__guard_inter_class__36043,very_large,50,253,15,guard_inter_class,61.170000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000037,synthetic_80_5_3,synthetic_80_5_3__faulty__action_full_mutation__37043,small,5,10,3,action_full_mutation,15.100000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000038,,,medium,0,0,0,timed_selective_mutation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,failed: Could not apply operator 'timed_selective_mutation' for case 38: timed_selective_mutation requires timed transitions
case_000039,synthetic_82_20_10,synthetic_82_20_10__faulty__missing_transition__39043,large,20,80,10,missing_transition,35.340000,1.000000,1.000000,1.000000,1.000000,0.996094,0.003906,True,True,completed
case_000040,synthetic_83_50_15,synthetic_83_50_15__faulty__wrong_target__40043,very_large,50,253,15,wrong_target,57.350000,1.000000,1.000000,1.000000,1.000000,0.985951,0.014049,True,True,completed
case_000041,synthetic_84_5_3,synthetic_84_5_3__faulty__wrong_source__41043,small,5,10,3,wrong_source,12.550000,1.000000,1.000000,1.000000,1.000000,0.772727,0.227273,True,False,completed
case_000042,synthetic_85_10_5,synthetic_85_10_5__faulty__wrong_event__42043,medium,10,30,5,wrong_event,20.330000,1.000000,1.000000,1.000000,1.000000,0.987654,0.012346,True,False,completed
case_000043,synthetic_86_20_10,synthetic_86_20_10__faulty__wrong_initial_state__43043,large,20,80,10,wrong_initial_state,33.740000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,True,True,completed
case_000044,synthetic_87_50_15,synthetic_87_50_15__faulty__duplicate_transition__44043,very_large,50,250,15,duplicate_transition,62.030000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,False,completed
case_000045,synthetic_88_5_3,synthetic_88_5_3__faulty__dead_state_intro__45043,small,5,10,3,dead_state_intro,12.850000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000046,synthetic_89_10_5,synthetic_89_10_5__faulty__guard_flip__46043,medium,10,30,5,guard_flip,19.520000,1.000000,1.000000,1.000000,1.000000,0.987179,0.012821,True,True,completed
case_000047,synthetic_90_20_10,synthetic_90_20_10__faulty__guard_weaken__47043,large,20,83,10,guard_weaken,32.330000,1.000000,1.000000,1.000000,1.000000,0.996000,0.004000,True,True,completed
case_000048,synthetic_91_50_15,synthetic_91_50_15__faulty__guard_strengthen__48043,very_large,50,250,15,guard_strengthen,60.160000,1.000000,1.000000,1.000000,1.000000,0.998870,0.001130,True,True,completed
case_000049,synthetic_92_5_3,synthetic_92_5_3__faulty__action_corruption__49043,small,5,10,3,action_corruption,13.750000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000050,synthetic_93_10_5,synthetic_93_10_5__faulty__timeout_corruption__50043,medium,10,31,5,timeout_corruption,20.680000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000051,synthetic_94_20_10,synthetic_94_20_10__faulty__delay_corruption__51043,large,20,80,10,delay_corruption,33.030000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000052,synthetic_95_50_15,synthetic_95_50_15__faulty__nondeterminism_intro__52043,very_large,50,250,15,nondeterminism_intro,58.990000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,False,completed
case_000053,synthetic_96_5_3,synthetic_96_5_3__faulty__unreachable_state_intro__53043,small,5,11,3,unreachable_state_intro,14.780000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000054,,,medium,0,0,0,variable_intra_class,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,failed: Could not apply operator 'variable_intra_class' for case 54: variable_intra_class requires at least one FSM variable
case_000055,synthetic_98_20_10,synthetic_98_20_10__faulty__guard_inter_class__55043,large,20,80,10,guard_inter_class,33.710000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000056,synthetic_99_50_15,synthetic_99_50_15__faulty__action_full_mutation__56043,very_large,50,250,15,action_full_mutation,62.810000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000057,,,small,0,0,0,timed_selective_mutation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,failed: Could not apply operator 'timed_selective_mutation' for case 57: timed_selective_mutation requires timed transitions
case_000058,synthetic_101_10_5,synthetic_101_10_5__faulty__missing_transition__58043,medium,10,31,5,missing_transition,23.060000,1.000000,1.000000,1.000000,1.000000,0.987952,0.012048,True,True,completed
case_000059,synthetic_102_20_10,synthetic_102_20_10__faulty__wrong_target__59043,large,20,81,10,wrong_target,34.770000,1.000000,1.000000,1.000000,1.000000,0.995951,0.004049,True,True,completed
case_000060,synthetic_103_50_15,synthetic_103_50_15__faulty__wrong_source__60043,very_large,50,250,15,wrong_source,59.780000,1.000000,1.000000,1.000000,1.000000,0.987135,0.012865,True,False,completed
case_000061,synthetic_104_5_3,synthetic_104_5_3__faulty__wrong_event__61043,small,5,10,3,wrong_event,13.000000,1.000000,1.000000,1.000000,1.000000,0.772727,0.227273,True,False,completed
case_000062,synthetic_105_10_5,synthetic_105_10_5__faulty__wrong_initial_state__62043,medium,10,30,5,wrong_initial_state,20.330000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,True,True,completed
case_000063,synthetic_106_20_10,synthetic_106_20_10__faulty__duplicate_transition__63043,large,20,81,10,duplicate_transition,34.060000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,False,completed
case_000064,synthetic_107_50_15,synthetic_107_50_15__faulty__dead_state_intro__64043,very_large,50,250,15,dead_state_intro,62.880000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000065,synthetic_108_5_3,synthetic_108_5_3__faulty__guard_flip__65043,small,5,10,3,guard_flip,13.750000,1.000000,1.000000,1.000000,1.000000,0.954545,0.045455,True,True,completed
case_000066,synthetic_109_10_5,synthetic_109_10_5__faulty__guard_weaken__66043,medium,10,30,5,guard_weaken,20.270000,1.000000,1.000000,1.000000,1.000000,0.987179,0.012821,True,True,completed
case_000067,synthetic_110_20_10,synthetic_110_20_10__faulty__guard_strengthen__67043,large,20,80,10,guard_strengthen,32.180000,1.000000,1.000000,1.000000,1.000000,0.995763,0.004237,True,True,completed
case_000068,synthetic_111_50_15,synthetic_111_50_15__faulty__action_corruption__68043,very_large,50,251,15,action_corruption,61.970000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000069,synthetic_112_5_3,synthetic_112_5_3__faulty__timeout_corruption__69043,small,5,11,3,timeout_corruption,14.330000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000070,synthetic_113_10_5,synthetic_113_10_5__faulty__delay_corruption__70043,medium,10,30,5,delay_corruption,20.330000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000071,synthetic_114_20_10,synthetic_114_20_10__faulty__nondeterminism_intro__71043,large,20,80,10,nondeterminism_intro,33.710000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,False,completed
case_000072,synthetic_115_50_15,synthetic_115_50_15__faulty__unreachable_state_intro__72043,very_large,50,252,15,unreachable_state_intro,61.260000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000073,,,small,0,0,0,variable_intra_class,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,failed: Could not apply operator 'variable_intra_class' for case 73: variable_intra_class requires at least one FSM variable
case_000074,synthetic_117_10_5,synthetic_117_10_5__faulty__guard_inter_class__74043,medium,10,30,5,guard_inter_class,20.530000,1.000000,1.000000,1.000000,1.000000,0.988889,0.011111,True,False,completed
case_000075,synthetic_118_20_10,synthetic_118_20_10__faulty__action_full_mutation__75043,large,20,80,10,action_full_mutation,32.990000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000076,,,very_large,0,0,0,timed_selective_mutation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,failed: Could not apply operator 'timed_selective_mutation' for case 76: timed_selective_mutation requires timed transitions
case_000077,synthetic_120_5_3,synthetic_120_5_3__faulty__missing_transition__77043,small,5,11,3,missing_transition,14.930000,1.000000,1.000000,1.000000,1.000000,0.958333,0.041667,True,True,completed
case_000078,synthetic_121_10_5,synthetic_121_10_5__faulty__wrong_target__78043,medium,10,30,5,wrong_target,20.950000,1.000000,1.000000,1.000000,1.000000,0.906667,0.093333,True,True,completed
case_000079,synthetic_122_20_10,synthetic_122_20_10__faulty__wrong_source__79043,large,20,81,10,wrong_source,34.680000,1.000000,1.000000,1.000000,1.000000,0.991453,0.008547,True,False,completed
case_000080,synthetic_123_50_15,synthetic_123_50_15__faulty__wrong_event__80043,very_large,50,252,15,wrong_event,60.410000,1.000000,1.000000,1.000000,1.000000,0.998761,0.001239,True,True,completed
case_000081,synthetic_124_5_3,synthetic_124_5_3__faulty__wrong_initial_state__81043,small,5,11,3,wrong_initial_state,15.230000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,True,True,completed
case_000082,synthetic_125_10_5,synthetic_125_10_5__faulty__duplicate_transition__82043,medium,10,30,5,duplicate_transition,20.270000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,False,completed
case_000083,synthetic_126_20_10,synthetic_126_20_10__faulty__dead_state_intro__83043,large,20,80,10,dead_state_intro,32.900000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
case_000084,synthetic_127_50_15,synthetic_127_50_15__faulty__guard_flip__84043,very_large,50,251,15,guard_flip,59.660000,1.000000,1.000000,1.000000,1.000000,0.986352,0.013648,True,True,completed
case_000085,synthetic_128_5_3,synthetic_128_5_3__faulty__guard_weaken__85043,small,5,11,3,guard_weaken,13.130000,1.000000,1.000000,1.000000,1.000000,0.958333,0.041667,True,True,completed
case_000086,synthetic_129_10_5,synthetic_129_10_5__faulty__guard_strengthen__86043,medium,10,30,5,guard_strengthen,21.220000,1.000000,1.000000,1.000000,1.000000,0.988506,0.011494,True,True,completed
case_000087,synthetic_130_20_10,synthetic_130_20_10__faulty__action_corruption__87043,large,20,80,10,action_corruption,33.780000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,True,True,completed
