case_id,plan_name,plan_version,cell_index,bug_type,reference_bpr,faulty_bpr,seed
case_000001,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,63
case_000002,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,80
case_000003,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,97
case_000004,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,114
case_000005,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,131
case_000006,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,148
case_000007,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,165
case_000008,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,182
case_000009,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,199
case_000010,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,216
case_000011,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.6666666666666666,233
case_000012,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,250
case_000013,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,267
case_000014,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,284
case_000015,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,301
case_000016,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.6666666666666666,318
case_000017,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,335
case_000018,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,352
case_000019,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,369
case_000020,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,386
case_000021,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,403
case_000022,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,420
case_000023,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,8356
case_000024,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.0,454
case_000025,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,0,missing_transition,1.0,0.6666666666666666,471
case_000026,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,589
case_000027,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,606
case_000028,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,623
case_000029,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,640
case_000030,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,657
case_000031,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,674
case_000032,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,691
case_000033,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,708
case_000034,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,725
case_000035,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,742
case_000036,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,759
case_000037,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,776
case_000038,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,793
case_000039,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,810
case_000040,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,827
case_000041,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,844
case_000042,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,861
case_000043,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,878
case_000044,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,895
case_000045,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,912
case_000046,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,929
case_000047,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,946
case_000048,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,8882
case_000049,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,980
case_000050,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,1,nondeterminism_intro,1.0,1.0,997
case_000051,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1115
case_000052,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1132
case_000053,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1149
case_000054,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1166
case_000055,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1183
case_000056,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1200
case_000057,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1217
case_000058,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1234
case_000059,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1251
case_000060,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1268
case_000061,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1285
case_000062,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1302
case_000063,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1319
case_000064,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1336
case_000065,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1353
case_000066,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1370
case_000067,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1387
case_000068,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1404
case_000069,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1421
case_000070,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1438
case_000071,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1455
case_000072,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1472
case_000073,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1489
case_000074,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1506
case_000075,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,2,wrong_source,1.0,0.0,1523
case_000076,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.0,1641
case_000077,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.6666666666666666,1658
case_000078,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.0,1675
case_000079,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.0,1692
case_000080,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,1.0,1709
case_000081,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.0,1726
case_000082,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.0,1743
case_000083,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.6666666666666666,1760
case_000084,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.0,9696
case_000085,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.0,1794
case_000086,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.0,9730
case_000087,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.0,1828
case_000088,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.0,1845
case_000089,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.0,1862
case_000090,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.5,1879
case_000091,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.6666666666666666,1896
case_000092,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.0,1913
case_000093,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.0,1930
case_000094,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.6666666666666666,1947
case_000095,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.6666666666666666,1964
case_000096,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.0,1981
case_000097,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.6666666666666666,1998
case_000098,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,1.0,2015
case_000099,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.0,2032
case_000100,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,3,wrong_event,1.0,0.6666666666666666,2049
case_000101,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,4,action_corruption,1.0,1.0,2167
case_000102,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,4,action_corruption,1.0,1.0,2184
case_000103,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,4,action_corruption,1.0,1.0,2201
case_000104,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,4,action_corruption,1.0,1.0,2218
case_000105,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,4,action_corruption,1.0,1.0,2235
case_000106,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,4,action_corruption,1.0,1.0,2252
case_000107,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,4,action_corruption,1.0,1.0,2269
case_000108,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,4,action_corruption,1.0,1.0,2286
case_000109,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,4,action_corruption,1.0,1.0,2303
case_000110,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,4,action_corruption,1.0,1.0,2320
case_000111,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,4,action_corruption,1.0,1.0,2337
case_000112,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,4,action_corruption,1.0,1.0,2354
case_000113,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,4,action_corruption,1.0,1.0,2371
case_000114,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,4,action_corruption,1.0,1.0,2388
case_000115,fsmrepairbench_multifamily_v0_3_smoke,0.3.0,4,action_corruption,1.0,1.0,2405
