case_id,machine_type,determinism,completeness,arity_class,size_class,guard_complexity,time_features,graph_structure,oracle_depth,bug_type,num_states,num_events,num_transitions,avg_out_degree,max_out_degree,num_guards,num_timed_guards,num_timeouts,num_cycles,scc_count,seed
case_000001,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,63
case_000002,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,80
case_000003,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,missing_transition,1,2,1,1.0,1,0,0,0,1,1,97
case_000004,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,missing_transition,1,2,1,1.0,1,0,0,0,1,1,114
case_000005,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,131
case_000006,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,148
case_000007,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,missing_transition,1,2,1,1.0,1,0,0,0,1,1,165
case_000008,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,182
case_000009,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,199
case_000010,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,missing_transition,1,2,1,1.0,1,0,0,0,1,1,216
case_000011,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,3,2,2,0.6667,1,0,0,0,0,3,233
case_000012,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,250
case_000013,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,missing_transition,1,2,1,1.0,1,0,0,0,1,1,267
case_000014,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,missing_transition,1,2,1,1.0,1,0,0,0,1,1,284
case_000015,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,301
case_000016,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,3,2,2,0.6667,1,0,0,0,0,3,318
case_000017,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,missing_transition,1,2,1,1.0,1,0,0,0,1,1,335
case_000018,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,352
case_000019,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,369
case_000020,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,3,2,2,0.6667,1,0,0,0,0,3,386
case_000021,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,missing_transition,1,2,1,1.0,1,0,0,0,1,1,403
case_000022,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,missing_transition,1,2,1,1.0,1,0,0,0,1,1,420
case_000023,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,8356
case_000024,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,454
case_000025,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,3,2,2,0.6667,1,0,0,0,0,3,471
case_000026,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,nondeterminism_intro,1,2,1,1.0,1,0,0,0,1,1,589
case_000027,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,nondeterminism_intro,3,2,2,0.6667,1,0,0,0,0,3,606
case_000028,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,nondeterminism_intro,1,2,1,1.0,1,0,0,0,1,1,623
case_000029,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,nondeterminism_intro,1,2,1,1.0,1,0,0,0,1,1,640
case_000030,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,nondeterminism_intro,3,2,2,0.6667,1,0,0,0,0,3,657
case_000031,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,nondeterminism_intro,2,2,1,0.5,1,0,0,0,0,2,674
case_000032,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,nondeterminism_intro,2,2,2,1.0,1,0,0,0,1,2,691
