case_id,plan_name,plan_version,cell_index,bug_type,reference_bpr,faulty_bpr,seed
case_000001,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,62
case_000002,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,79
case_000003,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,96
case_000004,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,113
case_000005,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,130
case_000006,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,147
case_000007,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,164
case_000008,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,181
case_000009,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,198
case_000010,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,215
case_000011,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,232
case_000012,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,249
case_000013,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,266
case_000014,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,283
case_000015,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,300
case_000016,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,317
case_000017,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,334
case_000018,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,351
case_000019,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,368
case_000020,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,385
case_000021,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,402
case_000022,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,419
case_000023,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,436
case_000024,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,453
case_000025,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,470
case_000026,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,487
case_000027,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,504
case_000028,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,521
case_000029,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,538
case_000030,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,555
case_000031,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,572
case_000032,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,589
case_000033,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,606
case_000034,fsmrepairbench_v0_2,0.2.0,0,missing_transition,1.0,0.0,623
