case_id,bug_type,mutation_operator,mutation_order,is_higher_order,reference_bpr,faulty_bpr,fault_detected
case_000001,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000002,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000003,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000004,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000005,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000006,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000007,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000008,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000009,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000010,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000011,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000012,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000013,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000014,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000015,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000016,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000017,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000018,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000019,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000020,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000021,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000022,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000023,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000024,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000025,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000026,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000027,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000028,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000029,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000030,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000031,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000032,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000033,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000034,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000035,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000036,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000037,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000038,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000039,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000040,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000041,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000042,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000043,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000044,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000045,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000046,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000047,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000048,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000049,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000050,missing_transition,missing_transition,1,False,1.0,0.0,1
case_000051,wrong_source,wrong_source,1,False,1.0,0.0,1
case_000052,wrong_source,wrong_source,1,False,1.0,0.0,1
case_000053,wrong_source,wrong_source,1,False,1.0,0.0,1
case_000054,wrong_source,wrong_source,1,False,1.0,0.0,1
case_000055,wrong_source,wrong_source,1,False,1.0,0.0,1
case_000056,wrong_source,wrong_source,1,False,1.0,0.0,1
case_000057,wrong_source,wrong_source,1,False,1.0,0.0,1
case_000058,wrong_source,wrong_source,1,False,1.0,0.0,1
case_000059,wrong_source,wrong_source,1,False,1.0,0.0,1
case_000060,wrong_source,wrong_source,1,False,1.0,0.0,1
case_000061,wrong_source,wrong_source,1,False,1.0,0.0,1
case_000062,wrong_source,wrong_source,1,False,1.0,0.0,1
