case_id,plan_name,plan_version,cell_index,bug_type,reference_bpr,faulty_bpr,seed
case_000001,fsmrepairbench_v0_higher_order_smoke,0.1.0,0,wrong_target,1.0,0.9,60
case_000002,fsmrepairbench_v0_higher_order_smoke,0.1.0,0,wrong_target,1.0,0.9166666666666666,77
case_000003,fsmrepairbench_v0_higher_order_smoke,0.1.0,0,wrong_target,1.0,0.9333333333333333,94
case_000004,fsmrepairbench_v0_higher_order_smoke,0.1.0,0,wrong_target,1.0,0.5454545454545454,111
case_000005,fsmrepairbench_v0_higher_order_smoke,0.1.0,0,wrong_target,1.0,0.9166666666666666,128
case_000006,fsmrepairbench_v0_higher_order_smoke,0.1.0,0,wrong_target,1.0,0.5,145
case_000007,fsmrepairbench_v0_higher_order_smoke,0.1.0,0,wrong_target,1.0,0.5833333333333334,162
case_000008,fsmrepairbench_v0_higher_order_smoke,0.1.0,0,wrong_target,1.0,0.9090909090909091,179
case_000009,fsmrepairbench_v0_higher_order_smoke,0.1.0,0,wrong_target,1.0,0.9285714285714286,196
case_000010,fsmrepairbench_v0_higher_order_smoke,0.1.0,0,wrong_target,1.0,0.5454545454545454,213
case_000011,fsmrepairbench_v0_higher_order_smoke,0.1.0,1,guard_flip,1.0,0.5,331
case_000012,fsmrepairbench_v0_higher_order_smoke,0.1.0,1,guard_flip,1.0,0.9,348
case_000013,fsmrepairbench_v0_higher_order_smoke,0.1.0,1,guard_flip,1.0,0.9,365
case_000014,fsmrepairbench_v0_higher_order_smoke,0.1.0,1,guard_flip,1.0,0.9,382
case_000015,fsmrepairbench_v0_higher_order_smoke,0.1.0,1,guard_flip,1.0,0.9,399
case_000016,fsmrepairbench_v0_higher_order_smoke,0.1.0,1,guard_flip,1.0,0.5,416
case_000017,fsmrepairbench_v0_higher_order_smoke,0.1.0,1,guard_flip,1.0,0.9,433
case_000018,fsmrepairbench_v0_higher_order_smoke,0.1.0,1,guard_flip,1.0,0.9,450
case_000019,fsmrepairbench_v0_higher_order_smoke,0.1.0,1,guard_flip,1.0,0.9166666666666666,467
case_000020,fsmrepairbench_v0_higher_order_smoke,0.1.0,1,guard_flip,1.0,0.5,484
case_000021,fsmrepairbench_v0_higher_order_smoke,0.1.0,2,missing_transition,1.0,0.0,602
case_000022,fsmrepairbench_v0_higher_order_smoke,0.1.0,2,missing_transition,1.0,0.6666666666666666,619
case_000023,fsmrepairbench_v0_higher_order_smoke,0.1.0,2,missing_transition,1.0,0.0,636
case_000024,fsmrepairbench_v0_higher_order_smoke,0.1.0,2,missing_transition,1.0,0.0,653
case_000025,fsmrepairbench_v0_higher_order_smoke,0.1.0,2,missing_transition,1.0,0.6666666666666666,670
case_000026,fsmrepairbench_v0_higher_order_smoke,0.1.0,2,missing_transition,1.0,0.0,687
case_000027,fsmrepairbench_v0_higher_order_smoke,0.1.0,2,missing_transition,1.0,0.0,704
case_000028,fsmrepairbench_v0_higher_order_smoke,0.1.0,2,missing_transition,1.0,0.0,721
case_000029,fsmrepairbench_v0_higher_order_smoke,0.1.0,2,missing_transition,1.0,0.0,738
case_000030,fsmrepairbench_v0_higher_order_smoke,0.1.0,2,missing_transition,1.0,0.0,755
case_000031,fsmrepairbench_v0_higher_order_smoke,0.1.0,3,wrong_event,1.0,0.0,873
case_000032,fsmrepairbench_v0_higher_order_smoke,0.1.0,3,wrong_event,1.0,0.0,890
case_000033,fsmrepairbench_v0_higher_order_smoke,0.1.0,3,wrong_event,1.0,0.0,907
