fsm_id,model,bpr,mutation_score,transition_coverage,oracle_scenarios,optimized_scenarios,pareto_front_size,execution_cost
synthetic_42_6_4,reference,1.0,0.326923,1.0,13,3,9,135
synthetic_42_6_4,missing-transition,0.962963,0.326923,1.0,13,3,9,135
synthetic_42_6_4,wrong-target,1.0,0.326923,1.0,13,3,9,135
synthetic_42_6_4,random,0.888889,0.326923,1.0,13,3,9,135
synthetic_59_6_4,reference,1.0,0.173077,1.0,13,4,10,135
synthetic_59_6_4,missing-transition,0.814815,0.173077,1.0,13,4,10,135
synthetic_59_6_4,wrong-target,1.0,0.173077,1.0,13,4,10,135
synthetic_59_6_4,random,0.777778,0.173077,1.0,13,4,10,135
synthetic_76_6_4,reference,1.0,0.1875,1.0,12,3,7,150
synthetic_76_6_4,missing-transition,0.966667,0.1875,1.0,12,3,7,150
synthetic_76_6_4,wrong-target,1.0,0.1875,1.0,12,3,7,150
synthetic_76_6_4,random,0.966667,0.1875,1.0,12,3,7,150
