metric,value
case_count,1000
overall_detection_rate,0.495
mean_difficulty_score,32.2734
mean_reference_bpr,1.0
mean_faulty_bpr,0.916578
mean_bpr_delta,0.083422
detection_rate_action_corruption,0.0
detection_rate_action_full_mutation,0.0
detection_rate_dead_state_intro,0.0
detection_rate_delay_corruption,0.0
detection_rate_duplicate_transition,0.0
detection_rate_guard_flip,1.0
detection_rate_guard_inter_class,0.377358
detection_rate_guard_strengthen,1.0
detection_rate_guard_weaken,1.0
detection_rate_missing_transition,1.0
detection_rate_nondeterminism_intro,0.0
detection_rate_timeout_corruption,0.0
detection_rate_unreachable_state_intro,0.0
detection_rate_wrong_event,1.0
detection_rate_wrong_initial_state,1.0
detection_rate_wrong_source,1.0
detection_rate_wrong_target,1.0
