feature_x,feature_y,pearson_r,n
state_count,difficulty_score,0.640878,1000
transition_count,difficulty_score,0.99576,1000
event_count,difficulty_score,0.0,1000
oracle_state_coverage,difficulty_score,0.0,1000
oracle_transition_coverage,difficulty_score,0.0,1000
oracle_event_coverage,difficulty_score,0.0,1000
reference_bpr,difficulty_score,0.0,1000
faulty_bpr,difficulty_score,0.481118,1000
state_count,bpr_delta,-0.576082,1000
transition_count,bpr_delta,-0.486288,1000
event_count,bpr_delta,0.0,1000
oracle_state_coverage,bpr_delta,0.0,1000
oracle_transition_coverage,bpr_delta,0.0,1000
oracle_event_coverage,bpr_delta,0.0,1000
reference_bpr,bpr_delta,0.0,1000
faulty_bpr,bpr_delta,-1.0,1000
