metric,bucket,count,fraction
state_count,1,46,0.046
state_count,2,382,0.382
state_count,3,572,0.572
transition_count,1,396,0.396
transition_count,3,160,0.16
transition_count,4,94,0.094
transition_count,5,50,0.05
transition_count,6,94,0.094
transition_count,7,42,0.042
transition_count,8,12,0.012
transition_count,9,2,0.002
transition_count,12,150,0.15
mutation_operator,action_corruption,50,0.05
mutation_operator,action_full_mutation,0,0.0
mutation_operator,dead_state_intro,50,0.05
mutation_operator,delay_corruption,50,0.05
mutation_operator,duplicate_transition,50,0.05
mutation_operator,guard_flip,100,0.1
mutation_operator,guard_inter_class,0,0.0
mutation_operator,guard_strengthen,50,0.05
mutation_operator,guard_weaken,50,0.05
mutation_operator,missing_transition,150,0.15
mutation_operator,nondeterminism_intro,50,0.05
mutation_operator,timed_selective_mutation,0,0.0
mutation_operator,timeout_corruption,50,0.05
mutation_operator,unreachable_state_intro,50,0.05
mutation_operator,variable_intra_class,0,0.0
mutation_operator,wrong_event,50,0.05
mutation_operator,wrong_initial_state,50,0.05
mutation_operator,wrong_source,50,0.05
mutation_operator,wrong_target,150,0.15
difficulty_category,easy,988,0.988
difficulty_category,medium,12,0.012
oracle_state_coverage,1.0000,1000,1.0
oracle_transition_coverage,1.0000,1000,1.0
oracle_event_coverage,1.0000,1000,1.0
reference_bpr,1.00,1000,1.0
faulty_bpr,0.00,289,0.289
faulty_bpr,0.06,1,0.001
faulty_bpr,0.07,2,0.002
faulty_bpr,0.08,4,0.004
faulty_bpr,0.15,2,0.002
faulty_bpr,0.25,13,0.013
faulty_bpr,0.38,7,0.007
faulty_bpr,0.42,3,0.003
faulty_bpr,0.50,43,0.043
faulty_bpr,0.55,14,0.014
faulty_bpr,0.58,10,0.01
faulty_bpr,0.62,4,0.004
faulty_bpr,0.64,1,0.001
faulty_bpr,0.67,2,0.002
faulty_bpr,0.75,20,0.02
faulty_bpr,0.83,20,0.02
faulty_bpr,0.88,15,0.015
faulty_bpr,0.89,9,0.009
faulty_bpr,0.90,43,0.043
faulty_bpr,0.91,8,0.008
faulty_bpr,0.92,41,0.041
faulty_bpr,0.93,10,0.01
faulty_bpr,0.94,3,0.003
faulty_bpr,0.95,70,0.07
faulty_bpr,0.96,16,0.016
faulty_bpr,1.00,350,0.35
machine_type,efsm,200,0.2
machine_type,mealy,200,0.2
machine_type,moore,200,0.2
machine_type,plain_fsm,200,0.2
machine_type,timed_fsm,200,0.2
mutation_detection_rate,action_corruption,0,0.0
mutation_detection_rate,dead_state_intro,0,0.0
mutation_detection_rate,delay_corruption,0,0.0
mutation_detection_rate,duplicate_transition,0,0.0
mutation_detection_rate,guard_flip,100,1.0
mutation_detection_rate,guard_strengthen,50,1.0
mutation_detection_rate,guard_weaken,50,1.0
mutation_detection_rate,missing_transition,150,1.0
mutation_detection_rate,nondeterminism_intro,0,0.0
mutation_detection_rate,timeout_corruption,0,0.0
mutation_detection_rate,unreachable_state_intro,0,0.0
mutation_detection_rate,wrong_event,50,1.0
mutation_detection_rate,wrong_initial_state,50,1.0
mutation_detection_rate,wrong_source,50,1.0
mutation_detection_rate,wrong_target,150,1.0
