scope,group_key,group_value,partition,tool_a,tool_b,comparison_label,n_cases,complete_repair_rate_a,complete_repair_rate_b,delta_complete_repair_rate,effective_repair_rate_a,effective_repair_rate_b,delta_effective_repair_rate,mean_delta_bpr_a,mean_delta_bpr_b,delta_mean_delta_bpr,regression_rate_a,regression_rate_b,delta_regression_rate
by_tier,complexity_tier,large,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,127,0.685039,0.11811,0.566929,0.787402,0.220472,0.566929,0.098932,0.039566,0.059367,0.0,0.0,0.0
by_tier,complexity_tier,large,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,127,0.685039,0.0,0.685039,0.787402,0.0,0.787402,0.098932,-0.035316,0.134249,0.0,0.826772,-0.826772
by_tier,complexity_tier,large,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,127,0.11811,0.0,0.11811,0.220472,0.0,0.220472,0.039566,-0.035316,0.074882,0.0,0.826772,-0.826772
by_tier,complexity_tier,medium,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,124,0.677419,0.120968,0.556452,0.766129,0.209677,0.556452,0.094287,0.044194,0.050093,0.0,0.0,0.0
by_tier,complexity_tier,medium,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,124,0.677419,0.008065,0.669355,0.766129,0.024194,0.741935,0.094287,-0.019745,0.114032,0.0,0.548387,-0.548387
by_tier,complexity_tier,medium,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,124,0.120968,0.008065,0.112903,0.209677,0.024194,0.185484,0.044194,-0.019745,0.06394,0.0,0.548387,-0.548387
by_tier,complexity_tier,small,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,121,0.677686,0.123967,0.553719,0.760331,0.22314,0.53719,0.150391,0.065131,0.085259,0.0,0.0,0.0
by_tier,complexity_tier,small,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,121,0.677686,0.0,0.677686,0.760331,0.0,0.760331,0.150391,-0.00641,0.156801,0.0,0.099174,-0.099174
by_tier,complexity_tier,small,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,121,0.123967,0.0,0.123967,0.22314,0.0,0.22314,0.065131,-0.00641,0.071542,0.0,0.099174,-0.099174
by_tier,complexity_tier,very_large,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,123,0.699187,0.121951,0.577236,0.804878,0.227642,0.577236,0.078611,0.04641,0.032201,0.0,0.0,0.0
by_tier,complexity_tier,very_large,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,123,0.699187,0.0,0.699187,0.804878,0.0,0.804878,0.078611,-0.002994,0.081605,0.0,0.495935,-0.495935
by_tier,complexity_tier,very_large,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,123,0.121951,0.0,0.121951,0.227642,0.0,0.227642,0.04641,-0.002994,0.049404,0.0,0.495935,-0.495935
