metric,value
tool_id,baseline_missing_transition
cases,1000
complete_repair_rate,0.844
effective_repair_rate,0.386
regression_rate,0.0
mean_delta_bpr,0.052122
mean_initial_bpr,0.916578
mean_final_bpr,0.968701
complete_repair_rate_detectable_only,0.684848
effective_repair_rate_detectable_only,0.779798
detectable_cases,495
oracle_saturated_cases,505
tool_label,missing-transition
tool_id,baseline_wrong_target
cases,1000
complete_repair_rate,0.565
effective_repair_rate,0.109
regression_rate,0.0
mean_delta_bpr,0.024094
mean_initial_bpr,0.916578
mean_final_bpr,0.940673
complete_repair_rate_detectable_only,0.121212
effective_repair_rate_detectable_only,0.220202
detectable_cases,495
oracle_saturated_cases,505
tool_label,wrong-target
tool_id,baseline_random
cases,1000
complete_repair_rate,0.506
effective_repair_rate,0.003
regression_rate,0.246
mean_delta_bpr,-0.008077
mean_initial_bpr,0.916578
mean_final_bpr,0.908501
complete_repair_rate_detectable_only,0.00202
effective_repair_rate_detectable_only,0.006061
detectable_cases,495
oracle_saturated_cases,505
tool_label,random
tool_id,baseline_search_bpr
cases,1000
complete_repair_rate,0.932
effective_repair_rate,0.485
regression_rate,0.0
mean_delta_bpr,0.060952
mean_initial_bpr,0.916578
mean_final_bpr,0.977531
complete_repair_rate_detectable_only,0.862626
effective_repair_rate_detectable_only,0.979798
detectable_cases,495
oracle_saturated_cases,505
tool_label,search-bpr
tool_id,baseline_oracle_composite
cases,1000
complete_repair_rate,0.839
effective_repair_rate,0.409
regression_rate,0.015
mean_delta_bpr,0.075999
mean_initial_bpr,0.916578
mean_final_bpr,0.992577
complete_repair_rate_detectable_only,0.674747
effective_repair_rate_detectable_only,0.826263
detectable_cases,495
oracle_saturated_cases,505
tool_label,oracle-composite
tool_id,baseline_llm_template
cases,1000
complete_repair_rate,0.839
effective_repair_rate,0.409
regression_rate,0.015
mean_delta_bpr,0.075999
mean_initial_bpr,0.916578
mean_final_bpr,0.992577
complete_repair_rate_detectable_only,0.674747
effective_repair_rate_detectable_only,0.826263
detectable_cases,495
oracle_saturated_cases,505
tool_label,llm-template
