cases,cohort_wide_complete_repair_rate,cohort_wide_detection_rate,cohort_wide_effective_repair_rate,cohort_wide_mean_delta_bpr,cohort_wide_n_cases,complete_repair_rate,detectable_only_complete_repair_rate,detectable_only_detection_rate,detectable_only_effective_repair_rate,detectable_only_mean_delta_bpr,detectable_only_n_cases,effective_repair_rate,mean_delta_bpr,regression_rate,seed,tool_id,tool_label
1000,0.506,0.495,0.003,-0.008077,1000,0.506,0.00202,1.0,0.006061,-0.016318,495,0.003,-0.008077,0.246,0,baseline_random,random
1000,0.511,0.495,0.014,-0.021042,1000,0.511,0.012121,1.0,0.028283,-0.04251,495,0.014,-0.021042,0.31,1,baseline_random,random
1000,0.505,0.495,0.006,-0.027312,1000,0.505,0.0,1.0,0.012121,-0.055176,495,0.006,-0.027312,0.402,2,baseline_random,random
1000,0.507,0.495,0.005,-0.026368,1000,0.507,0.00404,1.0,0.010101,-0.053269,495,0.005,-0.026368,0.371,3,baseline_random,random
1000,0.506,0.495,0.005,-0.041129,1000,0.506,0.00202,1.0,0.010101,-0.08309,495,0.005,-0.041129,0.347,4,baseline_random,random
1000,0.508,0.495,0.006,-0.01125,1000,0.508,0.006061,1.0,0.012121,-0.022728,495,0.006,-0.01125,0.308,5,baseline_random,random
1000,0.505,0.495,0.003,-0.0488,1000,0.505,0.0,1.0,0.006061,-0.098586,495,0.003,-0.0488,0.34,6,baseline_random,random
1000,0.505,0.495,0.004,-0.022781,1000,0.505,0.0,1.0,0.008081,-0.046023,495,0.004,-0.022781,0.359,7,baseline_random,random
1000,0.505,0.495,0.005,-0.014196,1000,0.505,0.0,1.0,0.010101,-0.028679,495,0.005,-0.014196,0.359,8,baseline_random,random
1000,0.506,0.495,0.008,-0.02431,1000,0.506,0.00202,1.0,0.016162,-0.049111,495,0.008,-0.02431,0.335,9,baseline_random,random
1000,0.932,0.495,0.485,0.060952,1000,0.932,0.862626,1.0,0.979798,0.123135,495,0.485,0.060952,0.0,0,baseline_search_bpr,search-bpr
1000,0.932,0.495,0.485,0.060952,1000,0.932,0.862626,1.0,0.979798,0.123135,495,0.485,0.060952,0.0,1,baseline_search_bpr,search-bpr
1000,0.932,0.495,0.485,0.060952,1000,0.932,0.862626,1.0,0.979798,0.123135,495,0.485,0.060952,0.0,2,baseline_search_bpr,search-bpr
1000,0.932,0.495,0.485,0.060952,1000,0.932,0.862626,1.0,0.979798,0.123135,495,0.485,0.060952,0.0,3,baseline_search_bpr,search-bpr
1000,0.932,0.495,0.485,0.060952,1000,0.932,0.862626,1.0,0.979798,0.123135,495,0.485,0.060952,0.0,4,baseline_search_bpr,search-bpr
1000,0.932,0.495,0.485,0.060952,1000,0.932,0.862626,1.0,0.979798,0.123135,495,0.485,0.060952,0.0,5,baseline_search_bpr,search-bpr
1000,0.932,0.495,0.485,0.060952,1000,0.932,0.862626,1.0,0.979798,0.123135,495,0.485,0.060952,0.0,6,baseline_search_bpr,search-bpr
1000,0.932,0.495,0.485,0.060952,1000,0.932,0.862626,1.0,0.979798,0.123135,495,0.485,0.060952,0.0,7,baseline_search_bpr,search-bpr
1000,0.932,0.495,0.485,0.060952,1000,0.932,0.862626,1.0,0.979798,0.123135,495,0.485,0.060952,0.0,8,baseline_search_bpr,search-bpr
1000,0.932,0.495,0.485,0.060952,1000,0.932,0.862626,1.0,0.979798,0.123135,495,0.485,0.060952,0.0,9,baseline_search_bpr,search-bpr
