tool_id,tool_label,partition,metric,n_cases,mean,std,min,max,ci95_low,ci95_high,ci_method,seed_count
baseline_missing_transition,missing-transition,cohort_wide,detection_rate,1000,0.495,0.0,0.495,0.495,0.495,0.495,single_run,1
baseline_missing_transition,missing-transition,cohort_wide,complete_repair_rate,1000,0.844,0.0,0.844,0.844,0.844,0.844,single_run,1
baseline_missing_transition,missing-transition,cohort_wide,effective_repair_rate,1000,0.386,0.0,0.386,0.386,0.386,0.386,single_run,1
baseline_missing_transition,missing-transition,cohort_wide,mean_delta_bpr,1000,0.052122,0.0,0.052122,0.052122,0.052122,0.052122,single_run,1
baseline_missing_transition,missing-transition,detectable_only,detection_rate,495,1.0,0.0,1.0,1.0,1.0,1.0,single_run,1
baseline_missing_transition,missing-transition,detectable_only,complete_repair_rate,495,0.684848,0.0,0.684848,0.684848,0.684848,0.684848,single_run,1
baseline_missing_transition,missing-transition,detectable_only,effective_repair_rate,495,0.779798,0.0,0.779798,0.779798,0.779798,0.779798,single_run,1
baseline_missing_transition,missing-transition,detectable_only,mean_delta_bpr,495,0.105298,0.0,0.105298,0.105298,0.105298,0.105298,single_run,1
baseline_wrong_target,wrong-target,cohort_wide,detection_rate,1000,0.495,0.0,0.495,0.495,0.495,0.495,single_run,1
baseline_wrong_target,wrong-target,cohort_wide,complete_repair_rate,1000,0.565,0.0,0.565,0.565,0.565,0.565,single_run,1
baseline_wrong_target,wrong-target,cohort_wide,effective_repair_rate,1000,0.109,0.0,0.109,0.109,0.109,0.109,single_run,1
baseline_wrong_target,wrong-target,cohort_wide,mean_delta_bpr,1000,0.024094,0.0,0.024094,0.024094,0.024094,0.024094,single_run,1
baseline_wrong_target,wrong-target,detectable_only,detection_rate,495,1.0,0.0,1.0,1.0,1.0,1.0,single_run,1
baseline_wrong_target,wrong-target,detectable_only,complete_repair_rate,495,0.121212,0.0,0.121212,0.121212,0.121212,0.121212,single_run,1
baseline_wrong_target,wrong-target,detectable_only,effective_repair_rate,495,0.220202,0.0,0.220202,0.220202,0.220202,0.220202,single_run,1
baseline_wrong_target,wrong-target,detectable_only,mean_delta_bpr,495,0.048675,0.0,0.048675,0.048675,0.048675,0.048675,single_run,1
baseline_random,random,cohort_wide,detection_rate,1000,0.495,0.0,0.495,0.495,0.495,0.495,seed_bootstrap,10
baseline_random,random,cohort_wide,complete_repair_rate,1000,0.5064,0.0018,0.505,0.511,0.5054,0.5076,seed_bootstrap,10
baseline_random,random,cohort_wide,effective_repair_rate,1000,0.0059,0.003048,0.003,0.014,0.0043,0.008,seed_bootstrap,10
baseline_random,random,cohort_wide,mean_delta_bpr,1000,-0.024526,0.01202,-0.0488,-0.008077,-0.032359,-0.017457,seed_bootstrap,10
baseline_random,random,detectable_only,detection_rate,495,1.0,0.0,1.0,1.0,1.0,1.0,seed_bootstrap,10
baseline_random,random,detectable_only,complete_repair_rate,495,0.002828,0.003636,0.0,0.012121,0.000808,0.005253,seed_bootstrap,10
baseline_random,random,detectable_only,effective_repair_rate,495,0.011919,0.006157,0.006061,0.028283,0.008687,0.016162,seed_bootstrap,10
baseline_random,random,detectable_only,mean_delta_bpr,495,-0.049549,0.024283,-0.098586,-0.016318,-0.064899,-0.035196,seed_bootstrap,10
baseline_search_bpr,search-bpr,cohort_wide,detection_rate,1000,0.495,0.0,0.495,0.495,0.495,0.495,seed_bootstrap,10
baseline_search_bpr,search-bpr,cohort_wide,complete_repair_rate,1000,0.932,0.0,0.932,0.932,0.932,0.932,seed_bootstrap,10
baseline_search_bpr,search-bpr,cohort_wide,effective_repair_rate,1000,0.485,0.0,0.485,0.485,0.485,0.485,seed_bootstrap,10
baseline_search_bpr,search-bpr,cohort_wide,mean_delta_bpr,1000,0.060952,0.0,0.060952,0.060952,0.060952,0.060952,seed_bootstrap,10
baseline_search_bpr,search-bpr,detectable_only,detection_rate,495,1.0,0.0,1.0,1.0,1.0,1.0,seed_bootstrap,10
baseline_search_bpr,search-bpr,detectable_only,complete_repair_rate,495,0.862626,0.0,0.862626,0.862626,0.862626,0.862626,seed_bootstrap,10
baseline_search_bpr,search-bpr,detectable_only,effective_repair_rate,495,0.979798,0.0,0.979798,0.979798,0.979798,0.979798,seed_bootstrap,10
baseline_search_bpr,search-bpr,detectable_only,mean_delta_bpr,495,0.123135,0.0,0.123135,0.123135,0.123135,0.123135,seed_bootstrap,10
baseline_oracle_composite,oracle-composite,cohort_wide,detection_rate,1000,0.495,0.0,0.495,0.495,0.495,0.495,single_run,1
baseline_oracle_composite,oracle-composite,cohort_wide,complete_repair_rate,1000,0.839,0.0,0.839,0.839,0.839,0.839,single_run,1
baseline_oracle_composite,oracle-composite,cohort_wide,effective_repair_rate,1000,0.409,0.0,0.409,0.409,0.409,0.409,single_run,1
baseline_oracle_composite,oracle-composite,cohort_wide,mean_delta_bpr,1000,0.075999,0.0,0.075999,0.075999,0.075999,0.075999,single_run,1
baseline_oracle_composite,oracle-composite,detectable_only,detection_rate,495,1.0,0.0,1.0,1.0,1.0,1.0,single_run,1
