bpr_delta_pre_repair,case_id,complete_repair,complexity_tier,delta_bpr,difficulty_score,effective_repair,faulty_bpr,final_bpr,initial_bpr,mutation_operator,oracle_detected,reference_bpr,regression,tool_id
0.045454545454545414,case_000001,True,small,0.045454545454545414,13.0,True,0.9545454545454546,1.0,0.9545454545454546,missing_transition,True,1.0,False,baseline_missing_transition
0.045454545454545414,case_000001,False,small,-0.045454545454545525,13.0,False,0.9545454545454546,0.9090909090909091,0.9545454545454546,missing_transition,True,1.0,True,baseline_random
0.045454545454545414,case_000001,False,small,0.0,13.0,False,0.9545454545454546,0.9545454545454546,0.9545454545454546,missing_transition,True,1.0,False,baseline_wrong_target
0.013157894736842146,case_000002,False,medium,0.0,22.18,False,0.9868421052631579,0.9868421052631579,0.9868421052631579,wrong_target,True,1.0,False,baseline_missing_transition
0.013157894736842146,case_000002,False,medium,-0.10526315789473684,22.18,False,0.9868421052631579,0.881578947368421,0.9868421052631579,wrong_target,True,1.0,True,baseline_random
0.013157894736842146,case_000002,True,medium,0.013157894736842146,22.18,True,0.9868421052631579,1.0,0.9868421052631579,wrong_target,True,1.0,False,baseline_wrong_target
0.004098360655737654,case_000003,False,large,0.0,34.49,False,0.9959016393442623,0.9959016393442623,0.9959016393442623,wrong_source,True,1.0,False,baseline_missing_transition
0.004098360655737654,case_000003,False,large,-0.004098360655737765,34.49,False,0.9959016393442623,0.9918032786885246,0.9959016393442623,wrong_source,True,1.0,True,baseline_random
0.004098360655737654,case_000003,False,large,0.0,34.49,False,0.9959016393442623,0.9959016393442623,0.9959016393442623,wrong_source,True,1.0,False,baseline_wrong_target
0.0011976047904191933,case_000004,False,very_large,0.0,59.73,False,0.9988023952095808,0.9988023952095808,0.9988023952095808,wrong_event,True,1.0,False,baseline_missing_transition
0.0011976047904191933,case_000004,False,very_large,-0.003592814371257469,59.73,False,0.9988023952095808,0.9952095808383233,0.9988023952095808,wrong_event,True,1.0,True,baseline_random
0.0011976047904191933,case_000004,False,very_large,0.0,59.73,False,0.9988023952095808,0.9988023952095808,0.9988023952095808,wrong_event,True,1.0,False,baseline_wrong_target
1.0,case_000005,False,small,0.0,14.8,False,0.0,0.0,0.0,wrong_initial_state,True,1.0,False,baseline_missing_transition
1.0,case_000005,False,small,0.0,14.8,False,0.0,0.0,0.0,wrong_initial_state,True,1.0,False,baseline_random
1.0,case_000005,False,small,0.7272727272727273,14.8,True,0.0,0.7272727272727273,0.0,wrong_initial_state,True,1.0,False,baseline_wrong_target
0.0,case_000006,True,medium,0.0,21.02,False,1.0,1.0,1.0,duplicate_transition,False,1.0,False,baseline_missing_transition
0.0,case_000006,True,medium,0.0,21.02,False,1.0,1.0,1.0,duplicate_transition,False,1.0,False,baseline_random
0.0,case_000006,True,medium,0.0,21.02,False,1.0,1.0,1.0,duplicate_transition,False,1.0,False,baseline_wrong_target
0.0,case_000007,True,large,0.0,33.74,False,1.0,1.0,1.0,dead_state_intro,False,1.0,False,baseline_missing_transition
0.0,case_000007,True,large,0.0,33.74,False,1.0,1.0,1.0,dead_state_intro,False,1.0,False,baseline_random
0.0,case_000007,True,large,0.0,33.74,False,1.0,1.0,1.0,dead_state_intro,False,1.0,False,baseline_wrong_target
0.014341590612777066,case_000008,True,very_large,0.014341590612777066,61.05,True,0.9856584093872229,1.0,0.9856584093872229,guard_flip,True,1.0,False,baseline_missing_transition
0.014341590612777066,case_000008,False,very_large,-0.0013037809647978849,61.05,False,0.9856584093872229,0.984354628422425,0.9856584093872229,guard_flip,True,1.0,True,baseline_random
0.014341590612777066,case_000008,False,very_large,0.0,61.05,False,0.9856584093872229,0.9856584093872229,0.9856584093872229,guard_flip,True,1.0,False,baseline_wrong_target
0.20833333333333337,case_000009,True,small,0.20833333333333337,14.63,True,0.7916666666666666,1.0,0.7916666666666666,guard_weaken,True,1.0,False,baseline_missing_transition
0.20833333333333337,case_000009,False,small,0.0,14.63,False,0.7916666666666666,0.7916666666666666,0.7916666666666666,guard_weaken,True,1.0,False,baseline_random
0.20833333333333337,case_000009,False,small,0.0,14.63,False,0.7916666666666666,0.7916666666666666,0.7916666666666666,guard_weaken,True,1.0,False,baseline_wrong_target
0.0864197530864198,case_000010,True,medium,0.0864197530864198,20.33,True,0.9135802469135802,1.0,0.9135802469135802,guard_strengthen,True,1.0,False,baseline_missing_transition
0.0864197530864198,case_000010,False,medium,0.0,20.33,False,0.9135802469135802,0.9135802469135802,0.9135802469135802,guard_strengthen,True,1.0,False,baseline_random
0.0864197530864198,case_000010,False,medium,0.0,20.33,False,0.9135802469135802,0.9135802469135802,0.9135802469135802,guard_strengthen,True,1.0,False,baseline_wrong_target
0.0,case_000011,True,large,0.0,33.24,False,1.0,1.0,1.0,action_corruption,False,1.0,False,baseline_missing_transition
0.0,case_000011,True,large,0.0,33.24,False,1.0,1.0,1.0,action_corruption,False,1.0,False,baseline_random
0.0,case_000011,True,large,0.0,33.24,False,1.0,1.0,1.0,action_corruption,False,1.0,False,baseline_wrong_target
0.0,case_000012,True,very_large,0.0,60.42,False,1.0,1.0,1.0,timeout_corruption,False,1.0,False,baseline_missing_transition
0.0,case_000012,True,very_large,0.0,60.42,False,1.0,1.0,1.0,timeout_corruption,False,1.0,False,baseline_random
0.0,case_000012,True,very_large,0.0,60.42,False,1.0,1.0,1.0,timeout_corruption,False,1.0,False,baseline_wrong_target
0.0,case_000013,True,small,0.0,14.63,False,1.0,1.0,1.0,delay_corruption,False,1.0,False,baseline_missing_transition
0.0,case_000013,True,small,0.0,14.63,False,1.0,1.0,1.0,delay_corruption,False,1.0,False,baseline_random
0.0,case_000013,True,small,0.0,14.63,False,1.0,1.0,1.0,delay_corruption,False,1.0,False,baseline_wrong_target
0.0,case_000014,True,medium,0.0,21.9,False,1.0,1.0,1.0,nondeterminism_intro,False,1.0,False,baseline_missing_transition
0.0,case_000014,True,medium,0.0,21.9,False,1.0,1.0,1.0,nondeterminism_intro,False,1.0,False,baseline_random
0.0,case_000014,True,medium,0.0,21.9,False,1.0,1.0,1.0,nondeterminism_intro,False,1.0,False,baseline_wrong_target
0.0,case_000015,True,large,0.0,32.58,False,1.0,1.0,1.0,unreachable_state_intro,False,1.0,False,baseline_missing_transition
0.0,case_000015,True,large,0.0,32.58,False,1.0,1.0,1.0,unreachable_state_intro,False,1.0,False,baseline_random
0.0,case_000015,True,large,0.0,32.58,False,1.0,1.0,1.0,unreachable_state_intro,False,1.0,False,baseline_wrong_target
0.0,case_000017,True,small,0.0,13.73,False,1.0,1.0,1.0,guard_inter_class,False,1.0,False,baseline_missing_transition
0.0,case_000017,True,small,0.0,13.73,False,1.0,1.0,1.0,guard_inter_class,False,1.0,False,baseline_random
0.0,case_000017,True,small,0.0,13.73,False,1.0,1.0,1.0,guard_inter_class,False,1.0,False,baseline_wrong_target
