metric,group,partition,subgroup,n_cases,mean,ci95_low,ci95_high
detection_rate,C1,cohort_wide,baseline_search_bpr,1000,0.495,0.465,0.525
complete_repair_rate,C1,cohort_wide,baseline_search_bpr,1000,0.932,0.916,0.947
effective_repair_rate,C1,cohort_wide,baseline_search_bpr,1000,0.485,0.454,0.516
mean_bpr_delta,C1,cohort_wide,baseline_search_bpr,1000,0.060952,0.050832,0.071507
detection_rate,C1,detectable_only,baseline_search_bpr,495,1.0,1.0,1.0
complete_repair_rate,C1,detectable_only,baseline_search_bpr,495,0.862626,0.832323,0.892929
effective_repair_rate,C1,detectable_only,baseline_search_bpr,495,0.979798,0.967677,0.991919
mean_bpr_delta,C1,detectable_only,baseline_search_bpr,495,0.123135,0.104907,0.14265
detection_rate,C1,cohort_wide,baseline_oracle_composite,1000,0.495,0.465,0.525
complete_repair_rate,C1,cohort_wide,baseline_oracle_composite,1000,0.839,0.816,0.862
effective_repair_rate,C1,cohort_wide,baseline_oracle_composite,1000,0.409,0.378,0.439
mean_bpr_delta,C1,cohort_wide,baseline_oracle_composite,1000,0.075999,0.0616,0.090405
detection_rate,C1,detectable_only,baseline_oracle_composite,495,1.0,1.0,1.0
complete_repair_rate,C1,detectable_only,baseline_oracle_composite,495,0.674747,0.632323,0.715152
effective_repair_rate,C1,detectable_only,baseline_oracle_composite,495,0.826263,0.791919,0.858586
mean_bpr_delta,C1,detectable_only,baseline_oracle_composite,495,0.153533,0.127566,0.181118
detection_rate,C1,cohort_wide,baseline_llm_template,1000,0.495,0.465,0.525
complete_repair_rate,C1,cohort_wide,baseline_llm_template,1000,0.839,0.816,0.862
effective_repair_rate,C1,cohort_wide,baseline_llm_template,1000,0.409,0.378,0.439
mean_bpr_delta,C1,cohort_wide,baseline_llm_template,1000,0.075999,0.0616,0.090405
detection_rate,C1,detectable_only,baseline_llm_template,495,1.0,1.0,1.0
complete_repair_rate,C1,detectable_only,baseline_llm_template,495,0.674747,0.632323,0.715152
effective_repair_rate,C1,detectable_only,baseline_llm_template,495,0.826263,0.791919,0.858586
mean_bpr_delta,C1,detectable_only,baseline_llm_template,495,0.153533,0.127566,0.181118
