case_id,tool_id,mutation_operator,oracle_detected,complete_repair,effective_repair,delta_bpr,structural_diff_top1_hit,structural_diff_top3_hit,structural_diff_top5_hit,structural_diff_rank,structural_diff_mrr
case_000001,baseline_llm_template,missing_transition,True,True,True,0.045454545454545414,False,False,False,,0.0
case_000001,baseline_oracle_composite,missing_transition,True,True,True,0.045454545454545414,False,False,False,,0.0
case_000001,baseline_search_bpr,missing_transition,True,True,True,0.045454545454545414,False,False,False,,0.0
case_000002,baseline_llm_template,wrong_target,True,True,True,0.013157894736842146,True,True,True,1,1.0
case_000002,baseline_oracle_composite,wrong_target,True,True,True,0.013157894736842146,True,True,True,1,1.0
case_000002,baseline_search_bpr,wrong_target,True,True,True,0.013157894736842146,True,True,True,1,1.0
case_000003,baseline_llm_template,wrong_source,True,True,True,0.004098360655737654,True,True,True,1,1.0
case_000003,baseline_oracle_composite,wrong_source,True,True,True,0.004098360655737654,True,True,True,1,1.0
case_000003,baseline_search_bpr,wrong_source,True,True,True,0.004098360655737654,True,True,True,1,1.0
case_000004,baseline_llm_template,wrong_event,True,False,False,-0.0011976047904190823,True,True,True,1,1.0
case_000004,baseline_oracle_composite,wrong_event,True,False,False,-0.0011976047904190823,True,True,True,1,1.0
case_000004,baseline_search_bpr,wrong_event,True,True,True,0.0011976047904191933,True,True,True,1,1.0
case_000005,baseline_llm_template,wrong_initial_state,True,False,True,0.7272727272727273,False,False,False,,0.0
case_000005,baseline_oracle_composite,wrong_initial_state,True,False,True,0.7272727272727273,False,False,False,,0.0
case_000005,baseline_search_bpr,wrong_initial_state,True,False,True,0.7272727272727273,False,False,False,,0.0
case_000006,baseline_llm_template,duplicate_transition,False,True,False,0.0,False,False,False,,0.0
case_000006,baseline_oracle_composite,duplicate_transition,False,True,False,0.0,False,False,False,,0.0
case_000006,baseline_search_bpr,duplicate_transition,False,True,False,0.0,False,False,False,,0.0
case_000007,baseline_llm_template,dead_state_intro,False,True,False,0.0,False,False,False,,0.0
case_000007,baseline_oracle_composite,dead_state_intro,False,True,False,0.0,False,False,False,,0.0
case_000007,baseline_search_bpr,dead_state_intro,False,True,False,0.0,False,False,False,,0.0
case_000008,baseline_llm_template,guard_flip,True,True,True,0.014341590612777066,True,True,True,1,1.0
case_000008,baseline_oracle_composite,guard_flip,True,True,True,0.014341590612777066,True,True,True,1,1.0
case_000008,baseline_search_bpr,guard_flip,True,True,True,0.014341590612777066,True,True,True,1,1.0
case_000009,baseline_llm_template,guard_weaken,True,True,True,0.20833333333333337,True,True,True,1,1.0
case_000009,baseline_oracle_composite,guard_weaken,True,True,True,0.20833333333333337,True,True,True,1,1.0
case_000009,baseline_search_bpr,guard_weaken,True,True,True,0.20833333333333337,True,True,True,1,1.0
case_000010,baseline_llm_template,guard_strengthen,True,True,True,0.0864197530864198,True,True,True,1,1.0
case_000010,baseline_oracle_composite,guard_strengthen,True,True,True,0.0864197530864198,True,True,True,1,1.0
case_000010,baseline_search_bpr,guard_strengthen,True,True,True,0.0864197530864198,True,True,True,1,1.0
