case_id,tool_id,tool_type,model,mutation_operator,status,failure_class,initial_bpr,final_bpr,delta_bpr,complete_repair,effective_repair,regression,patch_parse_failures,patch_validation_failures,patch_application_failures,iterations_completed,runtime_seconds,complexity_tier,difficulty_score,faulty_bpr,reference_bpr,oracle_detected,bpr_delta_pre_repair
case_000001,baseline_missing_transition,baseline,baseline_missing_transition,missing_transition,completed,complete_repair,0.0,1.0,1.0,True,True,False,0,0,0,1,0.0003,small,3.88,0.0,1.0,True,1.0
case_000001,baseline_random,baseline,baseline_random,missing_transition,completed,no_improvement,0.0,0.0,0.0,False,False,False,0,0,0,1,0.0003,small,3.88,0.0,1.0,True,1.0
case_000001,baseline_wrong_target,baseline,baseline_wrong_target,missing_transition,completed,no_improvement,0.0,0.0,0.0,False,False,False,0,0,0,1,0.0001,small,3.88,0.0,1.0,True,1.0
case_000002,baseline_missing_transition,baseline,baseline_missing_transition,missing_transition,completed,complete_repair,0.0,1.0,1.0,True,True,False,0,0,0,1,0.0002,small,3.88,0.0,1.0,True,1.0
case_000002,baseline_random,baseline,baseline_random,missing_transition,completed,no_improvement,0.0,0.0,0.0,False,False,False,0,0,0,1,0.0002,small,3.88,0.0,1.0,True,1.0
case_000002,baseline_wrong_target,baseline,baseline_wrong_target,missing_transition,completed,no_improvement,0.0,0.0,0.0,False,False,False,0,0,0,1,0.0001,small,3.88,0.0,1.0,True,1.0
case_000003,baseline_missing_transition,baseline,baseline_missing_transition,missing_transition,completed,complete_repair,0.0,1.0,1.0,True,True,False,0,0,0,1,0.0002,small,5.43,0.0,1.0,True,1.0
case_000003,baseline_random,baseline,baseline_random,missing_transition,completed,no_improvement,0.0,0.0,0.0,False,False,False,0,0,0,1,0.0001,small,5.43,0.0,1.0,True,1.0
case_000003,baseline_wrong_target,baseline,baseline_wrong_target,missing_transition,completed,no_improvement,0.0,0.0,0.0,False,False,False,0,0,0,1,0.0001,small,5.43,0.0,1.0,True,1.0
case_000004,baseline_missing_transition,baseline,baseline_missing_transition,missing_transition,completed,complete_repair,0.0,1.0,1.0,True,True,False,0,0,0,1,0.0002,small,5.43,0.0,1.0,True,1.0
case_000004,baseline_random,baseline,baseline_random,missing_transition,completed,no_improvement,0.0,0.0,0.0,False,False,False,0,0,0,1,0.0002,small,5.43,0.0,1.0,True,1.0
case_000004,baseline_wrong_target,baseline,baseline_wrong_target,missing_transition,completed,no_improvement,0.0,0.0,0.0,False,False,False,0,0,0,1,0.0001,small,5.43,0.0,1.0,True,1.0
