campaign,release_label,construct,metric,partition,subgroup,n_cases,value,ci95_low,ci95_high
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,top_1_hit_rate,transition_localizable_gt,ochiai,376,0.196809,0.156915,0.236702
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,top_3_hit_rate,transition_localizable_gt,ochiai,376,0.24734,0.204787,0.292553
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,top_5_hit_rate,transition_localizable_gt,ochiai,376,0.300532,0.255319,0.348404
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,mrr,transition_localizable_gt,ochiai,376,0.264639,0.227145,0.303264
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,top_1_hit_rate,transition_localizable_gt,tarantula,376,0.077128,0.050532,0.106383
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,top_3_hit_rate,transition_localizable_gt,tarantula,376,0.236702,0.194149,0.281915
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,top_5_hit_rate,transition_localizable_gt,tarantula,376,0.300532,0.255319,0.348404
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,mrr,transition_localizable_gt,tarantula,376,0.195357,0.168415,0.224245
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,top_1_hit_rate,transition_localizable_gt,jaccard,376,0.196809,0.156915,0.236702
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,top_3_hit_rate,transition_localizable_gt,jaccard,376,0.24734,0.204787,0.292553
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,top_5_hit_rate,transition_localizable_gt,jaccard,376,0.300532,0.255319,0.348404
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,mrr,transition_localizable_gt,jaccard,376,0.264639,0.227145,0.303264
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,top_1_hit_rate,transition_localizable_gt,random,376,0.037234,0.018617,0.058511
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,top_3_hit_rate,transition_localizable_gt,random,376,0.109043,0.079787,0.140957
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,top_5_hit_rate,transition_localizable_gt,random,376,0.167553,0.130319,0.204787
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,mrr,transition_localizable_gt,random,376,0.122089,0.102109,0.143685
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,top_1_hit_rate,transition_localizable_gt,structural_diff,376,0.994681,0.986702,1.0
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,top_3_hit_rate,transition_localizable_gt,structural_diff,376,0.994681,0.986702,1.0
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,top_5_hit_rate,transition_localizable_gt,structural_diff,376,0.994681,0.986702,1.0
RQ3-localization-ochiai-1k,RQ3-localization-ochiai-1k,localization,mrr,transition_localizable_gt,structural_diff,376,0.994681,0.986702,1.0
