case_id,mutation_operator,complexity_tier,c1_oracle_detected,c1_faulty_bpr,c1_bpr_delta_pre_repair,c1_initial_bpr,c1_final_bpr,c1_repair_delta_bpr,c1_complete_repair,c1_effective_repair,rq4_fo_fault_detected,rq4_fo_bpr_delta,rq4_fo_complete_repair,rq4_fo_effective_repair,rq4_fo_repair_delta_bpr,rq4_ho_mutation_order,rq4_ho_fault_detected,rq4_ho_bpr_delta,rq4_ho_complete_repair,rq4_ho_effective_repair,rq4_ho_repair_delta_bpr,rq3_transition_localizable,rq3_top1_hit,detection_gained_fo_to_ho,repair_complete_lost_fo_to_ho
case_000011,action_corruption,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.038136,False,True,0.033898,True,False,True,True
case_000030,action_corruption,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.407895,True,False,True,True
case_000049,action_corruption,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.727273,False,True,0.227273,True,False,True,True
case_000068,action_corruption,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.002407,True,True,0.002407,True,False,True,False
case_000075,action_full_mutation,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.352459,False,False,True,True
case_000018,action_full_mutation,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.028169,True,True,0.028169,False,False,True,False
case_000037,action_full_mutation,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.923077,False,False,True,True
case_000056,action_full_mutation,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.112139,True,True,0.112139,False,False,True,False
case_000007,dead_state_intro,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.008197,True,True,0.008197,False,False,True,False
case_000026,dead_state_intro,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.395833,False,False,True,True
case_000045,dead_state_intro,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.454545,True,True,0.454545,False,False,True,False
case_000064,dead_state_intro,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.936313,False,False,True,True
case_000051,delay_corruption,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.03629,False,True,0.032258,True,False,True,True
case_000070,delay_corruption,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.024691,True,True,0.024691,True,False,True,False
case_000013,delay_corruption,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.083333,True,True,0.083333,True,False,True,False
case_000032,delay_corruption,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.002339,True,True,0.002339,True,False,True,False
case_000063,duplicate_transition,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.996016,True,False,True,True
case_000006,duplicate_transition,medium,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.307692,True,False,True,True
case_000025,duplicate_transition,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.227273,False,True,0.181818,True,False,True,True
case_000044,duplicate_transition,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.8,True,False,True,True
case_000027,guard_flip,large,True,0.5474137931034483,0.4525862068965517,0.5474137931034483,1.0,0.4525862068965517,True,True,True,0.452586,True,True,0.452586,3,True,0.012931,False,True,0.008621,True,True,False,True
case_000046,guard_flip,medium,True,0.9871794871794872,0.012820512820512775,0.9871794871794872,1.0,0.012820512820512775,True,True,True,0.012821,True,True,0.012821,3,True,0.358974,False,True,0.346154,True,False,False,True
case_000065,guard_flip,small,True,0.9545454545454546,0.045454545454545414,0.9545454545454546,1.0,0.045454545454545414,True,True,True,0.045455,True,True,0.045455,3,True,0.545455,True,True,0.545455,True,False,False,False
case_000008,guard_flip,very_large,True,0.9856584093872229,0.014341590612777066,0.9856584093872229,1.0,0.014341590612777066,True,True,True,0.014342,True,True,0.014342,3,True,0.003911,False,True,0.002608,True,False,False,True
case_000055,guard_inter_class,large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.995833,True,False,True,True
case_000074,guard_inter_class,medium,True,0.9888888888888889,0.011111111111111072,0.9888888888888889,0.9888888888888889,0.0,False,False,True,0.011111,True,True,0.011111,3,True,0.011111,True,True,0.011111,True,False,False,False
case_000017,guard_inter_class,small,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,1.0,False,True,0.952381,True,False,True,True
case_000036,guard_inter_class,very_large,False,1.0,0.0,1.0,1.0,0.0,True,False,False,0.0,True,False,0.0,3,True,0.003676,True,True,0.003676,True,False,True,False
case_000067,guard_strengthen,large,True,0.9957627118644068,0.004237288135593209,0.9957627118644068,1.0,0.004237288135593209,True,True,True,0.004237,True,True,0.004237,3,True,0.097458,True,True,0.097458,True,False,False,False
case_000010,guard_strengthen,medium,True,0.9135802469135802,0.0864197530864198,0.9135802469135802,1.0,0.0864197530864198,True,True,True,0.08642,True,True,0.08642,3,True,0.037037,True,True,0.037037,True,False,False,False
case_000029,guard_strengthen,small,True,0.9545454545454546,0.045454545454545414,0.9545454545454546,1.0,0.045454545454545414,True,True,True,0.045455,True,True,0.045455,3,True,0.727273,False,True,0.636364,True,False,False,True
case_000048,guard_strengthen,very_large,True,0.9988700564971752,0.001129943502824804,0.9988700564971752,1.0,0.001129943502824804,True,True,True,0.00113,True,True,0.00113,3,True,0.031638,True,True,0.031638,True,False,False,False
case_000047,guard_weaken,large,True,0.996,0.0040000000000000036,0.996,1.0,0.0040000000000000036,True,True,True,0.004,True,True,0.004,3,True,0.096,False,True,0.092,True,False,False,True
case_000066,guard_weaken,medium,True,0.9871794871794872,0.012820512820512775,0.9871794871794872,1.0,0.012820512820512775,True,True,True,0.012821,True,True,0.012821,3,True,0.435897,False,True,0.346154,True,False,False,True
