machine_type,bug_type,planned_count,realised_count,realisation_ratio,status
efsm,action_corruption,0,0,0.0,absent
efsm,dead_state_intro,0,0,0.0,absent
efsm,delay_corruption,0,0,0.0,absent
efsm,duplicate_transition,0,0,0.0,absent
efsm,guard_flip,50,0,0.0,unrepresented
efsm,guard_strengthen,50,0,0.0,unrepresented
efsm,guard_weaken,50,0,0.0,unrepresented
efsm,missing_transition,50,0,0.0,unrepresented
efsm,nondeterminism_intro,0,0,0.0,absent
efsm,timeout_corruption,0,0,0.0,absent
efsm,unreachable_state_intro,0,0,0.0,absent
efsm,wrong_event,0,0,0.0,absent
efsm,wrong_initial_state,0,0,0.0,absent
efsm,wrong_source,0,0,0.0,absent
efsm,wrong_target,0,0,0.0,absent
mealy,action_corruption,50,0,0.0,unrepresented
mealy,dead_state_intro,0,0,0.0,absent
mealy,delay_corruption,0,0,0.0,absent
mealy,duplicate_transition,50,0,0.0,unrepresented
mealy,guard_flip,50,0,0.0,unrepresented
mealy,guard_strengthen,0,0,0.0,absent
mealy,guard_weaken,0,0,0.0,absent
mealy,missing_transition,0,0,0.0,absent
mealy,nondeterminism_intro,0,0,0.0,absent
mealy,timeout_corruption,0,0,0.0,absent
mealy,unreachable_state_intro,0,0,0.0,absent
mealy,wrong_event,0,0,0.0,absent
mealy,wrong_initial_state,0,0,0.0,absent
mealy,wrong_source,0,0,0.0,absent
mealy,wrong_target,50,0,0.0,unrepresented
moore,action_corruption,0,0,0.0,absent
moore,dead_state_intro,50,0,0.0,unrepresented
moore,delay_corruption,0,0,0.0,absent
moore,duplicate_transition,0,0,0.0,absent
moore,guard_flip,0,0,0.0,absent
moore,guard_strengthen,0,0,0.0,absent
moore,guard_weaken,0,0,0.0,absent
moore,missing_transition,0,0,0.0,absent
moore,nondeterminism_intro,0,0,0.0,absent
moore,timeout_corruption,0,0,0.0,absent
moore,unreachable_state_intro,50,0,0.0,unrepresented
moore,wrong_event,0,0,0.0,absent
moore,wrong_initial_state,50,0,0.0,unrepresented
moore,wrong_source,0,0,0.0,absent
moore,wrong_target,50,0,0.0,unrepresented
plain_fsm,action_corruption,0,0,0.0,absent
plain_fsm,dead_state_intro,0,0,0.0,absent
plain_fsm,delay_corruption,0,0,0.0,absent
plain_fsm,duplicate_transition,0,0,0.0,absent
plain_fsm,guard_flip,0,0,0.0,absent
plain_fsm,guard_strengthen,0,0,0.0,absent
plain_fsm,guard_weaken,0,0,0.0,absent
plain_fsm,missing_transition,50,60,1.2,met_or_exceeded
plain_fsm,nondeterminism_intro,50,59,1.18,met_or_exceeded
plain_fsm,timeout_corruption,0,0,0.0,absent
plain_fsm,unreachable_state_intro,0,0,0.0,absent
plain_fsm,wrong_event,50,59,1.18,met_or_exceeded
plain_fsm,wrong_initial_state,0,0,0.0,absent
plain_fsm,wrong_source,50,60,1.2,met_or_exceeded
plain_fsm,wrong_target,0,0,0.0,absent
timed_fsm,action_corruption,0,0,0.0,absent
timed_fsm,dead_state_intro,0,0,0.0,absent
timed_fsm,delay_corruption,50,0,0.0,unrepresented
timed_fsm,duplicate_transition,0,0,0.0,absent
timed_fsm,guard_flip,0,0,0.0,absent
timed_fsm,guard_strengthen,0,0,0.0,absent
timed_fsm,guard_weaken,0,0,0.0,absent
timed_fsm,missing_transition,50,0,0.0,unrepresented
timed_fsm,nondeterminism_intro,0,0,0.0,absent
timed_fsm,timeout_corruption,50,0,0.0,unrepresented
timed_fsm,unreachable_state_intro,0,0,0.0,absent
timed_fsm,wrong_event,0,0,0.0,absent
timed_fsm,wrong_initial_state,0,0,0.0,absent
timed_fsm,wrong_source,0,0,0.0,absent
timed_fsm,wrong_target,50,0,0.0,unrepresented
