dimension,value,case_count,cohort_fraction,present_in_universe
machine_type,efsm,4,0.2,True
machine_type,mealy,4,0.2,True
machine_type,moore,4,0.2,True
machine_type,plain_fsm,4,0.2,True
machine_type,timed_fsm,4,0.2,True
determinism,deterministic,20,1.0,True
completeness,complete,2,0.1,True
completeness,partial,18,0.9,True
arity_class,high,3,0.15,True
arity_class,low,12,0.6,True
arity_class,medium,5,0.25,True
size_class,tiny,20,1.0,True
guard_complexity,compound,4,0.2,True
guard_complexity,none,8,0.4,True
guard_complexity,simple,8,0.4,True
time_features,none,16,0.8,True
time_features,timeout,4,0.2,True
graph_structure,acyclic,6,0.3,True
graph_structure,cyclic,14,0.7,True
graph_structure,dense,3,0.15,True
graph_structure,hub_and_spoke,9,0.45,True
graph_structure,layered,20,1.0,True
graph_structure,sparse,12,0.6,True
oracle_depth,shallow,20,1.0,True
bug_type,action_corruption,1,0.05,True
bug_type,dead_state_intro,1,0.05,True
bug_type,delay_corruption,1,0.05,True
bug_type,duplicate_transition,1,0.05,True
bug_type,guard_flip,2,0.1,True
bug_type,guard_strengthen,1,0.05,True
bug_type,guard_weaken,1,0.05,True
bug_type,missing_transition,3,0.15,True
bug_type,nondeterminism_intro,1,0.05,True
bug_type,timeout_corruption,1,0.05,True
bug_type,unreachable_state_intro,1,0.05,True
bug_type,wrong_event,1,0.05,True
bug_type,wrong_initial_state,1,0.05,True
bug_type,wrong_source,1,0.05,True
bug_type,wrong_target,3,0.15,True
