group_key,group_value,case_count,cohort_fraction,distinct_subgroups,subgroup_coverage_ratio,present_in_cohort
mutation_operator,action_corruption,1,0.05,1,0.2,True
mutation_operator,action_full_mutation,0,0.0,0,0.0,False
mutation_operator,dead_state_intro,1,0.05,1,0.2,True
mutation_operator,delay_corruption,1,0.05,1,0.2,True
mutation_operator,duplicate_transition,1,0.05,1,0.2,True
mutation_operator,guard_flip,2,0.1,2,0.4,True
mutation_operator,guard_inter_class,0,0.0,0,0.0,False
mutation_operator,guard_strengthen,1,0.05,1,0.2,True
mutation_operator,guard_weaken,1,0.05,1,0.2,True
mutation_operator,missing_transition,3,0.15,3,0.6,True
mutation_operator,nondeterminism_intro,1,0.05,1,0.2,True
mutation_operator,timed_selective_mutation,0,0.0,0,0.0,False
mutation_operator,timeout_corruption,1,0.05,1,0.2,True
mutation_operator,unreachable_state_intro,1,0.05,1,0.2,True
mutation_operator,variable_intra_class,0,0.0,0,0.0,False
mutation_operator,wrong_event,1,0.05,1,0.2,True
mutation_operator,wrong_initial_state,1,0.05,1,0.2,True
mutation_operator,wrong_source,1,0.05,1,0.2,True
mutation_operator,wrong_target,3,0.15,3,0.6,True
