metric,value
case_count,20
overall_detection_rate,0.65
mean_difficulty_score,10.1255
mean_reference_bpr,1.0
mean_faulty_bpr,0.599861
mean_bpr_delta,0.400139
detection_rate_action_corruption,0.0
detection_rate_dead_state_intro,0.0
detection_rate_delay_corruption,0.0
detection_rate_duplicate_transition,0.0
detection_rate_guard_flip,1.0
detection_rate_guard_strengthen,1.0
detection_rate_guard_weaken,1.0
detection_rate_missing_transition,1.0
detection_rate_nondeterminism_intro,0.0
detection_rate_timeout_corruption,0.0
detection_rate_unreachable_state_intro,0.0
detection_rate_wrong_event,1.0
detection_rate_wrong_initial_state,1.0
detection_rate_wrong_source,1.0
detection_rate_wrong_target,1.0
planned_case_count_plain_fsm,4
built_case_count_plain_fsm,4
build_failure_count_plain_fsm,0
planned_case_count_mealy,4
built_case_count_mealy,4
build_failure_count_mealy,0
planned_case_count_moore,4
built_case_count_moore,4
build_failure_count_moore,0
planned_case_count_efsm,4
built_case_count_efsm,4
build_failure_count_efsm,0
planned_case_count_timed_fsm,4
built_case_count_timed_fsm,4
build_failure_count_timed_fsm,0
experiment,multifamily-v0.3.0-pilot
plan_name,fsmrepairbench_multifamily_pilot
plan_version,0.3.0-pilot
plan_seed,46
planned_total_cases,20
built_total_cases,20
