cell_index,machine_type,bug_type,size_class,planned_count,realised_count,realisation_ratio,status
0,plain_fsm,missing_transition,tiny,50,50,1.0,met_or_exceeded
1,plain_fsm,nondeterminism_intro,tiny,50,50,1.0,met_or_exceeded
2,plain_fsm,wrong_source,tiny,50,50,1.0,met_or_exceeded
3,plain_fsm,wrong_event,tiny,50,50,1.0,met_or_exceeded
4,mealy,action_corruption,tiny,50,50,1.0,met_or_exceeded
5,mealy,guard_flip,tiny,50,50,1.0,met_or_exceeded
6,mealy,duplicate_transition,tiny,50,50,1.0,met_or_exceeded
7,mealy,wrong_target,tiny,50,50,1.0,met_or_exceeded
8,moore,wrong_initial_state,tiny,50,50,1.0,met_or_exceeded
9,moore,dead_state_intro,tiny,50,50,1.0,met_or_exceeded
10,moore,wrong_target,tiny,50,50,1.0,met_or_exceeded
11,moore,unreachable_state_intro,tiny,50,50,1.0,met_or_exceeded
12,efsm,guard_weaken,tiny,50,50,1.0,met_or_exceeded
13,efsm,guard_strengthen,tiny,50,50,1.0,met_or_exceeded
14,efsm,guard_flip,tiny,50,50,1.0,met_or_exceeded
15,efsm,missing_transition,tiny,50,50,1.0,met_or_exceeded
16,timed_fsm,timeout_corruption,tiny,50,50,1.0,met_or_exceeded
17,timed_fsm,delay_corruption,tiny,50,50,1.0,met_or_exceeded
18,timed_fsm,wrong_target,tiny,50,50,1.0,met_or_exceeded
19,timed_fsm,missing_transition,tiny,50,50,1.0,met_or_exceeded
