dimension,value,present_in_cohort,present_in_plan
machine_type,nondeterministic_fsm,False,False
machine_type,probabilistic_fsm,False,False
machine_type,timed_efsm,False,False
bug_type,action_full_mutation,False,False
bug_type,guard_inter_class,False,False
bug_type,timed_selective_mutation,False,False
bug_type,variable_intra_class,False,False
size_class,large,False,False
size_class,medium,False,False
size_class,small,False,False
size_class,very_large,False,False
determinism,nondeterministic,False,True
oracle_depth,deep,False,False
oracle_depth,exhaustive_like,False,False
oracle_depth,medium,False,False
guard_complexity,nested,False,False
time_features,output_delay,False,False
time_features,timed_guard,False,False
time_features,timed_guard_and_timeout,False,False
graph_structure,strongly_connected,False,False
arity_class,very_high,False,False
