machine_type,mutation_operator,case_count,fraction_within_family
efsm,guard_flip,50,0.25
efsm,guard_strengthen,50,0.25
efsm,guard_weaken,50,0.25
efsm,missing_transition,50,0.25
mealy,action_corruption,50,0.25
mealy,duplicate_transition,50,0.25
mealy,guard_flip,50,0.25
mealy,wrong_target,50,0.25
moore,dead_state_intro,50,0.25
moore,unreachable_state_intro,50,0.25
moore,wrong_initial_state,50,0.25
moore,wrong_target,50,0.25
plain_fsm,missing_transition,50,0.25
plain_fsm,nondeterminism_intro,50,0.25
plain_fsm,wrong_event,50,0.25
plain_fsm,wrong_source,50,0.25
timed_fsm,delay_corruption,50,0.25
timed_fsm,missing_transition,50,0.25
timed_fsm,timeout_corruption,50,0.25
timed_fsm,wrong_target,50,0.25
