metric,value
case_count,500
overall_detection_rate,0.646
mean_difficulty_score,10.07052
mean_reference_bpr,1.0
mean_faulty_bpr,0.646107
mean_bpr_delta,0.353893
detection_rate_action_corruption,0.0
detection_rate_dead_state_intro,0.0
detection_rate_delay_corruption,0.0
detection_rate_duplicate_transition,0.0
detection_rate_guard_flip,1.0
detection_rate_guard_strengthen,1.0
detection_rate_guard_weaken,1.0
detection_rate_missing_transition,1.0
detection_rate_nondeterminism_intro,0.0
detection_rate_timeout_corruption,0.0
detection_rate_unreachable_state_intro,0.0
detection_rate_wrong_event,0.92
detection_rate_wrong_initial_state,1.0
detection_rate_wrong_source,1.0
detection_rate_wrong_target,1.0
planned_case_count_plain_fsm,100
built_case_count_plain_fsm,100
build_failure_count_plain_fsm,0
planned_case_count_mealy,100
built_case_count_mealy,100
build_failure_count_mealy,0
planned_case_count_moore,100
built_case_count_moore,100
build_failure_count_moore,0
planned_case_count_efsm,100
built_case_count_efsm,100
build_failure_count_efsm,0
planned_case_count_timed_fsm,100
built_case_count_timed_fsm,100
build_failure_count_timed_fsm,0
experiment,multifamily-v0.3.0-external-validity-pilot
plan_name,fsmrepairbench_multifamily_v0_3_smoke
plan_version,0.3.0
plan_seed,46
planned_total_cases,500
built_total_cases,500
