case_id,machine_type,determinism,completeness,arity_class,size_class,guard_complexity,time_features,graph_structure,oracle_depth,bug_type,num_states,num_events,num_transitions,avg_out_degree,max_out_degree,num_guards,num_timed_guards,num_timeouts,num_cycles,scc_count,seed
case_000001,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,111
case_000002,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,128
case_000003,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,145
case_000004,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,162
case_000005,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,179
case_000006,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,196
case_000007,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,213
case_000008,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,230
case_000009,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,247
case_000010,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,264
case_000011,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,281
case_000012,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,298
case_000013,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,315
case_000014,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,332
case_000015,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,349
case_000016,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,366
case_000017,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,383
case_000018,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,400
case_000019,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,417
case_000020,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,434
case_000021,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,451
case_000022,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,468
case_000023,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,485
case_000024,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,502
case_000025,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,519
case_000026,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,536
case_000027,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,553
case_000028,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,570
case_000029,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,587
case_000030,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,604
case_000031,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,621
case_000032,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,638
case_000033,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,655
case_000034,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,672
case_000035,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,689
case_000036,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,706
case_000037,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,723
case_000038,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,740
case_000039,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,757
case_000040,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,774
case_000041,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,791
case_000042,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,808
case_000043,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,825
case_000044,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,842
case_000045,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,859
case_000046,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,876
case_000047,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,893
case_000048,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,910
case_000049,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,927
case_000050,plain_fsm,deterministic,partial,low,tiny,none,none,acyclic|sparse|layered,shallow,missing_transition,2,2,1,0.5,1,0,0,0,0,2,944
case_000051,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,nondeterminism_intro,3,2,3,1.0,1,0,0,0,1,3,1062
case_000052,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,nondeterminism_intro,3,2,3,1.0,1,0,0,0,1,3,8998
case_000053,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,nondeterminism_intro,3,2,3,1.0,1,0,0,0,1,3,1096
case_000054,plain_fsm,deterministic,partial,low,tiny,none,none,cyclic|sparse|layered,shallow,nondeterminism_intro,3,2,3,1.0,1,0,0,0,1,3,9032
