case_id,plan_name,plan_version,cell_index,bug_type,reference_bpr,faulty_bpr,seed
case_000001,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,121
case_000002,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,138
case_000003,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,155
case_000004,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,172
case_000005,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,189
case_000006,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,206
case_000007,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,223
case_000008,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,240
case_000009,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,257
case_000010,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,274
case_000011,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,291
case_000012,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,308
case_000013,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,325
case_000014,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,342
case_000015,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,359
case_000016,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,376
case_000017,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,393
case_000018,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,410
case_000019,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,427
case_000020,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,444
case_000021,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,461
case_000022,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,478
case_000023,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,495
case_000024,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,512
case_000025,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,529
case_000026,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,546
case_000027,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,563
case_000028,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,580
case_000029,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,597
case_000030,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,614
case_000031,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,631
case_000032,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,648
case_000033,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,665
case_000034,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,682
case_000035,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,699
case_000036,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,716
case_000037,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,733
case_000038,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,750
case_000039,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,767
case_000040,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,784
case_000041,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,801
case_000042,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,818
case_000043,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,835
case_000044,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,852
case_000045,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,869
case_000046,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,886
case_000047,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,903
case_000048,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,920
case_000049,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,937
case_000050,fsmrepairbench_v0_1k_seed_104,0.1.0,0,missing_transition,1.0,0.0,954
case_000051,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,8991
case_000052,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1089
case_000053,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1106
case_000054,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1123
case_000055,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1140
case_000056,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1157
case_000057,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1174
case_000058,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1191
case_000059,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1208
case_000060,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1225
case_000061,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1242
case_000062,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1259
case_000063,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1276
case_000064,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1293
case_000065,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,9229
case_000066,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1327
case_000067,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1344
case_000068,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1361
case_000069,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1378
case_000070,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,17233
case_000071,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1412
case_000072,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,9348
case_000073,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,9365
case_000074,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,9382
case_000075,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1480
case_000076,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1497
case_000077,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1514
case_000078,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1531
case_000079,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1548
case_000080,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1565
case_000081,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1582
case_000082,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1599
case_000083,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1616
case_000084,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1633
case_000085,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1650
case_000086,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1667
case_000087,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1684
case_000088,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1701
case_000089,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1718
case_000090,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1735
case_000091,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1752
case_000092,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1769
case_000093,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1786
case_000094,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1803
case_000095,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1820
case_000096,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1837
case_000097,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1854
case_000098,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,25628
case_000099,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,1888
case_000100,fsmrepairbench_v0_1k_seed_104,0.1.0,1,nondeterminism_intro,1.0,1.0,9824
case_000101,fsmrepairbench_v0_1k_seed_104,0.1.0,2,wrong_source,1.0,0.0,2023
case_000102,fsmrepairbench_v0_1k_seed_104,0.1.0,2,wrong_source,1.0,0.0,2040
case_000103,fsmrepairbench_v0_1k_seed_104,0.1.0,2,wrong_source,1.0,0.0,2057
