cohort_seed,case_count,detection_rate,saturation_rate,detectable_count,saturated_count,structural_gt_count,spectrally_participating_count,spectrally_absent_count,participation_rate,cohort_wide_crr,detectable_only_crr,saturation_inflation_pp,dataset_dir
44,1000,0.65,0.35,650,350,450,150,300,0.333333,0.35,0.0,35.0,results/multiseed_stability/cohorts/seed_0044
54,1000,0.65,0.35,650,350,450,150,300,0.333333,0.35,0.0,35.0,results/multiseed_stability/cohorts/seed_0054
64,1000,0.65,0.35,650,350,450,150,300,0.333333,0.35,0.0,35.0,results/multiseed_stability/cohorts/seed_0064
74,1000,0.65,0.35,650,350,450,150,300,0.333333,0.35,0.0,35.0,results/multiseed_stability/cohorts/seed_0074
84,1000,0.65,0.35,650,350,450,150,300,0.333333,0.35,0.0,35.0,results/multiseed_stability/cohorts/seed_0084
94,1000,0.65,0.35,650,350,450,150,300,0.333333,0.35,0.0,35.0,results/multiseed_stability/cohorts/seed_0094
104,1000,0.65,0.35,650,350,450,150,300,0.333333,0.35,0.0,35.0,results/multiseed_stability/cohorts/seed_0104
114,1000,0.65,0.35,650,350,450,150,300,0.333333,0.35,0.0,35.0,results/multiseed_stability/cohorts/seed_0114
124,1000,0.65,0.35,650,350,450,150,300,0.333333,0.35,0.0,35.0,results/multiseed_stability/cohorts/seed_0124
134,1000,0.65,0.35,650,350,450,150,300,0.333333,0.35,0.0,35.0,results/multiseed_stability/cohorts/seed_0134
