case_id,plan_name,plan_version,cell_index,bug_type,reference_bpr,faulty_bpr,seed
case_000001,fsmrepairbench_v0_smoke_seed_54,0.1.0,0,missing_transition,1.0,0.0,71
case_000002,fsmrepairbench_v0_smoke_seed_54,0.1.0,0,missing_transition,1.0,0.0,88
case_000003,fsmrepairbench_v0_smoke_seed_54,0.1.0,0,missing_transition,1.0,0.75,105
case_000004,fsmrepairbench_v0_smoke_seed_54,0.1.0,0,missing_transition,1.0,0.0,122
case_000005,fsmrepairbench_v0_smoke_seed_54,0.1.0,0,missing_transition,1.0,0.0,139
case_000006,fsmrepairbench_v0_smoke_seed_54,0.1.0,1,nondeterminism_intro,1.0,1.0,257
case_000007,fsmrepairbench_v0_smoke_seed_54,0.1.0,1,nondeterminism_intro,1.0,1.0,274
case_000008,fsmrepairbench_v0_smoke_seed_54,0.1.0,1,nondeterminism_intro,1.0,1.0,291
case_000009,fsmrepairbench_v0_smoke_seed_54,0.1.0,1,nondeterminism_intro,1.0,1.0,308
case_000010,fsmrepairbench_v0_smoke_seed_54,0.1.0,1,nondeterminism_intro,1.0,1.0,325
case_000011,fsmrepairbench_v0_smoke_seed_54,0.1.0,2,wrong_source,1.0,0.0,443
case_000012,fsmrepairbench_v0_smoke_seed_54,0.1.0,2,wrong_source,1.0,0.0,460
case_000013,fsmrepairbench_v0_smoke_seed_54,0.1.0,2,wrong_source,1.0,0.0,477
case_000014,fsmrepairbench_v0_smoke_seed_54,0.1.0,2,wrong_source,1.0,0.0,494
case_000015,fsmrepairbench_v0_smoke_seed_54,0.1.0,2,wrong_source,1.0,0.0,511
case_000016,fsmrepairbench_v0_smoke_seed_54,0.1.0,3,wrong_event,1.0,0.0,629
case_000017,fsmrepairbench_v0_smoke_seed_54,0.1.0,3,wrong_event,1.0,0.6666666666666666,646
case_000018,fsmrepairbench_v0_smoke_seed_54,0.1.0,3,wrong_event,1.0,1.0,663
case_000019,fsmrepairbench_v0_smoke_seed_54,0.1.0,3,wrong_event,1.0,0.0,680
case_000020,fsmrepairbench_v0_smoke_seed_54,0.1.0,3,wrong_event,1.0,0.0,697
case_000021,fsmrepairbench_v0_smoke_seed_54,0.1.0,4,action_corruption,1.0,1.0,815
case_000022,fsmrepairbench_v0_smoke_seed_54,0.1.0,4,action_corruption,1.0,1.0,832
case_000023,fsmrepairbench_v0_smoke_seed_54,0.1.0,4,action_corruption,1.0,1.0,849
case_000024,fsmrepairbench_v0_smoke_seed_54,0.1.0,4,action_corruption,1.0,1.0,866
