case_id,source_case_id,mutation_operator,is_negative_control,reference_bpr,faulty_bpr,bpr_delta,tool_id,initial_bpr,final_bpr,delta_bpr,patch_applied,false_repair,regression,complete_repair,effective_repair,spurious_repair_improvement,localization_applicable,localization_skipped
nc_000001,case_000010,no_fault,True,1.0,1.0,0.0,,1.0,1.0,0.0,False,False,False,True,False,False,False,True
nc_000001,case_000010,no_fault,True,1.0,1.0,0.0,baseline_missing_transition,1.0,1.0,0.0,False,False,False,True,False,False,False,True
nc_000001,case_000010,no_fault,True,1.0,1.0,0.0,baseline_random,1.0,1.0,0.0,False,False,False,True,False,False,False,True
nc_000001,case_000010,no_fault,True,1.0,1.0,0.0,baseline_wrong_target,1.0,1.0,0.0,False,False,False,True,False,False,False,True
nc_000002,case_000032,no_fault,True,1.0,1.0,0.0,,1.0,1.0,0.0,False,False,False,True,False,False,False,True
nc_000002,case_000032,no_fault,True,1.0,1.0,0.0,baseline_missing_transition,1.0,1.0,0.0,False,False,False,True,False,False,False,True
nc_000002,case_000032,no_fault,True,1.0,1.0,0.0,baseline_random,1.0,1.0,0.0,False,False,False,True,False,False,False,True
nc_000002,case_000032,no_fault,True,1.0,1.0,0.0,baseline_wrong_target,1.0,1.0,0.0,False,False,False,True,False,False,False,True
nc_000003,case_000040,no_fault,True,1.0,1.0,0.0,,1.0,1.0,0.0,False,False,False,True,False,False,False,True
nc_000003,case_000040,no_fault,True,1.0,1.0,0.0,baseline_missing_transition,1.0,1.0,0.0,False,False,False,True,False,False,False,True
nc_000003,case_000040,no_fault,True,1.0,1.0,0.0,baseline_random,1.0,1.0,0.0,False,False,False,True,False,False,False,True
nc_000003,case_000040,no_fault,True,1.0,1.0,0.0,baseline_wrong_target,1.0,1.0,0.0,False,False,False,True,False,False,False,True
nc_000004,case_000043,no_fault,True,1.0,1.0,0.0,,1.0,1.0,0.0,False,False,False,True,False,False,False,True
nc_000004,case_000043,no_fault,True,1.0,1.0,0.0,baseline_missing_transition,1.0,1.0,0.0,False,False,False,True,False,False,False,True
nc_000004,case_000043,no_fault,True,1.0,1.0,0.0,baseline_random,1.0,1.0,0.0,False,False,False,True,False,False,False,True
