ablated_operator,removed_cases,remaining_cases,delta_detection_rate,delta_mean_faulty_bpr,delta_mean_bpr_delta,delta_complete_repair_rate,delta_effective_repair_rate,delta_complete_repair_rate_detectable,delta_effective_repair_rate_detectable,delta_mean_repair_delta_bpr,repair_difficulty_contribution
action_corruption,59,941,0.031036,-0.00523,0.00523,-0.009781,0.024202,0.0,0.0,0.003268,1.0
action_full_mutation,59,941,0.031036,-0.00523,0.00523,-0.009781,0.024202,0.0,0.0,0.003268,1.0
dead_state_intro,59,941,0.031036,-0.00523,0.00523,-0.009781,0.024202,0.0,0.0,0.003268,1.0
delay_corruption,59,941,0.031036,-0.00523,0.00523,-0.009781,0.024202,0.0,0.0,0.003268,1.0
duplicate_transition,59,941,0.031036,-0.00523,0.00523,-0.009781,0.024202,0.0,0.0,0.003268,1.0
guard_flip,59,941,-0.031663,-0.002098,0.002098,-0.009781,-0.038497,-0.042646,-0.029798,0.000137,0.0
guard_inter_class,53,947,0.006584,-0.002916,0.002916,0.001829,0.011043,0.007784,0.011781,0.001497,0.561321
guard_strengthen,59,941,-0.031663,-0.001442,0.001442,-0.009781,-0.038497,-0.042646,-0.029798,-0.00052,0.0
guard_weaken,59,941,-0.031663,-0.002283,0.002283,-0.009781,-0.038497,-0.042646,-0.029798,0.000321,0.0
missing_transition,60,940,-0.032234,-0.002158,0.002158,-0.009957,-0.039191,-0.043469,-0.030373,0.000161,0.0
nondeterminism_intro,59,941,0.031036,-0.00523,0.00523,-0.009781,0.024202,0.0,0.0,0.003268,1.0
timeout_corruption,59,941,0.031036,-0.00523,0.00523,-0.009781,0.024202,0.0,0.0,0.003268,1.0
unreachable_state_intro,59,941,0.031036,-0.00523,0.00523,-0.009781,0.024202,0.0,0.0,0.003268,1.0
wrong_event,59,941,-0.031663,0.000293,-0.000293,0.002971,-0.025745,-0.015123,-0.002275,0.000289,0.101695
wrong_initial_state,59,941,-0.031663,0.054962,-0.054962,0.042291,-0.036372,0.069739,-0.025211,-0.033327,0.415254
wrong_source,60,940,-0.032234,-0.000516,0.000516,0.016638,-0.012596,0.014003,0.027099,0.00197,0.208334
wrong_target,60,940,-0.032234,-0.00198,0.00198,0.053872,0.024638,0.094462,0.107558,0.003327,0.5
