ablated_operator,removed_cases,remaining_cases,detectable_cases,detection_rate,mean_faulty_bpr,mean_bpr_delta,complete_repair_rate,effective_repair_rate,complete_repair_rate_detectable,effective_repair_rate_detectable,mean_repair_delta_bpr
full_cohort,0,1000,495,0.495,0.916578,0.083422,0.844,0.386,0.684848,0.779798,0.052122
action_corruption,59,941,495,0.526036,0.911348,0.088652,0.834219,0.410202,0.684848,0.779798,0.05539
action_full_mutation,59,941,495,0.526036,0.911348,0.088652,0.834219,0.410202,0.684848,0.779798,0.05539
dead_state_intro,59,941,495,0.526036,0.911348,0.088652,0.834219,0.410202,0.684848,0.779798,0.05539
delay_corruption,59,941,495,0.526036,0.911348,0.088652,0.834219,0.410202,0.684848,0.779798,0.05539
duplicate_transition,59,941,495,0.526036,0.911348,0.088652,0.834219,0.410202,0.684848,0.779798,0.05539
guard_flip,59,941,436,0.463337,0.91448,0.08552,0.834219,0.347503,0.642202,0.75,0.052259
guard_inter_class,53,947,475,0.501584,0.913662,0.086338,0.845829,0.397043,0.692632,0.791579,0.053619
guard_strengthen,59,941,436,0.463337,0.915136,0.084864,0.834219,0.347503,0.642202,0.75,0.051602
guard_weaken,59,941,436,0.463337,0.914295,0.085705,0.834219,0.347503,0.642202,0.75,0.052443
missing_transition,60,940,435,0.462766,0.91442,0.08558,0.834043,0.346809,0.641379,0.749425,0.052283
nondeterminism_intro,59,941,495,0.526036,0.911348,0.088652,0.834219,0.410202,0.684848,0.779798,0.05539
timeout_corruption,59,941,495,0.526036,0.911348,0.088652,0.834219,0.410202,0.684848,0.779798,0.05539
unreachable_state_intro,59,941,495,0.526036,0.911348,0.088652,0.834219,0.410202,0.684848,0.779798,0.05539
wrong_event,59,941,436,0.463337,0.916871,0.083129,0.846971,0.360255,0.669725,0.777523,0.052411
wrong_initial_state,59,941,436,0.463337,0.97154,0.02846,0.886291,0.349628,0.754587,0.754587,0.018795
wrong_source,60,940,435,0.462766,0.916062,0.083938,0.860638,0.373404,0.698851,0.806897,0.054092
wrong_target,60,940,435,0.462766,0.914598,0.085402,0.897872,0.410638,0.77931,0.887356,0.055449
