mutation_operator,cases,detectable_cases,detection_rate,mean_faulty_bpr,mean_bpr_delta,complete_repair_rate_detectable,effective_repair_rate_detectable,mean_repair_delta_bpr,share_of_cohort_cases,share_of_detectable_cases
action_corruption,59,0,0.0,1.0,0.0,0.0,0.0,0.0,0.059,0.0
action_full_mutation,59,0,0.0,1.0,0.0,0.0,0.0,0.0,0.059,0.0
dead_state_intro,59,0,0.0,1.0,0.0,0.0,0.0,0.0,0.059,0.0
delay_corruption,59,0,0.0,1.0,0.0,0.0,0.0,0.0,0.059,0.0
duplicate_transition,59,0,0.0,1.0,0.0,0.0,0.0,0.0,0.059,0.0
guard_flip,59,59,1.0,0.950049,0.049951,1.0,1.0,0.049951,0.059,0.119192
guard_inter_class,53,20,0.377358,0.968691,0.031309,0.5,0.5,0.025376,0.053,0.040404
guard_strengthen,59,59,1.0,0.939585,0.060415,1.0,1.0,0.060415,0.059,0.119192
guard_weaken,59,59,1.0,0.95299,0.04701,1.0,1.0,0.04701,0.059,0.119192
missing_transition,60,60,1.0,0.950401,0.049599,1.0,1.0,0.049599,0.06,0.121212
nondeterminism_intro,59,0,0.0,1.0,0.0,0.0,0.0,0.0,0.059,0.0
timeout_corruption,59,0,0.0,1.0,0.0,0.0,0.0,0.0,0.059,0.0
unreachable_state_intro,59,0,0.0,1.0,0.0,0.0,0.0,0.0,0.059,0.0
wrong_event,59,59,1.0,0.911912,0.088088,0.79661,0.79661,0.04752,0.059,0.119192
wrong_initial_state,59,59,1.0,0.039991,0.960009,0.169492,0.966102,0.58367,0.059,0.119192
wrong_source,60,60,1.0,0.92467,0.07533,0.583333,0.583333,0.021269,0.06,0.121212
wrong_target,60,60,1.0,0.947608,0.052392,0.0,0.0,0.0,0.06,0.121212
