metric,group,partition,subgroup,n_cases,mean,ci95_low,ci95_high
detection_rate,C3-extended,cohort_wide,shallow,500,0.476,0.432,0.52
mean_bpr_delta,C3-extended,cohort_wide,shallow,500,0.085419,0.066553,0.106013
complete_repair_rate,C3-extended,cohort_wide,shallow,500,0.88,0.85,0.906
effective_repair_rate,C3-extended,cohort_wide,shallow,500,0.416,0.374,0.46
mean_repair_delta_bpr,C3-extended,cohort_wide,shallow,500,0.056979,0.044656,0.070779
detection_rate,C3-extended,cohort_wide,medium,500,0.476,0.432,0.52
mean_bpr_delta,C3-extended,cohort_wide,medium,500,0.11822,0.097992,0.140162
complete_repair_rate,C3-extended,cohort_wide,medium,500,0.88,0.85,0.906
effective_repair_rate,C3-extended,cohort_wide,medium,500,0.416,0.374,0.46
mean_repair_delta_bpr,C3-extended,cohort_wide,medium,500,0.08385,0.069483,0.099158
detection_rate,C3-extended,cohort_wide,deep,500,0.476,0.432,0.52
mean_bpr_delta,C3-extended,cohort_wide,deep,500,0.156615,0.133563,0.181135
complete_repair_rate,C3-extended,cohort_wide,deep,500,0.88,0.85,0.906
effective_repair_rate,C3-extended,cohort_wide,deep,500,0.416,0.374,0.46
mean_repair_delta_bpr,C3-extended,cohort_wide,deep,500,0.118017,0.099936,0.137155
