oracle_depth,metric,bucket,count,fraction
shallow,bpr_delta,0,262,0.524
shallow,bpr_delta,0.01-0.25,198,0.396
shallow,bpr_delta,0.25-0.5,10,0.02
shallow,bpr_delta,0.5-0.75,4,0.008
shallow,bpr_delta,0.75-1.0,26,0.052
shallow,repair_delta_bpr,0,292,0.584
shallow,repair_delta_bpr,0.01-0.25,171,0.342
shallow,repair_delta_bpr,0.25-0.5,20,0.04
shallow,repair_delta_bpr,0.5-0.75,10,0.02
shallow,repair_delta_bpr,0.75-1.0,7,0.014
medium,bpr_delta,0,262,0.524
medium,bpr_delta,0.01-0.25,163,0.326
medium,bpr_delta,0.25-0.5,36,0.072
medium,bpr_delta,0.5-0.75,14,0.028
medium,bpr_delta,0.75-1.0,25,0.05
medium,repair_delta_bpr,0,292,0.584
medium,repair_delta_bpr,0.01-0.25,142,0.284
medium,repair_delta_bpr,0.25-0.5,44,0.088
medium,repair_delta_bpr,0.5-0.75,15,0.03
medium,repair_delta_bpr,0.75-1.0,7,0.014
deep,bpr_delta,0,262,0.524
deep,bpr_delta,0.01-0.25,137,0.274
deep,bpr_delta,0.25-0.5,40,0.08
deep,bpr_delta,0.5-0.75,25,0.05
deep,bpr_delta,0.75-1.0,36,0.072
deep,repair_delta_bpr,0,292,0.584
deep,repair_delta_bpr,0.01-0.25,120,0.24
deep,repair_delta_bpr,0.25-0.5,43,0.086
deep,repair_delta_bpr,0.5-0.75,30,0.06
deep,repair_delta_bpr,0.75-1.0,15,0.03
