metric,group,partition,subgroup,n_cases,mean,ci95_low,ci95_high
detection_rate,C3-extended,cohort_wide,shallow,200,0.485,0.415,0.555
mean_bpr_delta,C3-extended,cohort_wide,shallow,200,0.092764,0.060854,0.128938
complete_repair_rate,C3-extended,cohort_wide,shallow,200,0.885,0.84,0.93
effective_repair_rate,C3-extended,cohort_wide,shallow,200,0.44,0.37,0.51
mean_repair_delta_bpr,C3-extended,cohort_wide,shallow,200,0.060385,0.040669,0.082621
detection_rate,C3-extended,cohort_wide,medium,200,0.485,0.415,0.555
mean_bpr_delta,C3-extended,cohort_wide,medium,200,0.125981,0.091941,0.162951
complete_repair_rate,C3-extended,cohort_wide,medium,200,0.885,0.84,0.93
effective_repair_rate,C3-extended,cohort_wide,medium,200,0.44,0.37,0.51
mean_repair_delta_bpr,C3-extended,cohort_wide,medium,200,0.089639,0.066316,0.115248
detection_rate,C3-extended,cohort_wide,deep,200,0.485,0.415,0.555
mean_bpr_delta,C3-extended,cohort_wide,deep,200,0.165145,0.126975,0.2063
complete_repair_rate,C3-extended,cohort_wide,deep,200,0.885,0.84,0.93
effective_repair_rate,C3-extended,cohort_wide,deep,200,0.44,0.37,0.51
mean_repair_delta_bpr,C3-extended,cohort_wide,deep,200,0.125249,0.095966,0.156572
detection_rate,C3-extended,cohort_wide,exhaustive_like,200,0.485,0.415,0.555
mean_bpr_delta,C3-extended,cohort_wide,exhaustive_like,200,0.201623,0.160313,0.245371
complete_repair_rate,C3-extended,cohort_wide,exhaustive_like,200,0.885,0.84,0.93
effective_repair_rate,C3-extended,cohort_wide,exhaustive_like,200,0.44,0.37,0.51
mean_repair_delta_bpr,C3-extended,cohort_wide,exhaustive_like,200,0.158375,0.12488,0.193923
detection_rate,C3-extended,cohort_wide,extended_50,200,0.485,0.415,0.555
mean_bpr_delta,C3-extended,cohort_wide,extended_50,200,0.21795,0.174953,0.263142
complete_repair_rate,C3-extended,cohort_wide,extended_50,200,0.885,0.84,0.93
effective_repair_rate,C3-extended,cohort_wide,extended_50,200,0.44,0.37,0.51
mean_repair_delta_bpr,C3-extended,cohort_wide,extended_50,200,0.173953,0.13828,0.211902
detection_rate,C3-extended,cohort_wide,extended_60,200,0.485,0.415,0.555
mean_bpr_delta,C3-extended,cohort_wide,extended_60,200,0.233691,0.188728,0.280358
complete_repair_rate,C3-extended,cohort_wide,extended_60,200,0.885,0.84,0.93
effective_repair_rate,C3-extended,cohort_wide,extended_60,200,0.44,0.37,0.51
mean_repair_delta_bpr,C3-extended,cohort_wide,extended_60,200,0.187478,0.149942,0.226826
