oracle_depth,metric,value
shallow,detection_rate,0.485
shallow,mean_bpr_delta,0.092764
shallow,complete_repair_rate,0.885
shallow,effective_repair_rate,0.44
shallow,mean_repair_delta_bpr,0.060385
shallow,mean_scenario_length,4.09
medium,detection_rate,0.485
medium,mean_bpr_delta,0.125981
medium,complete_repair_rate,0.885
medium,effective_repair_rate,0.44
medium,mean_repair_delta_bpr,0.089639
medium,mean_scenario_length,9.32
deep,detection_rate,0.485
deep,mean_bpr_delta,0.165145
deep,complete_repair_rate,0.885
deep,effective_repair_rate,0.44
deep,mean_repair_delta_bpr,0.125249
deep,mean_scenario_length,18.51
exhaustive_like,detection_rate,0.485
exhaustive_like,mean_bpr_delta,0.201623
exhaustive_like,complete_repair_rate,0.885
exhaustive_like,effective_repair_rate,0.44
exhaustive_like,mean_repair_delta_bpr,0.158375
exhaustive_like,mean_scenario_length,33.22
extended_50,detection_rate,0.485
extended_50,mean_bpr_delta,0.21795
extended_50,complete_repair_rate,0.885
extended_50,effective_repair_rate,0.44
extended_50,mean_repair_delta_bpr,0.173953
extended_50,mean_scenario_length,42.22
extended_60,detection_rate,0.485
extended_60,mean_bpr_delta,0.233691
extended_60,complete_repair_rate,0.885
extended_60,effective_repair_rate,0.44
extended_60,mean_repair_delta_bpr,0.187478
extended_60,mean_scenario_length,51.31
