case_id,oracle_depth,mutation_operator,size_class,reference_bpr,faulty_bpr,bpr_delta,fault_detected,oracle_state_coverage,oracle_transition_coverage,oracle_event_coverage,scenario_count,max_scenario_steps
case_000701,shallow,guard_flip,tiny,1.0,0.55,0.45,True,1.0,1.0,1.0,12,2
case_000651,shallow,guard_strengthen,tiny,1.0,0.25,0.75,True,1.0,1.0,1.0,3,2
case_000601,shallow,guard_weaken,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,3,3
case_000751,shallow,missing_transition,tiny,1.0,0.9,0.1,True,1.0,1.0,1.0,6,2
case_000201,shallow,action_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,4,2
case_000301,shallow,duplicate_transition,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,12,2
case_000251,shallow,guard_flip,tiny,1.0,0.75,0.25,True,1.0,1.0,1.0,3,2
case_000351,shallow,wrong_target,tiny,1.0,0.916667,0.083333,True,1.0,1.0,1.0,7,2
case_000451,shallow,dead_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000551,shallow,unreachable_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,2,2
case_000401,shallow,wrong_initial_state,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000501,shallow,wrong_target,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000001,shallow,missing_transition,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000051,shallow,nondeterminism_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,2,2
case_000151,shallow,wrong_event,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000101,shallow,wrong_source,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000851,shallow,delay_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,2
case_000951,shallow,missing_transition,tiny,1.0,0.909091,0.090909,True,1.0,1.0,1.0,7,2
case_000801,shallow,timeout_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,4,2
case_000901,shallow,wrong_target,tiny,1.0,0.958333,0.041667,True,1.0,1.0,1.0,12,3
case_000702,shallow,guard_flip,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
case_000652,shallow,guard_strengthen,tiny,1.0,0.75,0.25,True,1.0,1.0,1.0,3,2
case_000602,shallow,guard_weaken,tiny,1.0,0.833333,0.166667,True,1.0,1.0,1.0,4,2
case_000752,shallow,missing_transition,tiny,1.0,0.9,0.1,True,1.0,1.0,1.0,6,2
case_000202,shallow,action_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,3
case_000302,shallow,duplicate_transition,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,12,2
case_000252,shallow,guard_flip,tiny,1.0,0.875,0.125,True,1.0,1.0,1.0,5,2
case_000352,shallow,wrong_target,tiny,1.0,0.923077,0.076923,True,1.0,1.0,1.0,8,2
case_000452,shallow,dead_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000552,shallow,unreachable_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000402,shallow,wrong_initial_state,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000502,shallow,wrong_target,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000002,shallow,missing_transition,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000052,shallow,nondeterminism_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,2,2
case_000152,shallow,wrong_event,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000102,shallow,wrong_source,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000852,shallow,delay_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,5,2
case_000952,shallow,missing_transition,tiny,1.0,0.916667,0.083333,True,1.0,1.0,1.0,7,2
case_000802,shallow,timeout_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,4,2
case_000902,shallow,wrong_target,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
case_000703,shallow,guard_flip,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
case_000653,shallow,guard_strengthen,tiny,1.0,0.75,0.25,True,1.0,1.0,1.0,3,2
case_000603,shallow,guard_weaken,tiny,1.0,0.5,0.5,True,1.0,1.0,1.0,3,3
case_000753,shallow,missing_transition,tiny,1.0,0.5,0.5,True,1.0,1.0,1.0,6,2
case_000203,shallow,action_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,3
case_000303,shallow,duplicate_transition,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,12,3
case_000253,shallow,guard_flip,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000353,shallow,wrong_target,tiny,1.0,0.583333,0.416667,True,1.0,1.0,1.0,7,2
case_000453,shallow,dead_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000553,shallow,unreachable_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000403,shallow,wrong_initial_state,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000503,shallow,wrong_target,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000003,shallow,missing_transition,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000053,shallow,nondeterminism_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000153,shallow,wrong_event,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000103,shallow,wrong_source,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000853,shallow,delay_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000953,shallow,missing_transition,tiny,1.0,0.928571,0.071429,True,1.0,1.0,1.0,7,3
case_000803,shallow,timeout_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,3
case_000903,shallow,wrong_target,tiny,1.0,0.958333,0.041667,True,1.0,1.0,1.0,12,3
case_000704,shallow,guard_flip,tiny,1.0,0.55,0.45,True,1.0,1.0,1.0,12,2
case_000654,shallow,guard_strengthen,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000604,shallow,guard_weaken,tiny,1.0,0.5,0.5,True,1.0,1.0,1.0,4,2
case_000754,shallow,missing_transition,tiny,1.0,0.916667,0.083333,True,1.0,1.0,1.0,6,3
case_000204,shallow,action_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,3
case_000304,shallow,duplicate_transition,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,12,2
case_000254,shallow,guard_flip,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000354,shallow,wrong_target,tiny,1.0,0.5,0.5,True,1.0,1.0,1.0,6,2
case_000454,shallow,dead_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,2,2
case_000554,shallow,unreachable_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000404,shallow,wrong_initial_state,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,3,3
case_000504,shallow,wrong_target,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000004,shallow,missing_transition,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000054,shallow,nondeterminism_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,2,2
case_000154,shallow,wrong_event,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000104,shallow,wrong_source,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000854,shallow,delay_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000954,shallow,missing_transition,tiny,1.0,0.916667,0.083333,True,1.0,1.0,1.0,6,3
case_000804,shallow,timeout_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,3
case_000904,shallow,wrong_target,tiny,1.0,0.55,0.45,True,1.0,1.0,1.0,12,2
case_000705,shallow,guard_flip,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
case_000655,shallow,guard_strengthen,tiny,1.0,0.666667,0.333333,True,1.0,1.0,1.0,5,3
case_000605,shallow,guard_weaken,tiny,1.0,0.833333,0.166667,True,1.0,1.0,1.0,4,2
case_000755,shallow,missing_transition,tiny,1.0,0.9,0.1,True,1.0,1.0,1.0,6,2
case_000205,shallow,action_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,3
case_000305,shallow,duplicate_transition,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,12,2
case_000255,shallow,guard_flip,tiny,1.0,0.875,0.125,True,1.0,1.0,1.0,5,2
case_000355,shallow,wrong_target,tiny,1.0,0.588235,0.411765,True,1.0,1.0,1.0,8,3
case_000455,shallow,dead_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000555,shallow,unreachable_state_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000405,shallow,wrong_initial_state,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000505,shallow,wrong_target,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000005,shallow,missing_transition,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000055,shallow,nondeterminism_intro,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,1,1
case_000155,shallow,wrong_event,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000105,shallow,wrong_source,tiny,1.0,0.0,1.0,True,1.0,1.0,1.0,1,1
case_000855,shallow,delay_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,3,2
case_000955,shallow,missing_transition,tiny,1.0,0.153846,0.846154,True,1.0,1.0,1.0,7,3
case_000805,shallow,timeout_corruption,tiny,1.0,1.0,0.0,False,1.0,1.0,1.0,4,2
case_000905,shallow,wrong_target,tiny,1.0,0.95,0.05,True,1.0,1.0,1.0,12,2
