surface_id,operator_family,case_count,detection_rate,saturation_count,saturation_rate,mean_faulty_bpr,mean_bpr_delta
S0,action,118,0.0,118,1.0,1.0,0.0
S0,guard,230,0.856522,33,0.143478,0.952415,0.047585
S0,nondeterminism,118,0.0,118,1.0,1.0,0.0
S0,reachability,118,0.0,118,1.0,1.0,0.0
S0,routing,298,1.0,0,0.0,0.756789,0.243211
S0,timing,118,0.0,118,1.0,1.0,0.0
S1,action,118,1.0,0,0.0,0.473861,0.526139
S1,guard,230,0.856522,33,0.143478,0.952415,0.047585
S1,nondeterminism,118,0.0,118,1.0,1.0,0.0
S1,reachability,118,0.0,118,1.0,1.0,0.0
S1,routing,298,1.0,0,0.0,0.748871,0.251129
S1,timing,118,0.0,118,1.0,1.0,0.0
