case_id,mutation_operator,operator_family,reference_bpr_s0,faulty_bpr_s0,bpr_delta_s0,detected_s0,saturated_s0,reference_bpr_s1,faulty_bpr_s1,bpr_delta_s1,detected_s1,saturated_s1,partition_change,saturation_change,detection_gain,detection_loss
case_000001,missing_transition,routing,1.0,0.954545,0.045455,True,False,1.0,0.954545,0.045455,True,False,False,False,False,False
case_000002,wrong_target,routing,1.0,0.986842,0.013158,True,False,1.0,0.986842,0.013158,True,False,False,False,False,False
case_000003,wrong_source,routing,1.0,0.995902,0.004098,True,False,1.0,0.995902,0.004098,True,False,False,False,False,False
case_000004,wrong_event,routing,1.0,0.998802,0.001198,True,False,1.0,0.998802,0.001198,True,False,False,False,False,False
case_000005,wrong_initial_state,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000006,duplicate_transition,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000007,dead_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000008,guard_flip,guard,1.0,0.985658,0.014342,True,False,1.0,0.985658,0.014342,True,False,False,False,False,False
case_000009,guard_weaken,guard,1.0,0.791667,0.208333,True,False,1.0,0.791667,0.208333,True,False,False,False,False,False
case_000010,guard_strengthen,guard,1.0,0.91358,0.08642,True,False,1.0,0.91358,0.08642,True,False,False,False,False,False
case_000011,action_corruption,action,1.0,1.0,0.0,False,True,1.0,0.961864,0.038136,True,False,True,True,True,False
case_000012,timeout_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000013,delay_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000014,nondeterminism_intro,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000015,unreachable_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000017,guard_inter_class,guard,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000018,action_full_mutation,action,1.0,1.0,0.0,False,True,1.0,0.0,1.0,True,False,True,True,True,False
case_000020,missing_transition,routing,1.0,0.9257,0.0743,True,False,1.0,0.9257,0.0743,True,False,False,False,False,False
case_000021,wrong_target,routing,1.0,0.961538,0.038462,True,False,1.0,0.961538,0.038462,True,False,False,False,False,False
case_000022,wrong_source,routing,1.0,0.906667,0.093333,True,False,1.0,0.906667,0.093333,True,False,False,False,False,False
case_000023,wrong_event,routing,1.0,0.995868,0.004132,True,False,1.0,0.995868,0.004132,True,False,False,False,False,False
case_000024,wrong_initial_state,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000025,duplicate_transition,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000026,dead_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000027,guard_flip,guard,1.0,0.547414,0.452586,True,False,1.0,0.547414,0.452586,True,False,False,False,False,False
case_000028,guard_weaken,guard,1.0,0.998755,0.001245,True,False,1.0,0.998755,0.001245,True,False,False,False,False,False
case_000029,guard_strengthen,guard,1.0,0.954545,0.045455,True,False,1.0,0.954545,0.045455,True,False,False,False,False,False
case_000030,action_corruption,action,1.0,1.0,0.0,False,True,1.0,0.907895,0.092105,True,False,True,True,True,False
case_000031,timeout_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000032,delay_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000033,nondeterminism_intro,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000034,unreachable_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000036,guard_inter_class,guard,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000037,action_full_mutation,action,1.0,1.0,0.0,False,True,1.0,0.0,1.0,True,False,True,True,True,False
case_000039,missing_transition,routing,1.0,0.996094,0.003906,True,False,1.0,0.996094,0.003906,True,False,False,False,False,False
case_000040,wrong_target,routing,1.0,0.985951,0.014049,True,False,1.0,0.985951,0.014049,True,False,False,False,False,False
case_000041,wrong_source,routing,1.0,0.772727,0.227273,True,False,1.0,0.772727,0.227273,True,False,False,False,False,False
case_000042,wrong_event,routing,1.0,0.987654,0.012346,True,False,1.0,0.987654,0.012346,True,False,False,False,False,False
case_000043,wrong_initial_state,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000044,duplicate_transition,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000045,dead_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000046,guard_flip,guard,1.0,0.987179,0.012821,True,False,1.0,0.987179,0.012821,True,False,False,False,False,False
case_000047,guard_weaken,guard,1.0,0.996,0.004,True,False,1.0,0.996,0.004,True,False,False,False,False,False
case_000048,guard_strengthen,guard,1.0,0.99887,0.00113,True,False,1.0,0.99887,0.00113,True,False,False,False,False,False
case_000049,action_corruption,action,1.0,1.0,0.0,False,True,1.0,0.954545,0.045455,True,False,True,True,True,False
case_000050,timeout_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000051,delay_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000052,nondeterminism_intro,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000053,unreachable_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000055,guard_inter_class,guard,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000056,action_full_mutation,action,1.0,1.0,0.0,False,True,1.0,0.0,1.0,True,False,True,True,True,False
case_000058,missing_transition,routing,1.0,0.987952,0.012048,True,False,1.0,0.987952,0.012048,True,False,False,False,False,False
case_000059,wrong_target,routing,1.0,0.995951,0.004049,True,False,1.0,0.995951,0.004049,True,False,False,False,False,False
case_000060,wrong_source,routing,1.0,0.987135,0.012865,True,False,1.0,0.987135,0.012865,True,False,False,False,False,False
case_000061,wrong_event,routing,1.0,0.772727,0.227273,True,False,1.0,0.772727,0.227273,True,False,False,False,False,False
case_000062,wrong_initial_state,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000063,duplicate_transition,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000064,dead_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000065,guard_flip,guard,1.0,0.954545,0.045455,True,False,1.0,0.954545,0.045455,True,False,False,False,False,False
case_000066,guard_weaken,guard,1.0,0.987179,0.012821,True,False,1.0,0.987179,0.012821,True,False,False,False,False,False
case_000067,guard_strengthen,guard,1.0,0.995763,0.004237,True,False,1.0,0.995763,0.004237,True,False,False,False,False,False
case_000068,action_corruption,action,1.0,1.0,0.0,False,True,1.0,0.986763,0.013237,True,False,True,True,True,False
case_000069,timeout_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000070,delay_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000071,nondeterminism_intro,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000072,unreachable_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000074,guard_inter_class,guard,1.0,0.988889,0.011111,True,False,1.0,0.988889,0.011111,True,False,False,False,False,False
case_000075,action_full_mutation,action,1.0,1.0,0.0,False,True,1.0,0.0,1.0,True,False,True,True,True,False
case_000077,missing_transition,routing,1.0,0.958333,0.041667,True,False,1.0,0.958333,0.041667,True,False,False,False,False,False
case_000078,wrong_target,routing,1.0,0.906667,0.093333,True,False,1.0,0.906667,0.093333,True,False,False,False,False,False
case_000079,wrong_source,routing,1.0,0.991453,0.008547,True,False,1.0,0.991453,0.008547,True,False,False,False,False,False
case_000080,wrong_event,routing,1.0,0.998761,0.001239,True,False,1.0,0.998761,0.001239,True,False,False,False,False,False
case_000081,wrong_initial_state,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000082,duplicate_transition,nondeterminism,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000083,dead_state_intro,reachability,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000084,guard_flip,guard,1.0,0.986352,0.013648,True,False,1.0,0.986352,0.013648,True,False,False,False,False,False
case_000085,guard_weaken,guard,1.0,0.958333,0.041667,True,False,1.0,0.958333,0.041667,True,False,False,False,False,False
case_000086,guard_strengthen,guard,1.0,0.988506,0.011494,True,False,1.0,0.988506,0.011494,True,False,False,False,False,False
case_000087,action_corruption,action,1.0,1.0,0.0,False,True,1.0,0.915323,0.084677,True,False,True,True,True,False
case_000088,timeout_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
case_000089,delay_corruption,timing,1.0,1.0,0.0,False,True,1.0,1.0,0.0,False,True,False,False,False,False
