case_id,mutation_operator,operator_family,reference_bpr_s0,faulty_bpr_s0,bpr_delta_s0,detected_s0,saturated_s0,reference_bpr_s1,faulty_bpr_s1,bpr_delta_s1,detected_s1,saturated_s1,partition_change,saturation_change,detection_gain,detection_loss
case_000001,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000002,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000003,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000004,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000005,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000006,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000007,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000008,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000009,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000010,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000011,missing_transition,routing,1.0,0.666667,0.333333,True,False,1.0,0.666667,0.333333,True,False,False,False,False,False
case_000012,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000013,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000014,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000015,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000016,missing_transition,routing,1.0,0.666667,0.333333,True,False,1.0,0.666667,0.333333,True,False,False,False,False,False
case_000017,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000018,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000019,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000020,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000021,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
case_000022,missing_transition,routing,1.0,0.0,1.0,True,False,1.0,0.0,1.0,True,False,False,False,False,False
