case_id,mutation_operator,reference_bpr,faulty_bpr,bpr_delta,fault_detected
case_000001,missing_transition,1.0,0.954545,0.045455,1
case_000002,wrong_target,1.0,0.986842,0.013158,1
case_000003,wrong_source,1.0,0.995902,0.004098,1
case_000004,wrong_event,1.0,0.998802,0.001198,1
case_000005,wrong_initial_state,1.0,0.0,1.0,1
case_000006,duplicate_transition,1.0,1.0,0.0,0
case_000007,dead_state_intro,1.0,1.0,0.0,0
case_000008,guard_flip,1.0,0.985658,0.014342,1
case_000009,guard_weaken,1.0,0.791667,0.208333,1
case_000010,guard_strengthen,1.0,0.91358,0.08642,1
case_000011,action_corruption,1.0,1.0,0.0,0
case_000012,timeout_corruption,1.0,1.0,0.0,0
case_000013,delay_corruption,1.0,1.0,0.0,0
case_000014,nondeterminism_intro,1.0,1.0,0.0,0
case_000015,unreachable_state_intro,1.0,1.0,0.0,0
case_000017,guard_inter_class,1.0,1.0,0.0,0
case_000018,action_full_mutation,1.0,1.0,0.0,0
case_000027,guard_flip,1.0,0.547414,0.452586,1
case_000030,action_corruption,1.0,1.0,0.0,0
case_000074,guard_inter_class,1.0,0.988889,0.011111,1
