metric,group,partition,subgroup,n_cases,mean,ci95_low,ci95_high
top_1_hit_rate,RQ3,localized_cases,,10,0.2,0.0,0.5
top_3_hit_rate,RQ3,localized_cases,,10,0.2,0.0,0.5
top_5_hit_rate,RQ3,localized_cases,,10,0.2,0.0,0.5
mrr,RQ3,localized_cases,,10,0.233394,0.031102,0.513043
top_1_hit_rate,RQ3,detectable_only,,10,0.2,0.0,0.5
top_3_hit_rate,RQ3,detectable_only,,10,0.2,0.0,0.5
top_5_hit_rate,RQ3,detectable_only,,10,0.2,0.0,0.5
mrr,RQ3,detectable_only,,10,0.233394,0.031102,0.513043
detection_rate,RQ3,cohort_wide,,20,0.5,0.3,0.7
mean_bpr_delta,RQ3,cohort_wide,,20,0.091835,0.011063,0.207587
