campaign,construct,metric,partition,subgroup,n_cases,value
replication-vignette-20,detection,detection_rate,cohort_wide,all_cases,20,0.5
replication-vignette-20,detection,detection_rate,detectable_only,oracle_detected,10,1.0
replication-vignette-20,repair,complete_repair_rate,detectable_only,baseline_missing_transition,10,0.5
replication-vignette-20,repair,complete_repair_rate,cohort_wide,baseline_missing_transition,20,0.75
replication-vignette-20,repair,effective_repair_rate,detectable_only,baseline_missing_transition,10,0.5
replication-vignette-20,repair,effective_repair_rate,cohort_wide,baseline_missing_transition,20,0.25
replication-vignette-20,repair,complete_repair_rate,detectable_only,baseline_wrong_target,10,0.1
replication-vignette-20,repair,complete_repair_rate,cohort_wide,baseline_wrong_target,20,0.55
replication-vignette-20,repair,effective_repair_rate,detectable_only,baseline_wrong_target,10,0.2
replication-vignette-20,repair,effective_repair_rate,cohort_wide,baseline_wrong_target,20,0.1
replication-vignette-20,repair,complete_repair_rate,detectable_only,baseline_random,10,0.0
replication-vignette-20,repair,complete_repair_rate,cohort_wide,baseline_random,20,0.5
replication-vignette-20,repair,effective_repair_rate,detectable_only,baseline_random,10,0.0
replication-vignette-20,repair,effective_repair_rate,cohort_wide,baseline_random,20,0.0
replication-vignette-20,localization,top1_hit_rate,transition_localizable_gt,ochiai,8,0.25
replication-vignette-20,localization,top5_hit_rate,transition_localizable_gt,ochiai,8,0.25
replication-vignette-20,localization,mrr,transition_localizable_gt,ochiai,8,0.291743
