scope,group_key,group_value,partition,tool_a,tool_b,comparison_label,n_cases,complete_repair_rate_a,complete_repair_rate_b,delta_complete_repair_rate,effective_repair_rate_a,effective_repair_rate_b,delta_effective_repair_rate,mean_delta_bpr_a,mean_delta_bpr_b,delta_mean_delta_bpr,regression_rate_a,regression_rate_b,delta_regression_rate
by_tier,complexity_tier,large,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,2,0.5,0.0,0.5,0.5,0.0,0.5,0.226293,0.0,0.226293,0.0,0.0,0.0
by_tier,complexity_tier,large,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,2,0.5,0.0,0.5,0.5,0.0,0.5,0.226293,-0.051618,0.277911,0.0,1.0,-1.0
by_tier,complexity_tier,large,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051618,0.051618,0.0,1.0,-1.0
by_tier,complexity_tier,medium,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,3,0.333333,0.333333,0.0,0.333333,0.333333,0.0,0.028807,0.004386,0.024421,0.0,0.0,0.0
by_tier,complexity_tier,medium,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,3,0.333333,0.0,0.333333,0.333333,0.0,0.333333,0.028807,-0.038791,0.067598,0.0,0.666667,-0.666667
by_tier,complexity_tier,medium,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,3,0.333333,0.0,0.333333,0.333333,0.0,0.333333,0.004386,-0.038791,0.043177,0.0,0.666667,-0.666667
by_tier,complexity_tier,small,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,3,0.666667,0.0,0.666667,0.666667,0.333333,0.333333,0.084596,0.242424,-0.157828,0.0,0.0,0.0
by_tier,complexity_tier,small,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,3,0.666667,0.0,0.666667,0.666667,0.0,0.666667,0.084596,-0.015152,0.099747,0.0,0.333333,-0.333333
by_tier,complexity_tier,small,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,3,0.0,0.0,0.0,0.333333,0.0,0.333333,0.242424,-0.015152,0.257576,0.0,0.333333,-0.333333
by_tier,complexity_tier,very_large,detectable_only,baseline_missing_transition,baseline_wrong_target,missing-transition vs wrong-target,2,0.5,0.0,0.5,0.5,0.0,0.5,0.007171,0.0,0.007171,0.0,0.0,0.0
by_tier,complexity_tier,very_large,detectable_only,baseline_missing_transition,baseline_random,missing-transition vs random,2,0.5,0.0,0.5,0.5,0.0,0.5,0.007171,-0.002448,0.009619,0.0,1.0,-1.0
by_tier,complexity_tier,very_large,detectable_only,baseline_wrong_target,baseline_random,wrong-target vs random,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002448,0.002448,0.0,1.0,-1.0
