metric,group,partition,subgroup,n_cases,mean,ci95_low,ci95_high
detection_rate,C1,cohort_wide,baseline_missing_transition,20,0.5,0.3,0.7
complete_repair_rate,C1,cohort_wide,baseline_missing_transition,20,0.75,0.55,0.9
effective_repair_rate,C1,cohort_wide,baseline_missing_transition,20,0.25,0.1,0.45
mean_bpr_delta,C1,cohort_wide,baseline_missing_transition,20,0.040357,0.004321,0.093507
detection_rate,C1,detectable_only,baseline_missing_transition,10,1.0,1.0,1.0
complete_repair_rate,C1,detectable_only,baseline_missing_transition,10,0.5,0.2,0.8
effective_repair_rate,C1,detectable_only,baseline_missing_transition,10,0.5,0.2,0.8
mean_bpr_delta,C1,detectable_only,baseline_missing_transition,10,0.080714,0.010525,0.178439
detection_rate,C1,cohort_wide,baseline_wrong_target,20,0.5,0.3,0.7
complete_repair_rate,C1,cohort_wide,baseline_wrong_target,20,0.55,0.35,0.75
effective_repair_rate,C1,cohort_wide,baseline_wrong_target,20,0.1,0.0,0.25
mean_bpr_delta,C1,cohort_wide,baseline_wrong_target,20,0.037022,0.0,0.110407
detection_rate,C1,detectable_only,baseline_wrong_target,10,1.0,1.0,1.0
complete_repair_rate,C1,detectable_only,baseline_wrong_target,10,0.1,0.0,0.3
effective_repair_rate,C1,detectable_only,baseline_wrong_target,10,0.2,0.0,0.5
mean_bpr_delta,C1,detectable_only,baseline_wrong_target,10,0.074043,0.0,0.219498
detection_rate,C1,cohort_wide,baseline_random,20,0.5,0.3,0.7
complete_repair_rate,C1,cohort_wide,baseline_random,20,0.5,0.3,0.7
effective_repair_rate,C1,cohort_wide,baseline_random,20,0.0,0.0,0.0
mean_bpr_delta,C1,cohort_wide,baseline_random,20,-0.013498,-0.028527,-0.001291
detection_rate,C1,detectable_only,baseline_random,10,1.0,1.0,1.0
complete_repair_rate,C1,detectable_only,baseline_random,10,0.0,0.0,0.0
effective_repair_rate,C1,detectable_only,baseline_random,10,0.0,0.0,0.0
mean_bpr_delta,C1,detectable_only,baseline_random,10,-0.026996,-0.05269,-0.004905
