case_id,tool_id,tool_type,model,mutation_operator,status,failure_class,initial_bpr,final_bpr,delta_bpr,complete_repair,effective_repair,regression,patch_parse_failures,patch_validation_failures,patch_application_failures,iterations_completed,runtime_seconds,complexity_tier,difficulty_score,faulty_bpr,reference_bpr,oracle_detected,bpr_delta_pre_repair
case_000001,baseline_missing_transition,baseline,baseline_missing_transition,missing_transition,completed,complete_repair,0.9545454545454546,1.0,0.045454545454545414,True,True,False,0,0,0,1,0.0003,small,13.0,0.9545454545454546,1.0,True,0.045454545454545414
case_000001,baseline_random,baseline,baseline_random,missing_transition,completed,regression,0.9545454545454546,0.9090909090909091,-0.045454545454545525,False,False,True,0,0,0,1,0.0006,small,13.0,0.9545454545454546,1.0,True,0.045454545454545414
case_000001,baseline_wrong_target,baseline,baseline_wrong_target,missing_transition,completed,no_improvement,0.9545454545454546,0.9545454545454546,0.0,False,False,False,0,0,0,1,0.0003,small,13.0,0.9545454545454546,1.0,True,0.045454545454545414
case_000002,baseline_missing_transition,baseline,baseline_missing_transition,wrong_target,completed,no_improvement,0.9868421052631579,0.9868421052631579,0.0,False,False,False,0,0,0,1,0.0019,medium,22.18,0.9868421052631579,1.0,True,0.013157894736842146
case_000002,baseline_random,baseline,baseline_random,wrong_target,completed,regression,0.9868421052631579,0.881578947368421,-0.10526315789473684,False,False,True,0,0,0,1,0.0016,medium,22.18,0.9868421052631579,1.0,True,0.013157894736842146
case_000002,baseline_wrong_target,baseline,baseline_wrong_target,wrong_target,completed,complete_repair,0.9868421052631579,1.0,0.013157894736842146,True,True,False,0,0,0,1,0.0011,medium,22.18,0.9868421052631579,1.0,True,0.013157894736842146
case_000003,baseline_missing_transition,baseline,baseline_missing_transition,wrong_source,completed,no_improvement,0.9959016393442623,0.9959016393442623,0.0,False,False,False,0,1,0,1,0.0026,large,34.49,0.9959016393442623,1.0,True,0.004098360655737654
case_000003,baseline_random,baseline,baseline_random,wrong_source,completed,regression,0.9959016393442623,0.9918032786885246,-0.004098360655737765,False,False,True,0,0,0,1,0.0835,large,34.49,0.9959016393442623,1.0,True,0.004098360655737654
case_000003,baseline_wrong_target,baseline,baseline_wrong_target,wrong_source,completed,no_improvement,0.9959016393442623,0.9959016393442623,0.0,False,False,False,0,1,0,1,0.0026,large,34.49,0.9959016393442623,1.0,True,0.004098360655737654
case_000004,baseline_missing_transition,baseline,baseline_missing_transition,wrong_event,completed,no_improvement,0.9988023952095808,0.9988023952095808,0.0,False,False,False,0,1,0,1,0.0191,very_large,59.73,0.9988023952095808,1.0,True,0.0011976047904191933
