mutation_operator,cases,detectable_cases,oracle_saturated_cases,detection_rate,mean_faulty_bpr,complete_repair_rate,complete_repair_rate_detectable_only,effective_repair_rate,effective_repair_rate_detectable_only,mean_delta_bpr
action_corruption,2,0,2,nan,1.0,1.0,0.0,0.0,0.0,0.0
action_full_mutation,1,0,1,nan,1.0,1.0,0.0,0.0,0.0,0.0
dead_state_intro,1,0,1,nan,1.0,1.0,0.0,0.0,0.0,0.0
delay_corruption,1,0,1,nan,1.0,1.0,0.0,0.0,0.0,0.0
duplicate_transition,1,0,1,nan,1.0,1.0,0.0,0.0,0.0,0.0
guard_flip,2,2,0,nan,0.766536,1.0,1.0,1.0,1.0,0.233464
guard_inter_class,2,1,1,nan,0.994444,0.5,0.0,0.0,0.0,0.0
guard_strengthen,1,1,0,nan,0.91358,1.0,1.0,1.0,1.0,0.08642
guard_weaken,1,1,0,nan,0.791667,1.0,1.0,1.0,1.0,0.208333
missing_transition,1,1,0,nan,0.954545,1.0,1.0,1.0,1.0,0.045455
nondeterminism_intro,1,0,1,nan,1.0,1.0,0.0,0.0,0.0,0.0
timeout_corruption,1,0,1,nan,1.0,1.0,0.0,0.0,0.0,0.0
unreachable_state_intro,1,0,1,nan,1.0,1.0,0.0,0.0,0.0,0.0
wrong_event,1,1,0,nan,0.998802,0.0,0.0,0.0,0.0,0.0
wrong_initial_state,1,1,0,nan,0.0,0.0,0.0,0.0,0.0,0.0
wrong_source,1,1,0,nan,0.995902,0.0,0.0,0.0,0.0,0.0
wrong_target,1,1,0,nan,0.986842,0.0,0.0,0.0,0.0,0.0
