method,partition,n_cases,top1_hit_rate,top3_hit_rate,top5_hit_rate,mrr,top1_ci95_low,top1_ci95_high,top3_ci95_low,top3_ci95_high,top5_ci95_low,top5_ci95_high,mrr_ci95_low,mrr_ci95_high
ochiai,all_detectable,495,0.149495,0.187879,0.228283,0.201018,0.119192,0.181818,0.153535,0.222222,0.191919,0.264646,0.170688,0.231904
tarantula,all_detectable,495,0.058586,0.179798,0.228283,0.148392,0.038384,0.080808,0.145455,0.214141,0.191919,0.264646,0.126344,0.171528
jaccard,all_detectable,495,0.149495,0.187879,0.228283,0.201018,0.119192,0.181818,0.153535,0.222222,0.191919,0.264646,0.170688,0.231904
random,all_detectable,495,0.028283,0.082828,0.127273,0.092738,0.014141,0.044444,0.060606,0.107071,0.09899,0.157576,0.077062,0.109586
structural_diff,all_detectable,495,0.755556,0.755556,0.755556,0.755556,0.717172,0.791919,0.717172,0.791919,0.717172,0.791919,0.717172,0.791919
ochiai,transition_localizable_gt,376,0.196809,0.24734,0.300532,0.264639,0.156915,0.236702,0.204787,0.292553,0.255319,0.348404,0.227145,0.303264
tarantula,transition_localizable_gt,376,0.077128,0.236702,0.300532,0.195357,0.050532,0.106383,0.194149,0.281915,0.255319,0.348404,0.168415,0.224245
jaccard,transition_localizable_gt,376,0.196809,0.24734,0.300532,0.264639,0.156915,0.236702,0.204787,0.292553,0.255319,0.348404,0.227145,0.303264
random,transition_localizable_gt,376,0.037234,0.109043,0.167553,0.122089,0.018617,0.058511,0.079787,0.140957,0.130319,0.204787,0.102109,0.143685
structural_diff,transition_localizable_gt,376,0.994681,0.994681,0.994681,0.994681,0.986702,1.0,0.986702,1.0,0.986702,1.0,0.986702,1.0
