partition,mutation_operator,method,n_cases,top1_hit_rate,top3_hit_rate,top5_hit_rate,mrr
all_detectable,guard_flip,jaccard,59,0.033898,0.084746,0.152542,0.110377
all_detectable,guard_flip,ochiai,59,0.033898,0.084746,0.152542,0.110377
all_detectable,guard_flip,tarantula,59,0.033898,0.084746,0.152542,0.110377
all_detectable,guard_inter_class,jaccard,20,0.05,0.05,0.15,0.125565
all_detectable,guard_inter_class,ochiai,20,0.05,0.05,0.15,0.125565
all_detectable,guard_inter_class,tarantula,20,0.05,0.05,0.15,0.125565
all_detectable,guard_strengthen,jaccard,59,0.033898,0.101695,0.135593,0.119317
all_detectable,guard_strengthen,ochiai,59,0.033898,0.101695,0.135593,0.119317
all_detectable,guard_strengthen,tarantula,59,0.033898,0.101695,0.135593,0.119317
all_detectable,guard_weaken,jaccard,59,0.016949,0.067797,0.135593,0.093143
all_detectable,guard_weaken,ochiai,59,0.016949,0.067797,0.135593,0.093143
all_detectable,guard_weaken,tarantula,59,0.016949,0.067797,0.135593,0.093143
all_detectable,missing_transition,jaccard,60,0.0,0.0,0.0,0.0
all_detectable,missing_transition,ochiai,60,0.0,0.0,0.0,0.0
all_detectable,missing_transition,tarantula,60,0.0,0.0,0.0,0.0
all_detectable,wrong_event,jaccard,59,0.016949,0.118644,0.220339,0.116265
all_detectable,wrong_event,ochiai,59,0.016949,0.118644,0.220339,0.116266
all_detectable,wrong_event,tarantula,59,0.016949,0.101695,0.220339,0.112028
all_detectable,wrong_initial_state,jaccard,59,0.0,0.0,0.0,0.0
all_detectable,wrong_initial_state,ochiai,59,0.0,0.0,0.0,0.0
all_detectable,wrong_initial_state,tarantula,59,0.0,0.0,0.0,0.0
all_detectable,wrong_source,jaccard,60,0.116667,0.166667,0.2,0.184763
all_detectable,wrong_source,ochiai,60,0.116667,0.166667,0.2,0.184763
all_detectable,wrong_source,tarantula,60,0.083333,0.166667,0.2,0.165318
all_detectable,wrong_target,jaccard,60,1.0,1.0,1.0,1.0
all_detectable,wrong_target,ochiai,60,1.0,1.0,1.0,1.0
all_detectable,wrong_target,tarantula,60,0.283333,0.95,1.0,0.589444
transition_localizable_gt,guard_flip,jaccard,59,0.033898,0.084746,0.152542,0.110377
transition_localizable_gt,guard_flip,ochiai,59,0.033898,0.084746,0.152542,0.110377
transition_localizable_gt,guard_flip,tarantula,59,0.033898,0.084746,0.152542,0.110377
transition_localizable_gt,guard_inter_class,jaccard,20,0.05,0.05,0.15,0.125565
transition_localizable_gt,guard_inter_class,ochiai,20,0.05,0.05,0.15,0.125565
transition_localizable_gt,guard_inter_class,tarantula,20,0.05,0.05,0.15,0.125565
transition_localizable_gt,guard_strengthen,jaccard,59,0.033898,0.101695,0.135593,0.119317
transition_localizable_gt,guard_strengthen,ochiai,59,0.033898,0.101695,0.135593,0.119317
transition_localizable_gt,guard_strengthen,tarantula,59,0.033898,0.101695,0.135593,0.119317
transition_localizable_gt,guard_weaken,jaccard,59,0.016949,0.067797,0.135593,0.093143
transition_localizable_gt,guard_weaken,ochiai,59,0.016949,0.067797,0.135593,0.093143
transition_localizable_gt,guard_weaken,tarantula,59,0.016949,0.067797,0.135593,0.093143
transition_localizable_gt,wrong_event,jaccard,59,0.016949,0.118644,0.220339,0.116265
transition_localizable_gt,wrong_event,ochiai,59,0.016949,0.118644,0.220339,0.116266
transition_localizable_gt,wrong_event,tarantula,59,0.016949,0.101695,0.220339,0.112028
transition_localizable_gt,wrong_source,jaccard,60,0.116667,0.166667,0.2,0.184763
transition_localizable_gt,wrong_source,ochiai,60,0.116667,0.166667,0.2,0.184763
transition_localizable_gt,wrong_source,tarantula,60,0.083333,0.166667,0.2,0.165318
transition_localizable_gt,wrong_target,jaccard,60,1.0,1.0,1.0,1.0
transition_localizable_gt,wrong_target,ochiai,60,1.0,1.0,1.0,1.0
transition_localizable_gt,wrong_target,tarantula,60,0.283333,0.95,1.0,0.589444
