mutation_operator,partition,gt_mode,cohort_cases,detectable_cases,skipped_cases,evaluated_cases,not_ranked_count,top1_hits,top3_hits,top5_hits,top1_hit_rate,top3_hit_rate,top5_hit_rate,mrr
action_corruption,all_cohort,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
action_corruption,all_detectable,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
action_corruption,all_detectable,alternative,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
action_corruption,transition_localizable_gt,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
action_corruption,alternative_gt,alternative,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
action_full_mutation,all_cohort,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
action_full_mutation,all_detectable,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
action_full_mutation,all_detectable,alternative,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
action_full_mutation,transition_localizable_gt,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
action_full_mutation,alternative_gt,alternative,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
dead_state_intro,all_cohort,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
dead_state_intro,all_detectable,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
dead_state_intro,all_detectable,alternative,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
dead_state_intro,transition_localizable_gt,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
dead_state_intro,alternative_gt,alternative,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
delay_corruption,all_cohort,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
delay_corruption,all_detectable,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
delay_corruption,all_detectable,alternative,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
delay_corruption,transition_localizable_gt,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
delay_corruption,alternative_gt,alternative,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
duplicate_transition,all_cohort,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
duplicate_transition,all_detectable,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
duplicate_transition,all_detectable,alternative,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
duplicate_transition,transition_localizable_gt,primary,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
duplicate_transition,alternative_gt,alternative,59,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0
guard_flip,all_cohort,primary,59,59,0,0,0,0,0,0,0.0,0.0,0.0,0.0
guard_flip,all_detectable,primary,59,59,0,59,0,2,5,9,0.033898,0.084746,0.152542,0.110377
guard_flip,all_detectable,alternative,59,59,0,59,0,2,5,9,0.033898,0.084746,0.152542,0.110377
guard_flip,transition_localizable_gt,primary,59,59,0,59,0,2,5,9,0.033898,0.084746,0.152542,0.110377
guard_flip,alternative_gt,alternative,59,59,0,59,0,2,5,9,0.033898,0.084746,0.152542,0.110377
guard_inter_class,all_cohort,primary,53,20,33,0,0,0,0,0,0.0,0.0,0.0,0.0
guard_inter_class,all_detectable,primary,53,20,33,20,0,1,1,3,0.05,0.05,0.15,0.125565
guard_inter_class,all_detectable,alternative,53,20,33,20,0,1,1,3,0.05,0.05,0.15,0.125565
guard_inter_class,transition_localizable_gt,primary,53,20,33,20,0,1,1,3,0.05,0.05,0.15,0.125565
guard_inter_class,alternative_gt,alternative,53,20,33,20,0,1,1,3,0.05,0.05,0.15,0.125565
guard_strengthen,all_cohort,primary,59,59,0,0,0,0,0,0,0.0,0.0,0.0,0.0
guard_strengthen,all_detectable,primary,59,59,0,59,0,2,6,8,0.033898,0.101695,0.135593,0.119317
guard_strengthen,all_detectable,alternative,59,59,0,59,0,2,6,8,0.033898,0.101695,0.135593,0.119317
guard_strengthen,transition_localizable_gt,primary,59,59,0,59,0,2,6,8,0.033898,0.101695,0.135593,0.119317
guard_strengthen,alternative_gt,alternative,59,59,0,59,0,2,6,8,0.033898,0.101695,0.135593,0.119317
guard_weaken,all_cohort,primary,59,59,0,0,0,0,0,0,0.0,0.0,0.0,0.0
guard_weaken,all_detectable,primary,59,59,0,59,0,1,4,8,0.016949,0.067797,0.135593,0.093143
guard_weaken,all_detectable,alternative,59,59,0,59,0,1,4,8,0.016949,0.067797,0.135593,0.093143
guard_weaken,transition_localizable_gt,primary,59,59,0,59,0,1,4,8,0.016949,0.067797,0.135593,0.093143
guard_weaken,alternative_gt,alternative,59,59,0,59,0,1,4,8,0.016949,0.067797,0.135593,0.093143
missing_transition,all_cohort,primary,60,60,0,0,0,0,0,0,0.0,0.0,0.0,0.0
missing_transition,all_detectable,primary,60,60,0,60,60,0,0,0,0.0,0.0,0.0,0.0
missing_transition,all_detectable,alternative,60,60,0,60,0,56,56,58,0.933333,0.933333,0.966667,0.94129
missing_transition,transition_localizable_gt,primary,60,60,0,0,0,0,0,0,0.0,0.0,0.0,0.0
missing_transition,alternative_gt,alternative,60,60,0,60,0,56,56,58,0.933333,0.933333,0.966667,0.94129
