partition,metric,value,denominator,numerator
all_detectable,top1_hit_rate,0.149495,495,
all_detectable,top3_hit_rate,0.187879,495,
all_detectable,top5_hit_rate,0.228283,495,
all_detectable,mrr,0.201018,495,
all_detectable,cohort_size,1000,1000,1000
all_detectable,localized_cases,495,1000,495
all_detectable,skipped_cases,505,1000,505
all_detectable,top1_hits,74,495,74
all_detectable,top3_hits,93,495,93
all_detectable,top5_hits,113,495,113
transition_localizable_gt,top1_hit_rate,0.196809,376,
transition_localizable_gt,top3_hit_rate,0.24734,376,
transition_localizable_gt,top5_hit_rate,0.300532,376,
transition_localizable_gt,mrr,0.264639,376,
transition_localizable_gt,cohort_size,1000,1000,1000
transition_localizable_gt,localized_cases,376,1000,376
transition_localizable_gt,skipped_cases,624,1000,624
transition_localizable_gt,top1_hits,74,376,74
transition_localizable_gt,top3_hits,93,376,93
transition_localizable_gt,top5_hits,113,376,113
