case_id,operator,spectral_resolution,top1_hit,top5_hit,reciprocal_rank,tie_group_size,executed_transition_count
case_000002,wrong_target,0.193548,True,True,1.0,1,31
case_000003,wrong_source,0.113924,False,False,0.014286,1,79
case_000004,wrong_event,0.044177,False,False,0.071429,1,249
case_000008,guard_flip,0.044177,False,False,0.009259,1,249
case_000009,guard_weaken,0.375,False,False,0.142857,11,8
case_000010,guard_strengthen,0.153846,False,False,0.043478,1,26
case_000021,wrong_target,0.6,True,True,1.0,1,10
case_000022,wrong_source,0.192308,False,False,0.047619,1,26
case_000023,wrong_event,0.0875,False,False,0.018182,1,80
case_000027,guard_flip,0.106383,True,True,1.0,80,47
case_000028,guard_weaken,0.039683,False,False,0.013699,1,252
case_000029,guard_strengthen,0.555556,False,False,0.111111,1,9
case_000040,wrong_target,0.040323,True,True,1.0,1,248
case_000041,wrong_source,0.428571,False,True,0.333333,1,7
case_000042,wrong_event,0.172414,False,True,0.25,1,29
case_000046,guard_flip,0.206897,False,True,0.333333,1,29
case_000047,guard_weaken,0.109756,False,False,0.023256,1,82
case_000048,guard_strengthen,0.052209,False,False,0.009009,1,249
case_000059,wrong_target,0.111111,True,True,1.0,1,81
case_000060,wrong_source,0.04918,False,False,0.004237,1,244
case_000061,wrong_event,0.428571,False,True,0.333333,10,7
case_000065,guard_flip,0.444444,False,False,0.142857,1,9
case_000066,guard_weaken,0.206897,False,False,0.166667,1,29
case_000067,guard_strengthen,0.101266,False,False,0.015152,1,79
case_000074,guard_inter_class,0.241379,False,False,0.052632,1,29
case_000078,wrong_target,0.222222,True,True,1.0,1,27
case_000079,wrong_source,0.1125,True,True,1.0,1,80
case_000080,wrong_event,0.039841,False,False,0.007463,1,251
case_000084,guard_flip,0.044898,False,False,0.009346,1,245
case_000085,guard_weaken,0.4,False,False,0.090909,1,10
case_000086,guard_strengthen,0.172414,False,False,0.166667,1,29
case_000097,wrong_target,0.625,True,True,1.0,1,8
case_000098,wrong_source,0.206897,False,False,0.035714,1,29
case_000099,wrong_event,0.101266,False,False,0.02439,1,79
case_000103,guard_flip,0.101266,False,False,0.0125,1,79
case_000104,guard_weaken,0.041841,False,False,0.004902,1,239
case_000105,guard_strengthen,0.555556,False,False,0.125,1,9
case_000116,wrong_target,0.051793,True,True,1.0,1,251
case_000117,wrong_source,0.428571,False,True,0.25,10,7
case_000118,wrong_event,0.206897,False,False,0.04,1,29
case_000122,guard_flip,0.166667,False,False,0.066667,1,30
case_000123,guard_weaken,0.088608,False,False,0.019231,1,79
case_000124,guard_strengthen,0.039841,False,False,0.027778,1,251
case_000135,wrong_target,0.111111,True,True,1.0,1,81
case_000136,wrong_source,0.047619,True,True,1.0,1,252
case_000137,wrong_event,0.444444,False,False,0.111111,1,9
case_000141,guard_flip,0.571429,False,True,0.25,1,7
case_000142,guard_weaken,0.206897,False,False,0.035714,1,29
case_000143,guard_strengthen,0.0875,False,False,0.020833,1,80
case_000150,guard_inter_class,0.172414,False,True,0.2,1,29
case_000154,wrong_target,0.233333,True,True,1.0,1,30
case_000155,wrong_source,0.101266,False,False,0.019608,1,79
case_000156,wrong_event,0.044177,False,False,0.007353,1,249
case_000160,guard_flip,0.041667,False,False,0.005025,1,240
case_000161,guard_weaken,0.428571,False,True,0.333333,10,7
case_000162,guard_strengthen,0.16129,False,False,0.083333,1,31
case_000169,guard_inter_class,0.428571,False,True,0.2,1,7
case_000173,wrong_target,0.454545,True,True,1.0,1,11
case_000174,wrong_source,0.206897,False,False,0.034483,1,29
case_000175,wrong_event,0.101266,False,False,0.043478,1,79
case_000179,guard_flip,0.101266,False,False,0.02,1,79
case_000180,guard_weaken,0.044177,False,False,0.006897,1,249
case_000181,guard_strengthen,0.555556,False,False,0.125,1,9
case_000188,guard_inter_class,0.048,False,False,0.006849,1,250
case_000192,wrong_target,0.055777,True,True,1.0,1,251
case_000193,wrong_source,0.4,False,False,0.090909,1,10
case_000194,wrong_event,0.2,False,False,0.055556,1,30
case_000198,guard_flip,0.206897,False,False,0.066667,1,29
case_000199,guard_weaken,0.101266,False,False,0.021277,1,79
case_000200,guard_strengthen,0.039683,False,False,0.006369,1,252
case_000207,guard_inter_class,0.101266,False,False,0.027778,1,79
case_000211,wrong_target,0.1,True,True,1.0,1,80
case_000212,wrong_source,0.057377,False,True,0.5,1,244
case_000213,wrong_event,0.444444,False,False,0.111111,1,9
case_000217,guard_flip,0.444444,False,False,0.142857,1,9
case_000218,guard_weaken,0.2,False,False,0.111111,1,30
case_000219,guard_strengthen,0.101266,False,False,0.020408,1,79
case_000230,wrong_target,0.233333,True,True,1.0,1,30
case_000231,wrong_source,0.088608,False,False,0.015385,1,79
case_000232,wrong_event,0.044898,False,False,0.020408,1,245
case_000236,guard_flip,0.048193,False,False,0.011236,1,249
case_000237,guard_weaken,0.444444,False,False,0.166667,1,9
case_000238,guard_strengthen,0.192308,False,False,0.0625,1,26
case_000249,wrong_target,0.5,True,True,1.0,1,10
case_000250,wrong_source,0.2,False,False,0.052632,1,30
case_000251,wrong_event,0.088608,False,False,0.019231,1,79
case_000255,guard_flip,0.1,False,False,0.035714,1,80
case_000256,guard_weaken,0.044177,False,False,0.005155,1,249
case_000257,guard_strengthen,0.444444,False,True,0.2,1,9
case_000268,wrong_target,0.043478,True,True,1.0,1,253
case_000269,wrong_source,0.555556,False,False,0.111111,1,9
case_000270,wrong_event,0.153846,False,False,0.04,30,26
case_000274,guard_flip,0.192308,False,False,0.037037,1,26
case_000275,guard_weaken,0.101266,False,False,0.015625,1,79
case_000276,guard_strengthen,0.044,False,False,0.015385,1,250
case_000283,guard_inter_class,0.1,False,False,0.076923,1,80
case_000287,wrong_target,0.125,True,True,1.0,1,80
case_000288,wrong_source,0.048193,False,False,0.029412,1,249
case_000289,wrong_event,0.714286,False,True,0.333333,1,7
case_000293,guard_flip,0.444444,False,False,0.142857,1,9
case_000294,guard_weaken,0.206897,False,False,0.047619,1,29
case_000295,guard_strengthen,0.093333,False,False,0.125,1,75
case_000306,wrong_target,0.25,True,True,1.0,1,28
case_000307,wrong_source,0.101266,False,False,0.02,1,79
case_000308,wrong_event,0.048193,False,False,0.005181,1,249
case_000312,guard_flip,0.044177,False,False,0.011628,1,249
case_000313,guard_weaken,0.444444,False,False,0.125,1,9
case_000314,guard_strengthen,0.2,False,False,0.066667,1,30
case_000321,guard_inter_class,0.666667,True,True,1.0,10,3
case_000325,wrong_target,0.444444,True,True,1.0,1,9
case_000326,wrong_source,0.230769,False,False,0.035714,1,26
case_000327,wrong_event,0.101266,False,False,0.016129,1,79
case_000331,guard_flip,0.088608,False,False,0.083333,1,79
case_000332,guard_weaken,0.048193,False,False,0.007937,1,249
case_000333,guard_strengthen,0.428571,False,True,0.2,10,7
case_000344,wrong_target,0.051793,True,True,1.0,1,251
case_000345,wrong_source,0.375,False,False,0.166667,11,8
case_000346,wrong_event,0.217391,False,True,0.5,1,23
case_000350,guard_flip,0.166667,False,False,0.05,1,30
case_000351,guard_weaken,0.101266,False,False,0.016393,1,79
case_000352,guard_strengthen,0.044534,False,False,0.008772,1,247
case_000359,guard_inter_class,0.093333,False,False,0.166667,1,75
case_000363,wrong_target,0.109756,True,True,1.0,1,82
case_000364,wrong_source,0.041841,False,False,0.076923,1,239
case_000365,wrong_event,0.571429,False,False,0.142857,1,7
case_000369,guard_flip,0.4,False,True,0.333333,1,10
case_000370,guard_weaken,0.206897,False,False,0.125,1,29
case_000371,guard_strengthen,0.101266,False,False,0.035714,1,79
case_000378,guard_inter_class,0.217391,False,False,0.035714,30,23
case_000382,wrong_target,0.193548,True,True,1.0,1,31
case_000383,wrong_source,0.101266,False,False,0.013699,1,79
case_000384,wrong_event,0.048,False,False,0.006098,1,250
case_000388,guard_flip,0.044177,False,False,0.010638,1,249
case_000389,guard_weaken,0.571429,False,True,0.25,1,7
case_000390,guard_strengthen,0.166667,False,False,0.166667,1,30
case_000401,wrong_target,0.5,True,True,1.0,1,10
case_000402,wrong_source,0.206897,False,False,0.111111,1,29
case_000403,wrong_event,0.083333,False,False,0.043478,81,72
case_000407,guard_flip,0.101266,False,False,0.033333,1,79
case_000408,guard_weaken,0.040161,False,False,0.00578,1,249
case_000409,guard_strengthen,0.4,False,True,0.333333,1,10
case_000420,wrong_target,0.048,True,True,1.0,1,250
case_000421,wrong_source,0.444444,False,False,0.142857,1,9
case_000422,wrong_event,0.2,False,True,0.25,1,30
case_000426,guard_flip,0.206897,False,False,0.071429,1,29
case_000427,guard_weaken,0.098765,False,False,0.02381,1,81
case_000428,guard_strengthen,0.044177,False,False,0.006173,1,249
case_000435,guard_inter_class,0.111111,False,False,0.022222,1,81
case_000439,wrong_target,0.1,True,True,1.0,1,80
case_000440,wrong_source,0.04,False,False,0.041667,1,250
case_000441,wrong_event,0.555556,False,True,0.2,1,9
case_000445,guard_flip,0.555556,False,True,0.2,1,9
case_000446,guard_weaken,0.241379,False,False,0.052632,1,29
case_000447,guard_strengthen,0.084746,False,False,0.083333,1,59
case_000458,wrong_target,0.222222,True,True,1.0,1,27
case_000459,wrong_source,0.093333,False,False,0.012821,1,75
case_000460,wrong_event,0.047619,False,False,0.006993,1,252
case_000464,guard_flip,0.055777,False,False,0.004032,1,251
case_000465,guard_weaken,0.4,False,False,0.111111,1,10
case_000466,guard_strengthen,0.208333,False,False,0.037037,1,24
case_000477,wrong_target,0.5,True,True,1.0,1,10
case_000478,wrong_source,0.206897,False,False,0.047619,1,29
case_000479,wrong_event,0.089552,False,False,0.043478,80,67
case_000483,guard_flip,0.12,False,True,0.2,1,75
case_000484,guard_weaken,0.044898,False,False,0.005682,1,245
case_000485,guard_strengthen,0.4,False,False,0.125,1,10
case_000496,wrong_target,0.043307,True,True,1.0,1,254
case_000497,wrong_source,0.6,False,False,0.0,7,5
case_000498,wrong_event,0.206897,False,False,0.052632,1,29
case_000502,guard_flip,0.2,False,False,0.090909,1,30
case_000503,guard_weaken,0.088608,False,False,0.015152,1,79
case_000504,guard_strengthen,0.048,False,False,0.017241,1,250
case_000515,wrong_target,0.09589,True,True,1.0,1,73
case_000516,wrong_source,0.048193,False,False,0.004237,1,249
case_000517,wrong_event,0.555556,False,False,0.111111,1,9
case_000521,guard_flip,0.555556,False,False,0.111111,1,9
case_000522,guard_weaken,0.192308,False,False,0.090909,1,26
case_000523,guard_strengthen,0.113924,False,False,0.045455,1,79
case_000534,wrong_target,0.193548,True,True,1.0,1,31
case_000535,wrong_source,0.088608,False,False,0.018519,1,79
case_000536,wrong_event,0.040161,False,False,0.011111,1,249
case_000540,guard_flip,0.039841,False,False,0.003984,1,251
case_000541,guard_weaken,0.375,False,True,0.2,1,8
case_000542,guard_strengthen,0.206897,False,False,0.090909,1,29
case_000553,wrong_target,0.454545,True,True,1.0,1,11
case_000554,wrong_source,0.206897,False,False,0.125,1,29
case_000555,wrong_event,0.083333,False,False,0.012821,1,72
case_000559,guard_flip,0.093333,False,False,0.015873,1,75
case_000560,guard_weaken,0.043651,False,False,0.007353,1,252
case_000561,guard_strengthen,0.571429,False,True,0.333333,1,7
case_000572,wrong_target,0.052,True,True,1.0,1,250
case_000573,wrong_source,0.666667,False,False,0.0,1,3
case_000574,wrong_event,0.192308,False,False,0.04,30,26
case_000578,guard_flip,0.241379,False,False,0.111111,1,29
case_000579,guard_weaken,0.1,False,False,0.014493,1,80
case_000580,guard_strengthen,0.040161,False,False,0.005405,1,249
case_000587,guard_inter_class,0.088608,False,False,0.03125,1,79
case_000591,wrong_target,0.098765,True,True,1.0,1,81
case_000592,wrong_source,0.044177,False,False,0.007407,1,249
case_000593,wrong_event,1.0,True,True,1.0,1,1
case_000597,guard_flip,0.444444,False,False,0.142857,1,9
case_000598,guard_weaken,0.192308,False,False,0.035714,1,26
case_000599,guard_strengthen,0.1,False,False,0.013333,1,80
case_000606,guard_inter_class,0.2,False,False,0.111111,1,30
case_000610,wrong_target,0.233333,True,True,1.0,1,30
case_000611,wrong_source,0.101266,False,False,0.025,1,79
case_000612,wrong_event,0.040161,False,False,0.142857,1,249
case_000616,guard_flip,0.048,False,False,0.033333,1,250
case_000617,guard_weaken,0.428571,False,True,0.333333,1,7
case_000618,guard_strengthen,0.172414,False,False,0.111111,1,29
case_000629,wrong_target,0.454545,True,True,1.0,1,11
case_000630,wrong_source,0.185185,False,False,0.035714,1,27
case_000631,wrong_event,0.088608,False,False,0.013699,1,79
case_000635,guard_flip,0.106667,False,False,0.071429,1,75
case_000636,guard_weaken,0.056225,False,False,0.011628,1,249
case_000637,guard_strengthen,0.6,True,True,1.0,10,5
case_000644,guard_inter_class,0.048,False,False,0.041667,1,250
case_000648,wrong_target,0.048583,True,True,1.0,1,247
case_000649,wrong_source,0.555556,True,True,1.0,1,9
case_000650,wrong_event,0.269231,False,True,0.333333,1,26
case_000654,guard_flip,0.2,False,False,0.125,1,30
case_000655,guard_weaken,0.113924,False,False,0.047619,1,79
case_000656,guard_strengthen,0.044,False,False,0.090909,1,250
case_000667,wrong_target,0.1125,True,True,1.0,1,80
case_000668,wrong_source,0.045082,False,False,0.013158,1,244
case_000669,wrong_event,0.6,False,True,0.25,10,5
case_000673,guard_flip,0.4,False,True,0.333333,1,10
case_000674,guard_weaken,0.148148,False,False,0.038462,31,27
case_000675,guard_strengthen,0.088608,False,False,0.018519,1,79
case_000682,guard_inter_class,0.206897,False,False,0.090909,1,29
case_000686,wrong_target,0.1875,True,True,1.0,1,32
case_000687,wrong_source,0.125,False,False,0.035714,1,80
case_000688,wrong_event,0.040161,False,False,0.004926,1,249
case_000692,guard_flip,0.044,False,False,0.006849,1,250
case_000693,guard_weaken,0.444444,False,False,0.125,1,9
case_000694,guard_strengthen,0.133333,False,True,0.333333,1,30
case_000705,wrong_target,0.625,True,True,1.0,1,8
case_000706,wrong_source,0.16129,False,False,0.1,1,31
case_000707,wrong_event,0.101266,False,False,0.02381,1,79
case_000711,guard_flip,0.073171,False,False,0.023256,1,82
case_000712,guard_weaken,0.053061,False,False,0.027778,1,245
case_000713,guard_strengthen,0.444444,False,False,0.166667,1,9
case_000724,wrong_target,0.048,True,True,1.0,1,250
case_000725,wrong_source,0.666667,True,True,1.0,10,3
case_000726,wrong_event,0.192308,False,False,0.034483,1,26
case_000730,guard_flip,0.222222,False,False,0.035714,1,27
case_000731,guard_weaken,0.0875,False,False,0.018182,1,80
case_000732,guard_strengthen,0.045082,False,False,0.033333,1,244
case_000743,wrong_target,0.133333,True,True,1.0,1,45
case_000744,wrong_source,0.043478,False,False,0.008929,1,230
case_000745,wrong_event,0.444444,False,False,0.166667,10,9
case_000749,guard_flip,0.333333,False,True,0.25,11,6
case_000750,guard_weaken,0.206897,False,False,0.045455,1,29
case_000751,guard_strengthen,0.073171,False,False,0.043478,1,82
case_000762,wrong_target,0.233333,True,True,1.0,1,30
case_000763,wrong_source,0.098765,False,False,0.020408,1,81
case_000764,wrong_event,0.048,False,False,0.005525,1,250
case_000768,guard_flip,0.038961,False,False,0.008929,1,231
case_000769,guard_weaken,0.555556,False,False,0.125,1,9
case_000770,guard_strengthen,0.172414,False,False,0.125,1,29
case_000781,wrong_target,0.454545,True,True,1.0,1,11
case_000782,wrong_source,0.166667,False,False,0.066667,1,30
case_000783,wrong_event,0.075949,False,False,0.019231,1,79
case_000787,guard_flip,0.078947,False,False,0.012821,1,76
case_000788,guard_weaken,0.043825,False,False,0.043478,1,251
case_000789,guard_strengthen,0.375,False,False,0.142857,1,8
case_000800,wrong_target,0.048,True,True,1.0,1,250
case_000801,wrong_source,0.8,True,True,1.0,1,5
case_000802,wrong_event,0.275862,False,True,0.5,2,29
case_000806,guard_flip,0.217391,True,True,1.0,30,23
case_000807,guard_weaken,0.113924,False,False,0.025,1,79
case_000808,guard_strengthen,0.034043,False,False,0.008,1,235
case_000815,guard_inter_class,0.084746,False,False,0.076923,80,59
case_000819,wrong_target,0.1,True,True,1.0,1,80
case_000820,wrong_source,0.043825,False,False,0.005952,1,251
case_000821,wrong_event,0.6,False,True,0.333333,10,5
case_000825,guard_flip,0.444444,False,False,0.111111,1,9
case_000826,guard_weaken,0.15625,False,True,0.25,1,32
case_000827,guard_strengthen,0.088608,False,False,0.043478,1,79
case_000838,wrong_target,0.233333,True,True,1.0,1,30
case_000839,wrong_source,0.101266,False,False,0.125,1,79
case_000840,wrong_event,0.047619,False,False,0.00431,1,252
case_000844,guard_flip,0.045662,False,False,0.005051,250,219
case_000845,guard_weaken,0.6,False,True,0.333333,1,5
case_000846,guard_strengthen,0.137931,False,True,0.5,30,29
case_000857,wrong_target,0.444444,True,True,1.0,1,9
case_000858,wrong_source,0.241379,True,True,1.0,1,29
case_000859,wrong_event,0.104478,False,False,0.071429,80,67
case_000863,guard_flip,0.101266,False,False,0.043478,1,79
case_000864,guard_weaken,0.052,False,False,0.006329,1,250
case_000865,guard_strengthen,0.555556,False,False,0.111111,1,9
case_000872,guard_inter_class,0.044177,False,False,0.037037,1,249
case_000876,wrong_target,0.051793,True,True,1.0,1,251
case_000877,wrong_source,0.4,False,False,0.090909,1,10
case_000878,wrong_event,0.192308,False,False,0.037037,30,26
case_000882,guard_flip,0.166667,False,False,0.032258,1,30
case_000883,guard_weaken,0.113924,False,False,0.021739,1,79
case_000884,guard_strengthen,0.044,False,False,0.004785,1,250
case_000891,guard_inter_class,0.1,False,False,0.016949,1,80
case_000895,wrong_target,0.125,True,True,1.0,1,80
case_000896,wrong_source,0.044,False,False,0.005464,1,250
case_000897,wrong_event,0.333333,False,True,0.25,11,6
case_000901,guard_flip,0.444444,False,False,0.166667,1,9
case_000902,guard_weaken,0.2,False,False,0.1,1,30
case_000903,guard_strengthen,0.1,False,False,0.020408,1,80
case_000910,guard_inter_class,0.206897,False,False,0.166667,1,29
case_000914,wrong_target,0.2,True,True,1.0,1,30
