mutation_operator,partition,gt_mode,detectable_cases,not_ranked_count,evaluated_cases
action_corruption,all_detectable,primary,0,0,0
action_full_mutation,all_detectable,primary,0,0,0
dead_state_intro,all_detectable,primary,0,0,0
delay_corruption,all_detectable,primary,0,0,0
duplicate_transition,all_detectable,primary,0,0,0
guard_flip,all_detectable,primary,59,0,59
guard_inter_class,all_detectable,primary,20,0,20
guard_strengthen,all_detectable,primary,59,0,59
guard_weaken,all_detectable,primary,59,0,59
missing_transition,all_detectable,primary,60,60,60
nondeterminism_intro,all_detectable,primary,0,0,0
timeout_corruption,all_detectable,primary,0,0,0
unreachable_state_intro,all_detectable,primary,0,0,0
wrong_event,all_detectable,primary,59,0,59
wrong_initial_state,all_detectable,primary,59,59,59
wrong_source,all_detectable,primary,60,2,60
wrong_target,all_detectable,primary,60,0,60
