case_id,mutation_operator,changed_transition_id,localized,transition_count,rank_of_target,reciprocal_rank,top1_hit,top3_hit,top5_hit,top_ranked_transition
case_000001,missing_transition,t44_10,True,9,,0.0,False,False,False,t44_4
case_000002,wrong_target,t45_16,True,31,1,1.0,True,True,True,t45_16
case_000003,wrong_source,t46_72,True,80,70,0.014286,False,False,False,t46_32
case_000004,wrong_event,t47_109,True,250,14,0.071429,False,False,False,t47_150
case_000005,wrong_initial_state,,True,4,,0.0,False,False,False,t48_4
case_000006,duplicate_transition,t49_1,False,0,,0.0,False,False,False,
case_000007,dead_state_intro,,False,0,,0.0,False,False,False,
case_000008,guard_flip,t51_195,True,255,108,0.009259,False,False,False,t51_50
case_000009,guard_weaken,t52_5,True,11,7,0.142857,False,False,False,t52_1
case_000010,guard_strengthen,t53_3,True,30,23,0.043478,False,False,False,t53_1
case_000011,action_corruption,t54_12,False,0,,0.0,False,False,False,
case_000012,timeout_corruption,t55_183,False,0,,0.0,False,False,False,
case_000013,delay_corruption,t56_4,False,0,,0.0,False,False,False,
case_000014,nondeterminism_intro,t57_11,False,0,,0.0,False,False,False,
case_000015,unreachable_state_intro,,False,0,,0.0,False,False,False,
case_000017,guard_inter_class,t60_7,False,0,,0.0,False,False,False,
case_000018,action_full_mutation,,False,0,,0.0,False,False,False,
case_000020,missing_transition,t63_13,True,250,,0.0,False,False,False,t63_1
case_000021,wrong_target,t64_10,True,10,1,1.0,True,True,True,t64_10
case_000022,wrong_source,t65_28,True,30,21,0.047619,False,False,False,t65_10
case_000023,wrong_event,t66_59,True,81,55,0.018182,False,False,False,t66_28
case_000024,wrong_initial_state,,True,255,,0.0,False,False,False,t67_22
case_000025,duplicate_transition,t68_8,False,0,,0.0,False,False,False,
case_000026,dead_state_intro,,False,0,,0.0,False,False,False,
case_000027,guard_flip,t70_1,True,80,1,1.0,True,True,True,t70_1
case_000028,guard_weaken,t71_162,True,253,73,0.013699,False,False,False,t71_53
case_000029,guard_strengthen,t72_8,True,10,9,0.111111,False,False,False,t72_3
case_000030,action_corruption,t73_3,False,0,,0.0,False,False,False,
case_000031,timeout_corruption,t74_52,False,0,,0.0,False,False,False,
case_000032,delay_corruption,t75_29,False,0,,0.0,False,False,False,
case_000033,nondeterminism_intro,t76_10,False,0,,0.0,False,False,False,
case_000034,unreachable_state_intro,,False,0,,0.0,False,False,False,
case_000036,guard_inter_class,t79_3,False,0,,0.0,False,False,False,
case_000037,action_full_mutation,,False,0,,0.0,False,False,False,
case_000039,missing_transition,t82_28,True,79,,0.0,False,False,False,t82_4
case_000040,wrong_target,t83_56,True,253,1,1.0,True,True,True,t83_56
case_000041,wrong_source,t84_2,True,10,3,0.333333,False,True,True,t84_1
case_000042,wrong_event,t85_12,True,30,4,0.25,False,False,True,t85_1
case_000043,wrong_initial_state,,True,80,,0.0,False,False,False,t86_12
case_000044,duplicate_transition,t87_72,False,0,,0.0,False,False,False,
case_000045,dead_state_intro,,False,0,,0.0,False,False,False,
case_000046,guard_flip,t89_10,True,30,3,0.333333,False,True,True,t89_3
case_000047,guard_weaken,t90_48,True,83,43,0.023256,False,False,False,t90_26
case_000048,guard_strengthen,t91_197,True,250,111,0.009009,False,False,False,t91_216
case_000049,action_corruption,t92_6,False,0,,0.0,False,False,False,
case_000050,timeout_corruption,t93_28,False,0,,0.0,False,False,False,
case_000051,delay_corruption,t94_67,False,0,,0.0,False,False,False,
case_000052,nondeterminism_intro,t95_3,False,0,,0.0,False,False,False,
case_000053,unreachable_state_intro,,False,0,,0.0,False,False,False,
case_000055,guard_inter_class,t98_49,False,0,,0.0,False,False,False,
case_000056,action_full_mutation,,False,0,,0.0,False,False,False,
case_000058,missing_transition,t101_30,True,30,,0.0,False,False,False,t101_9
case_000059,wrong_target,t102_12,True,81,1,1.0,True,True,True,t102_12
case_000060,wrong_source,t103_86,True,250,236,0.004237,False,False,False,t103_13
case_000061,wrong_event,t104_2,True,10,3,0.333333,False,True,True,t104_1
case_000062,wrong_initial_state,,True,30,,0.0,False,False,False,t105_3
case_000063,duplicate_transition,t106_50,False,0,,0.0,False,False,False,
case_000064,dead_state_intro,,False,0,,0.0,False,False,False,
case_000065,guard_flip,t108_6,True,10,7,0.142857,False,False,False,t108_2
case_000066,guard_weaken,t109_13,True,30,6,0.166667,False,False,False,t109_2
case_000067,guard_strengthen,t110_68,True,80,66,0.015152,False,False,False,t110_37
case_000068,action_corruption,t111_243,False,0,,0.0,False,False,False,
case_000069,timeout_corruption,t112_8,False,0,,0.0,False,False,False,
case_000070,delay_corruption,t113_9,False,0,,0.0,False,False,False,
case_000071,nondeterminism_intro,t114_16,False,0,,0.0,False,False,False,
