metric,bucket,value,count,fraction
cohort_size,,1000,,
localized_cases,,648,,
skipped_cases,,352,,
top1_hit_rate,,0.401235,,
top3_hit_rate,,0.515432,,
top5_hit_rate,,0.572531,,
mrr,,0.467652,,
rank_distribution,1,,260,0.401235
rank_distribution,2,,40,0.061728
rank_distribution,3,,34,0.052469
rank_distribution,4,,17,0.026235
rank_distribution,5,,20,0.030864
rank_distribution,6-10,,22,0.033951
rank_distribution,11-20,,7,0.010802
rank_distribution,21+,,0,0.0
rank_distribution,not_ranked,,248,0.382716
