partition,metric,value,denominator,numerator
all_detectable,top1_hit_rate,0.401235,648,
all_detectable,top3_hit_rate,0.515432,648,
all_detectable,top5_hit_rate,0.572531,648,
all_detectable,mrr,0.467652,648,
all_detectable,cohort_size,1000,1000,1000
all_detectable,localized_cases,648,1000,648
all_detectable,skipped_cases,352,1000,352
all_detectable,top1_hits,260,648,260
all_detectable,top3_hits,334,648,334
all_detectable,top5_hits,371,648,371
transition_localizable_gt,top1_hit_rate,0.577778,450,
transition_localizable_gt,top3_hit_rate,0.742222,450,
transition_localizable_gt,top5_hit_rate,0.824444,450,
transition_localizable_gt,mrr,0.673418,450,
transition_localizable_gt,cohort_size,1000,1000,1000
transition_localizable_gt,localized_cases,450,1000,450
transition_localizable_gt,skipped_cases,550,1000,550
transition_localizable_gt,top1_hits,260,450,260
transition_localizable_gt,top3_hits,334,450,334
transition_localizable_gt,top5_hits,371,450,371
