case_id,mutation_operator,changed_transition_id,localized,transition_count,rank_of_target,reciprocal_rank,top1_hit,top3_hit,top5_hit,top_ranked_transition
case_000001,missing_transition,t63_1,True,0,,0.0,False,False,False,
case_000002,missing_transition,t80_1,True,0,,0.0,False,False,False,
case_000003,missing_transition,t97_1,True,0,,0.0,False,False,False,
case_000004,missing_transition,t114_1,True,0,,0.0,False,False,False,
case_000005,missing_transition,t131_1,True,0,,0.0,False,False,False,
case_000006,missing_transition,t148_1,True,0,,0.0,False,False,False,
case_000007,missing_transition,t165_1,True,0,,0.0,False,False,False,
case_000008,missing_transition,t182_1,True,0,,0.0,False,False,False,
case_000009,missing_transition,t199_1,True,0,,0.0,False,False,False,
case_000010,missing_transition,t216_1,True,0,,0.0,False,False,False,
case_000011,missing_transition,t233_2,True,1,,0.0,False,False,False,t233_1
case_000012,missing_transition,t250_1,True,0,,0.0,False,False,False,
case_000013,missing_transition,t267_1,True,0,,0.0,False,False,False,
case_000014,missing_transition,t284_1,True,0,,0.0,False,False,False,
case_000015,missing_transition,t301_1,True,0,,0.0,False,False,False,
case_000016,missing_transition,t318_2,True,1,,0.0,False,False,False,t318_1
case_000017,missing_transition,t335_1,True,0,,0.0,False,False,False,
case_000018,missing_transition,t352_1,True,0,,0.0,False,False,False,
case_000019,missing_transition,t369_1,True,0,,0.0,False,False,False,
case_000020,missing_transition,t386_1,True,0,,0.0,False,False,False,
case_000021,missing_transition,t403_1,True,0,,0.0,False,False,False,
case_000022,missing_transition,t420_1,True,0,,0.0,False,False,False,
case_000023,missing_transition,t8356_1,True,0,,0.0,False,False,False,
case_000024,missing_transition,t454_1,True,0,,0.0,False,False,False,
case_000025,missing_transition,t471_2,True,1,,0.0,False,False,False,t471_1
case_000026,missing_transition,t488_1,True,0,,0.0,False,False,False,
case_000027,missing_transition,t505_1,True,0,,0.0,False,False,False,
case_000028,missing_transition,t522_1,True,0,,0.0,False,False,False,
case_000029,missing_transition,t539_1,True,0,,0.0,False,False,False,
case_000030,missing_transition,t556_2,True,1,,0.0,False,False,False,t556_1
case_000031,missing_transition,t573_2,True,1,,0.0,False,False,False,t573_1
case_000032,missing_transition,t590_1,True,0,,0.0,False,False,False,
