mutation_order,partition,metric,n_cases,value_mean,value_ci95_low,value_ci95_high,value_n_cases
order_1,cohort_wide,detection_rate,250,47.200000,41.200000,53.600000,250
order_1,cohort_wide,complete_repair_rate,250,89.200000,85.200000,92.800000,250
order_1,cohort_wide,effective_repair_rate,250,42.000000,36.000000,48.400000,250
order_1,cohort_wide,mean_bpr_delta,250,0.067700,0.041874,0.096662,250
order_1,detectable_only,complete_repair_rate,118,77.118600,69.491500,84.745800,118
order_1,detectable_only,effective_repair_rate,118,88.983100,83.050800,94.067800,118
order_1,detectable_only,mean_bpr_delta,118,0.143432,0.091786,0.200682,118
order_2,cohort_wide,detection_rate,250,99.200000,98.000000,100.000000,250
order_2,cohort_wide,complete_repair_rate,250,60.000000,54.000000,66.000000,250
order_2,cohort_wide,effective_repair_rate,250,92.000000,88.400000,95.200000,250
order_2,cohort_wide,mean_bpr_delta,250,0.267039,0.220809,0.315454,250
order_2,detectable_only,complete_repair_rate,248,59.677400,53.629000,65.725800,248
order_2,detectable_only,effective_repair_rate,248,92.741900,89.516100,95.967700,248
order_2,detectable_only,mean_bpr_delta,248,0.269193,0.223169,0.317398,248
order_3,cohort_wide,detection_rate,250,100.000000,100.000000,100.000000,250
order_3,cohort_wide,complete_repair_rate,250,40.400000,34.400000,46.400000,250
order_3,cohort_wide,effective_repair_rate,250,98.000000,96.000000,99.600000,250
order_3,cohort_wide,mean_bpr_delta,250,0.388064,0.335051,0.441553,250
order_3,detectable_only,complete_repair_rate,250,40.400000,34.400000,46.400000,250
order_3,detectable_only,effective_repair_rate,250,98.000000,96.000000,99.600000,250
order_3,detectable_only,mean_bpr_delta,250,0.388064,0.335051,0.441553,250
fo_subset,cohort_wide,detection_rate,250,47.200000,41.200000,53.600000,250
ho_orders_2_3,cohort_wide,detection_rate,500,99.600000,99.000000,100.000000,500
