metric,mutation_order,primary_operator,value,count,fraction
cohort_size,,,250,,
total_cases,,,715,,
first_order_case_count,,,250,,
higher_order_case_count,,,465,,
detection_rate,1,,0.648,,
complete_repair_rate,1,,0.852,,
effective_repair_rate,1,,0.5,,
mean_faulty_bpr,1,,0.63689,,
mean_bpr_delta,1,,0.36311,,
detection_rate,2,,0.966805,,
complete_repair_rate,2,,0.701245,,
effective_repair_rate,2,,0.883817,,
mean_faulty_bpr,2,,0.369537,,
mean_bpr_delta,2,,0.630463,,
detection_rate,3,,1.0,,
complete_repair_rate,3,,0.571429,,
effective_repair_rate,3,,0.964286,,
mean_faulty_bpr,3,,0.227722,,
mean_bpr_delta,3,,0.772278,,
coupling_effect_estimate,,,0.99308,,
detection_rate,1,action_corruption,0.0,,
detection_rate,2,action_corruption,1.0,,
detection_rate,3,action_corruption,1.0,,
detection_rate,1,dead_state_intro,0.0,,
detection_rate,2,dead_state_intro,0.923077,,
detection_rate,3,dead_state_intro,1.0,,
detection_rate,1,delay_corruption,0.0,,
detection_rate,2,delay_corruption,1.0,,
detection_rate,3,delay_corruption,1.0,,
detection_rate,1,duplicate_transition,0.0,,
detection_rate,2,duplicate_transition,0.923077,,
detection_rate,3,duplicate_transition,1.0,,
detection_rate,1,guard_flip,1.0,,
detection_rate,2,guard_flip,1.0,,
coupling_effect,2,guard_flip,1.0,,
detection_rate,3,guard_flip,1.0,,
coupling_effect,3,guard_flip,1.0,,
detection_rate,1,guard_strengthen,1.0,,
detection_rate,2,guard_strengthen,1.0,,
coupling_effect,2,guard_strengthen,1.0,,
detection_rate,3,guard_strengthen,1.0,,
coupling_effect,3,guard_strengthen,1.0,,
detection_rate,1,guard_weaken,1.0,,
detection_rate,2,guard_weaken,1.0,,
coupling_effect,2,guard_weaken,1.0,,
detection_rate,3,guard_weaken,1.0,,
coupling_effect,3,guard_weaken,1.0,,
detection_rate,1,missing_transition,1.0,,
detection_rate,2,missing_transition,1.0,,
coupling_effect,2,missing_transition,1.0,,
detection_rate,3,missing_transition,1.0,,
coupling_effect,3,missing_transition,1.0,,
detection_rate,1,nondeterminism_intro,0.0,,
detection_rate,2,nondeterminism_intro,0.666667,,
detection_rate,3,nondeterminism_intro,1.0,,
detection_rate,1,timeout_corruption,0.0,,
detection_rate,2,timeout_corruption,1.0,,
detection_rate,3,timeout_corruption,1.0,,
detection_rate,1,unreachable_state_intro,0.0,,
detection_rate,2,unreachable_state_intro,1.0,,
detection_rate,3,unreachable_state_intro,1.0,,
detection_rate,1,wrong_event,1.0,,
detection_rate,2,wrong_event,1.0,,
coupling_effect,2,wrong_event,1.0,,
detection_rate,3,wrong_event,1.0,,
coupling_effect,3,wrong_event,1.0,,
detection_rate,1,wrong_initial_state,1.0,,
detection_rate,2,wrong_initial_state,0.916667,,
coupling_effect,2,wrong_initial_state,0.916667,,
detection_rate,3,wrong_initial_state,1.0,,
coupling_effect,3,wrong_initial_state,1.0,,
detection_rate,1,wrong_source,1.0,,
detection_rate,2,wrong_source,0.916667,,
coupling_effect,2,wrong_source,0.916667,,
detection_rate,3,wrong_source,1.0,,
coupling_effect,3,wrong_source,1.0,,
detection_rate,1,wrong_target,1.0,,
detection_rate,2,wrong_target,1.0,,
coupling_effect,2,wrong_target,1.0,,
detection_rate,3,wrong_target,1.0,,
coupling_effect,3,wrong_target,1.0,,
