case_id,source_case_id,mutation_order,is_higher_order,primary_operator,mutation_operator,ho_seed,reference_bpr,faulty_bpr,bpr_delta,fault_detected,first_order_components_detected,first_order_components_total,all_first_order_detected,coupling_eligible,coupling_detected,complete_repair,effective_repair,repair_final_bpr,repair_delta_bpr,generation_status
case_000701,case_000701,1,False,guard_flip,guard_flip,,1.0,0.55,0.45,True,1,1,True,False,False,True,True,1.0,0.45,source
case_000701__ho2,case_000701,2,True,guard_flip,"guard_flip,guard_weaken",22768,1.0,0.9,0.1,True,2,2,True,True,True,True,True,1.0,0.1,generated
case_000701__ho3,case_000701,3,True,guard_flip,"guard_flip,wrong_event,wrong_source",16461,1.0,0.85,0.15,True,3,3,True,True,True,True,True,1.0,0.15,generated
case_000651,case_000651,1,False,guard_strengthen,guard_strengthen,,1.0,0.25,0.75,True,1,1,True,False,False,True,True,1.0,0.75,source
case_000651__ho2,case_000651,2,True,guard_strengthen,"guard_strengthen,wrong_event",23233,1.0,0.5,0.5,True,2,2,True,True,True,True,True,1.0,0.5,generated
case_000651__ho3,case_000651,3,True,guard_strengthen,"guard_strengthen,guard_flip,missing_transition",91100,1.0,0.0,1.0,True,3,3,True,True,True,True,True,1.0,1.0,generated
case_000601,case_000601,1,False,guard_weaken,guard_weaken,,1.0,0.0,1.0,True,1,1,True,False,False,True,True,1.0,1.0,source
case_000601__ho2,case_000601,2,True,guard_weaken,"guard_weaken,wrong_event",97734,1.0,0.0,1.0,True,2,2,True,True,True,False,True,0.5,0.5,generated
case_000601__ho3,case_000601,3,True,guard_weaken,"guard_weaken,wrong_target,guard_flip",40203,1.0,0.0,1.0,True,3,3,True,True,True,False,True,0.5,0.5,generated
case_000751,case_000751,1,False,missing_transition,missing_transition,,1.0,0.9,0.1,True,1,1,True,False,False,True,True,1.0,0.1,source
case_000751__ho2,case_000751,2,True,missing_transition,"missing_transition,wrong_event",47863,1.0,0.8,0.2,True,2,2,True,True,True,True,True,1.0,0.2,generated
case_000751__ho3,case_000751,3,True,missing_transition,"missing_transition,wrong_target,guard_flip",77114,1.0,0.7,0.3,True,3,3,True,True,True,False,True,0.9,0.2,generated
case_000201,case_000201,1,False,action_corruption,action_corruption,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
case_000201__ho2,case_000201,2,True,action_corruption,"action_corruption,guard_weaken",74860,1.0,0.5,0.5,True,1,2,False,False,False,True,True,1.0,0.5,generated
case_000201__ho3,case_000201,3,True,action_corruption,"action_corruption,wrong_event,wrong_source",593,1.0,0.833333,0.166667,True,2,3,False,False,False,True,True,1.0,0.166667,generated
case_000301,case_000301,1,False,duplicate_transition,duplicate_transition,,1.0,1.0,0.0,False,0,1,False,False,False,True,False,1.0,0.0,source
